Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 23_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Martin Baturina,Como,2020-2021,17,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,2,1,89,1.0,0,,,0,0,0,1,0,0.00,,,0.00,,Matches
Martin Baturina,Como,2021-2022,18,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,13,4,350,3.9,2,,,2,0,0,0,0,0.51,,,0.51,,Matches
Martin Baturina,Como,2022-2023,19,Dinamo Zagreb,hr CRO,1. HNL,1st,34,29,2443,27.1,6,12,18,6,0,0,2,0,0.22,0.44,0.66,0.22,0.66,Matches
Martin Baturina,Como,2023-2024,20,Dinamo Zagreb,hr CRO,1. HNL,1st,32,30,2457,27.3,5,5,10,4,1,1,1,0,0.18,0.18,0.37,0.15,0.33,Matches
Martin Baturina,Como,2024-2025,21,Dinamo Zagreb,hr CRO,1. HNL,2nd,33,31,2353,26.1,4,10,14,4,0,0,2,0,0.15,0.38,0.54,0.15,0.54,Matches
Martin Baturina,Como,2025-2026,22,Como,it ITA,1. Serie A,4th,0,0,,,,,,,,,,,,,,,,Matches
Martin Baturina,Como,6 Seasons,6 Seasons,2 Clubs,,2 Leagues,,114,95,7692,85.5,17,27,42,16,1,1,6,0,0.20,0.34,0.52,0.19,0.51,
Martin Baturina,Como,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Martin Baturina,Como,Dinamo Zagreb (5 Seasons),Dinamo Zagreb (5 Seasons),Dinamo Zagreb (5 Seasons),,1 League,,114,95,7692,85.5,17,27,42,16,1,1,6,0,0.20,0.34,0.52,0.19,0.51,
Martin Baturina,Como,Como (1 Season),Como (1 Season),Como (1 Season),,1 League,,0,0,,,,,,,,,,,,,,,,
Martin Baturina,Como,,,,,,,,,,,,,,,,,,,,,,,,
Martin Baturina,Como,1. HNL (5 Seasons),1. HNL (5 Seasons),1. HNL (5 Seasons),,,,114,95,7692,85.5,17,27,42,16,1,1,6,0,0.20,0.34,0.52,0.19,0.51,
Martin Baturina,Como,Serie A (1 Season),Serie A (1 Season),Serie A (1 Season),,,,0,0,,,,,,,,,,,,,,,,
