Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Mauro Vigorito,Como,2009-2010,19,Cagliari,it ITA,1. Serie A,16th,2,1,160,1.8,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Mauro Vigorito,Como,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauro Vigorito,Como,2014-2015,24,Vicenza,it ITA,2. Serie B,3rd,23,22,2060,22.9,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Mauro Vigorito,Como,2015-2016,25,Vicenza,it ITA,2. Serie B,13th,29,29,2610,29.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Mauro Vigorito,Como,2016-2017,26,Vicenza,it ITA,2. Serie B,20th,15,13,1312,14.6,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Mauro Vigorito,Como,2017-2018,27,Frosinone,it ITA,2. Serie B,3rd,17,16,1485,16.5,0,1,1,0,0,0,1,0,,,,,,,,0.00,0.06,0.06,0.00,0.06,,,,,,Matches
Mauro Vigorito,Como,2018-2019,28,Lecce,it ITA,2. Serie B,2nd,33,33,2899,32.2,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Mauro Vigorito,Como,2019-2020,29,Lecce,it ITA,1. Serie A,18th,5,4,423,4.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Mauro Vigorito,Como,2020-2021,30,Lecce,it ITA,2. Serie B,4th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Mauro Vigorito,Como,2021-2022,31,Cosenza,it ITA,2. Serie B,16th,18,18,1584,17.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Mauro Vigorito,Como,2022-2023,32,Como,it ITA,2. Serie B,13th,4,4,315,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Mauro Vigorito,Como,2023-2024,33,Como,it ITA,2. Serie B,2nd,1,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Mauro Vigorito,Como,2024-2025,34,Como,it ITA,1. Serie A,10th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Mauro Vigorito,Como,2025-2026,35,Como,it ITA,1. Serie A,4th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Mauro Vigorito,Como,13 Seasons,13 Seasons,6 Clubs,,2 Leagues,,147,140,12870,143.0,0,1,1,0,0,0,6,1,0.0,0.0,0.0,0.0,0,0,1,0.00,0.01,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,
Mauro Vigorito,Como,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Mauro Vigorito,Como,Como (4 Seasons),Como (4 Seasons),Como (4 Seasons),,2 Leagues,,5,4,337,3.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Mauro Vigorito,Como,Vicenza (3 Seasons),Vicenza (3 Seasons),Vicenza (3 Seasons),,1 League,,67,64,5982,66.5,0,0,0,0,0,0,2,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Mauro Vigorito,Como,Lecce (3 Seasons),Lecce (3 Seasons),Lecce (3 Seasons),,2 Leagues,,38,37,3322,36.9,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Mauro Vigorito,Como,Cosenza (1 Season),Cosenza (1 Season),Cosenza (1 Season),,1 League,,18,18,1584,17.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Mauro Vigorito,Como,Frosinone (1 Season),Frosinone (1 Season),Frosinone (1 Season),,1 League,,17,16,1485,16.5,0,1,1,0,0,0,1,0,,,,,,,,0.00,0.06,0.06,0.00,0.06,,,,,,
Mauro Vigorito,Como,Cagliari (1 Season),Cagliari (1 Season),Cagliari (1 Season),,1 League,,2,1,160,1.8,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Mauro Vigorito,Como,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauro Vigorito,Como,Serie B (9 Seasons),Serie B (9 Seasons),Serie B (9 Seasons),,,,140,135,12287,136.5,0,1,1,0,0,0,5,1,0.0,0.0,0.0,0.0,0,0,1,0.00,0.01,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,
Mauro Vigorito,Como,Serie A (4 Seasons),Serie A (4 Seasons),Serie A (4 Seasons),,,,7,5,583,6.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
