Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Maxence Caqueret,Como,2018-2019,18,Lyon,fr FRA,1. Ligue 1,3rd,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Maxence Caqueret,Como,2019-2020,19,Lyon,fr FRA,1. Ligue 1,7th,8,7,568,6.3,0,0,0,0,0,0,2,0,0.2,0.2,0.3,0.5,6,45,12,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07,Matches
Maxence Caqueret,Como,2020-2021,20,Lyon,fr FRA,1. Ligue 1,4th,29,19,1761,19.6,0,1,1,0,0,0,4,1,0.7,0.7,1.6,2.3,24,174,44,0.00,0.05,0.05,0.00,0.05,0.04,0.08,0.12,0.04,0.12,Matches
Maxence Caqueret,Como,2021-2022,21,Lyon,fr FRA,1. Ligue 1,8th,31,26,2335,25.9,0,0,0,0,0,0,5,0,0.7,0.7,1.7,2.5,25,154,29,0.00,0.00,0.00,0.00,0.00,0.03,0.07,0.10,0.03,0.10,Matches
Maxence Caqueret,Como,2022-2023,22,Lyon,fr FRA,1. Ligue 1,7th,36,32,2767,30.7,4,7,11,4,0,0,2,0,2.6,2.6,5.1,7.7,46,183,114,0.13,0.23,0.36,0.13,0.36,0.09,0.16,0.25,0.09,0.25,Matches
Maxence Caqueret,Como,2023-2024,23,Lyon,fr FRA,1. Ligue 1,6th,34,34,3022,33.6,1,3,4,1,0,0,1,0,2.1,2.1,6.0,8.1,70,286,96,0.03,0.09,0.12,0.03,0.12,0.06,0.18,0.24,0.06,0.24,Matches
Maxence Caqueret,Como,2024-2025,24,Lyon,fr FRA,1. Ligue 1,6th,9,6,573,6.4,0,0,0,0,0,0,1,0,0.7,0.7,0.4,1.1,14,50,15,0.00,0.00,0.00,0.00,0.00,0.10,0.07,0.17,0.10,0.17,Matches
Maxence Caqueret,Como,2024-2025,24,Como,it ITA,1. Serie A,10th,18,15,1087,12.1,2,3,5,2,0,0,4,0,0.8,0.8,1.5,2.4,15,76,46,0.17,0.25,0.41,0.17,0.41,0.07,0.13,0.20,0.07,0.20,Matches
Maxence Caqueret,Como,2025-2026,25,Como,it ITA,1. Serie A,4th,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,1,0,4,0.00,0.00,0.00,0.00,0.00,0.17,0.19,0.36,0.17,0.36,Matches
Maxence Caqueret,Como,8 Seasons,8 Seasons,2 Clubs,,2 Leagues,,166,139,12126,134.7,7,14,21,7,0,0,19,1,7.9,7.9,16.7,24.6,201,968,360,0.05,0.10,0.16,0.05,0.16,0.06,0.12,0.18,0.06,0.18,
Maxence Caqueret,Como,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Maxence Caqueret,Como,Lyon (7 Seasons),Lyon (7 Seasons),Lyon (7 Seasons),,1 League,,147,124,11026,122.5,5,11,16,5,0,0,15,1,7.0,7.0,15.2,22.2,185,892,310,0.04,0.09,0.13,0.04,0.13,0.06,0.12,0.18,0.06,0.18,
Maxence Caqueret,Como,Como (2 Seasons),Como (2 Seasons),Como (2 Seasons),,1 League,,19,15,1100,12.2,2,3,5,2,0,0,4,0,0.9,0.9,1.5,2.4,16,76,50,0.16,0.25,0.41,0.16,0.41,0.07,0.13,0.20,0.07,0.20,
Maxence Caqueret,Como,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maxence Caqueret,Como,Ligue 1 (7 Seasons),Ligue 1 (7 Seasons),Ligue 1 (7 Seasons),,,,147,124,11026,122.5,5,11,16,5,0,0,15,1,7.0,7.0,15.2,22.2,185,892,310,0.04,0.09,0.13,0.04,0.13,0.06,0.12,0.18,0.06,0.18,
Maxence Caqueret,Como,Serie A (2 Seasons),Serie A (2 Seasons),Serie A (2 Seasons),,,,19,15,1100,12.2,2,3,5,2,0,0,4,0,0.9,0.9,1.5,2.4,16,76,50,0.16,0.25,0.41,0.16,0.41,0.07,0.13,0.20,0.07,0.20,
