Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Máximo Perrone,Como,2022,19,Vélez Sarsfield,ar ARG,1. Liga Argentina,26th,15,11,979,10.9,2,0,2,2,0,0,9,0,0.7,0.7,0.1,0.9,9,68,16,0.18,0.00,0.18,0.18,0.18,0.07,0.01,0.08,0.07,0.08,Matches
Máximo Perrone,Como,2022-2023,19,Manchester City,eng ENG,1. Premier League,1st,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Máximo Perrone,Como,2023-2024,20,Manchester City,eng ENG,1. Premier League,1st,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Máximo Perrone,Como,2023-2024,20,Las Palmas,es ESP,1. La Liga,16th,29,20,1623,18.0,0,0,0,0,0,0,6,0,0.2,0.2,0.5,0.8,12,78,22,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
Máximo Perrone,Como,2024-2025,21,Como,it ITA,1. Serie A,10th,26,20,1857,20.6,0,3,3,0,0,0,6,0,0.9,0.9,2.2,3.1,16,98,19,0.00,0.15,0.15,0.00,0.15,0.04,0.11,0.15,0.04,0.15,Matches
Máximo Perrone,Como,2025-2026,22,Como,it ITA,1. Serie A,4th,1,1,77,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,4,1,0.00,0.00,0.00,0.00,0.00,0.07,0.04,0.11,0.07,0.11,Matches
Máximo Perrone,Como,4 Seasons,4 Seasons,4 Clubs,,4 Leagues,,72,52,4555,50.6,2,3,5,2,0,0,21,0,1.9,1.9,2.9,4.8,37,250,59,0.04,0.06,0.10,0.04,0.10,0.04,0.06,0.10,0.04,0.10,
Máximo Perrone,Como,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Máximo Perrone,Como,Como (2 Seasons),Como (2 Seasons),Como (2 Seasons),,1 League,,27,21,1934,21.5,0,3,3,0,0,0,6,0,1.0,1.0,2.3,3.2,16,102,20,0.00,0.14,0.14,0.00,0.14,0.04,0.10,0.15,0.04,0.15,
Máximo Perrone,Como,Manchester City (2 Seasons),Manchester City (2 Seasons),Manchester City (2 Seasons),,1 League,,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Máximo Perrone,Como,Las Palmas (1 Season),Las Palmas (1 Season),Las Palmas (1 Season),,1 League,,29,20,1623,18.0,0,0,0,0,0,0,6,0,0.2,0.2,0.5,0.8,12,78,22,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,
Máximo Perrone,Como,Vélez Sarsfield (1 Season),Vélez Sarsfield (1 Season),Vélez Sarsfield (1 Season),,1 League,,15,11,979,10.9,2,0,2,2,0,0,9,0,0.7,0.7,0.1,0.9,9,68,16,0.18,0.00,0.18,0.18,0.18,0.07,0.01,0.08,0.07,0.08,
Máximo Perrone,Como,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Máximo Perrone,Como,Serie A (2 Seasons),Serie A (2 Seasons),Serie A (2 Seasons),,,,27,21,1934,21.5,0,3,3,0,0,0,6,0,1.0,1.0,2.3,3.2,16,102,20,0.00,0.14,0.14,0.00,0.14,0.04,0.10,0.15,0.04,0.15,
Máximo Perrone,Como,Premier League (2 Seasons),Premier League (2 Seasons),Premier League (2 Seasons),,,,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Máximo Perrone,Como,La Liga (1 Season),La Liga (1 Season),La Liga (1 Season),,,,29,20,1623,18.0,0,0,0,0,0,0,6,0,0.2,0.2,0.5,0.8,12,78,22,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,
Máximo Perrone,Como,Liga Argentina (1 Season),Liga Argentina (1 Season),Liga Argentina (1 Season),,,,15,11,979,10.9,2,0,2,2,0,0,9,0,0.7,0.7,0.1,0.9,9,68,16,0.18,0.00,0.18,0.18,0.18,0.07,0.01,0.08,0.07,0.08,
