Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Mërgim Vojvoda,Como,2014-2015,19,Sint-Truiden,be BEL,2. Second Division,1st,4,2,161,1.8,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Mërgim Vojvoda,Como,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mërgim Vojvoda,Como,2016-2017,21,Excel Mouscron,be BEL,1. First Division A,15th,30,23,2028,22.5,1,0,1,1,0,0,7,0,,,,,,,,0.04,0.00,0.04,0.04,0.04,,,,,,Matches
Mërgim Vojvoda,Como,2017-2018,22,Excel Mouscron,be BEL,1. First Division A,13th,31,27,2480,27.6,0,2,2,0,0,0,5,0,0.2,0.2,1.4,1.6,39,90,94,0.00,0.07,0.07,0.00,0.07,0.01,0.06,0.07,0.01,0.07,Matches
Mërgim Vojvoda,Como,2018-2019,23,Excel Mouscron,be BEL,1. First Division A,14th,29,25,2204,24.5,1,0,1,1,0,0,5,0,0.7,0.7,1.2,1.9,40,112,119,0.04,0.00,0.04,0.04,0.04,0.03,0.05,0.08,0.03,0.08,Matches
Mërgim Vojvoda,Como,2019-2020,24,Standard Liège,be BEL,1. First Division A,5th,25,24,2106,23.4,1,1,2,1,0,0,3,0,1.4,1.4,3.4,4.7,63,155,151,0.04,0.04,0.09,0.04,0.09,0.06,0.14,0.20,0.06,0.20,Matches
Mërgim Vojvoda,Como,2020-2021,25,Standard Liège,be BEL,1. First Division A,8th,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,8,33,2,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
Mërgim Vojvoda,Como,2020-2021,25,Torino,it ITA,1. Serie A,17th,24,17,1359,15.1,2,2,4,2,0,0,4,0,1.1,1.1,0.7,1.8,17,46,70,0.13,0.13,0.26,0.13,0.26,0.07,0.05,0.12,0.07,0.12,Matches
Mërgim Vojvoda,Como,2021-2022,26,Torino,it ITA,1. Serie A,10th,29,22,1976,22.0,0,3,3,0,0,0,3,0,1.2,1.2,2.3,3.5,44,114,87,0.00,0.14,0.14,0.00,0.14,0.05,0.10,0.16,0.05,0.16,Matches
Mërgim Vojvoda,Como,2022-2023,27,Torino,it ITA,1. Serie A,10th,29,18,1719,19.1,0,5,5,0,0,0,3,0,1.5,1.5,3.7,5.3,30,125,81,0.00,0.26,0.26,0.00,0.26,0.08,0.19,0.27,0.08,0.27,Matches
Mërgim Vojvoda,Como,2023-2024,28,Torino,it ITA,1. Serie A,9th,28,15,1379,15.3,0,3,3,0,0,0,3,0,0.4,0.4,1.4,1.8,30,91,72,0.00,0.20,0.20,0.00,0.20,0.02,0.09,0.12,0.02,0.12,Matches
Mërgim Vojvoda,Como,2024-2025,29,Torino,it ITA,1. Serie A,11th,17,12,1105,12.3,0,0,0,0,0,0,4,0,0.4,0.4,0.4,0.8,18,64,34,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.07,0.03,0.07,Matches
Mërgim Vojvoda,Como,2024-2025,29,Como,it ITA,1. Serie A,10th,11,8,717,8.0,1,2,3,1,0,0,2,0,0.2,0.2,2.0,2.3,16,43,40,0.13,0.25,0.38,0.13,0.38,0.03,0.25,0.28,0.03,0.28,Matches
Mërgim Vojvoda,Como,2025-2026,30,Como,it ITA,1. Serie A,4th,1,1,90,1.0,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,5,8,10,0.00,0.00,0.00,0.00,0.00,0.28,0.13,0.42,0.28,0.42,Matches
Mërgim Vojvoda,Como,11 Seasons,11 Seasons,5 Clubs,,3 Leagues,,261,197,17594,195.5,6,18,24,6,0,0,41,0,7.4,7.4,16.7,24.1,310,881,760,0.03,0.09,0.12,0.03,0.12,0.04,0.10,0.14,0.04,0.14,
Mërgim Vojvoda,Como,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Mërgim Vojvoda,Como,Torino (5 Seasons),Torino (5 Seasons),Torino (5 Seasons),,1 League,,127,84,7538,83.8,2,13,15,2,0,0,17,0,4.5,4.5,8.6,13.1,139,440,344,0.02,0.16,0.18,0.02,0.18,0.05,0.10,0.16,0.05,0.16,
Mërgim Vojvoda,Como,Excel Mouscron (3 Seasons),Excel Mouscron (3 Seasons),Excel Mouscron (3 Seasons),,1 League,,90,75,6712,74.6,2,2,4,2,0,0,17,0,0.9,0.9,2.6,3.5,79,202,213,0.03,0.03,0.05,0.03,0.05,0.02,0.05,0.07,0.02,0.07,
Mërgim Vojvoda,Como,Standard Liège (2 Seasons),Standard Liège (2 Seasons),Standard Liège (2 Seasons),,1 League,,28,27,2376,26.4,1,1,2,1,0,0,4,0,1.4,1.4,3.4,4.8,71,188,153,0.04,0.04,0.08,0.04,0.08,0.05,0.13,0.18,0.05,0.18,
Mërgim Vojvoda,Como,Como (2 Seasons),Como (2 Seasons),Como (2 Seasons),,1 League,,12,9,807,9.0,1,2,3,1,0,0,2,0,0.5,0.5,2.1,2.7,21,51,50,0.11,0.22,0.33,0.11,0.33,0.06,0.24,0.30,0.06,0.30,
Mërgim Vojvoda,Como,Sint-Truiden (1 Season),Sint-Truiden (1 Season),Sint-Truiden (1 Season),,1 League,,4,2,161,1.8,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Mërgim Vojvoda,Como,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mërgim Vojvoda,Como,Serie A (6 Seasons),Serie A (6 Seasons),Serie A (6 Seasons),,,,139,93,8345,92.7,3,15,18,3,0,0,19,0,5.1,5.1,10.7,15.8,160,491,394,0.03,0.16,0.19,0.03,0.19,0.05,0.12,0.17,0.05,0.17,
Mërgim Vojvoda,Como,First Division A (5 Seasons),First Division A (5 Seasons),First Division A (5 Seasons),,,,118,102,9088,101.0,3,3,6,3,0,0,21,0,2.3,2.3,6.0,8.3,150,390,366,0.03,0.03,0.06,0.03,0.06,0.03,0.08,0.11,0.03,0.11,
Mërgim Vojvoda,Como,Second Division (1 Season),Second Division (1 Season),Second Division (1 Season),,,,4,2,161,1.8,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
