Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Nicolas-Gerrit Kühn,Como,2016-2017,16,RB Leipzig,de GER,Jr. U17 Bundesliga,3rd,13,13,1112,12.4,6,,,6,0,0,1,0,,,,,,,,0.49,,,0.49,,,,,,,Matches
Nicolas-Gerrit Kühn,Como,2016-2017,16,RB Leipzig,de GER,Jr. U19 Bundesliga,11th,8,4,437,4.9,2,,,2,0,0,0,0,,,,,,,,0.41,,,0.41,,,,,,,Matches
Nicolas-Gerrit Kühn,Como,2017-2018,17,RB Leipzig,de GER,Jr. U19 Bundesliga,9th,5,3,221,2.5,0,,,0,0,0,2,0,,,,,,,,0.00,,,0.00,,,,,,,Matches
Nicolas-Gerrit Kühn,Como,2017-2018,17,Jong Ajax,nl NED,2. Eerste Divisie,1st,6,0,124,1.4,0,1,1,0,0,0,0,0,,,,,,,,0.00,0.73,0.73,0.00,0.73,,,,,,Matches
Nicolas-Gerrit Kühn,Como,2018-2019,18,Jong Ajax,nl NED,2. Eerste Divisie,11th,21,15,1249,13.9,2,2,4,2,0,0,1,0,,,,,,,,0.14,0.14,0.29,0.14,0.29,,,,,,Matches
Nicolas-Gerrit Kühn,Como,2019-2020,19,Jong Ajax,nl NED,2. Eerste Divisie,4th,17,16,1309,14.5,3,1,4,3,0,0,2,0,,,,,,,,0.21,0.07,0.28,0.21,0.28,,,,,,Matches
Nicolas-Gerrit Kühn,Como,2019-2020,19,Bayern Munich II,de GER,3. 3. Liga,1st,16,5,586,6.5,2,1,3,2,0,0,2,0,,,,,,,,0.31,0.15,0.46,0.31,0.46,,,,,,Matches
Nicolas-Gerrit Kühn,Como,2020-2021,20,Bayern Munich II,de GER,3. 3. Liga,18th,21,11,1061,11.8,4,2,6,4,0,0,3,0,,,,,,,,0.34,0.17,0.51,0.34,0.51,,,,,,Matches
Nicolas-Gerrit Kühn,Como,2021-2022,21,Erzgebirge Aue,de GER,2. 2. Bundesliga,17th,27,21,1742,19.4,3,4,7,3,0,0,3,0,,,,,,,,0.15,0.21,0.36,0.15,0.36,,,,,,Matches
Nicolas-Gerrit Kühn,Como,2022-2023,22,Rapid Wien,at AUT,1. Bundesliga,4th,20,12,1194,13.3,3,1,4,3,0,0,1,0,,,,,,,,0.23,0.08,0.30,0.23,0.30,,,,,,Matches
Nicolas-Gerrit Kühn,Como,2023-2024,23,Rapid Wien,at AUT,1. Bundesliga,4th,16,16,1217,13.5,2,5,7,2,0,0,1,0,,,,,,,,0.15,0.37,0.52,0.15,0.52,,,,,,Matches
Nicolas-Gerrit Kühn,Como,2023-2024,23,Celtic,sct SCO,1. Premiership,1st,14,9,780,8.7,2,2,4,2,0,0,1,0,,,,,,,,0.23,0.23,0.46,0.23,0.46,,,,,,Matches
Nicolas-Gerrit Kühn,Como,2024-2025,24,Celtic,sct SCO,1. Premiership,1st,32,24,1869,20.8,13,9,22,13,0,0,5,0,,,,,,,,0.63,0.43,1.06,0.63,1.06,,,,,,Matches
Nicolas-Gerrit Kühn,Como,2025-2026,25,Como,it ITA,1. Serie A,4th,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Nicolas-Gerrit Kühn,Como,9 Seasons,9 Seasons,6 Clubs,,6 Leagues,,191,129,11132,123.7,34,28,62,34,0,0,19,0,0.0,0.0,0.0,0.0,0,0,0,0.27,0.23,0.50,0.27,0.50,0.00,0.00,0.00,0.00,0.00,
Nicolas-Gerrit Kühn,Como,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Nicolas-Gerrit Kühn,Como,Jong Ajax (3 Seasons),Jong Ajax (3 Seasons),Jong Ajax (3 Seasons),,1 League,,44,31,2682,29.8,5,4,9,5,0,0,3,0,,,,,,,,0.17,0.13,0.30,0.17,0.30,,,,,,
Nicolas-Gerrit Kühn,Como,Celtic (2 Seasons),Celtic (2 Seasons),Celtic (2 Seasons),,1 League,,46,33,2649,29.4,15,11,26,15,0,0,6,0,,,,,,,,0.51,0.37,0.88,0.51,0.88,,,,,,
Nicolas-Gerrit Kühn,Como,Bayern Munich II (2 Seasons),Bayern Munich II (2 Seasons),Bayern Munich II (2 Seasons),,1 League,,37,16,1647,18.3,6,3,9,6,0,0,5,0,,,,,,,,0.33,0.16,0.49,0.33,0.49,,,,,,
Nicolas-Gerrit Kühn,Como,Rapid Wien (2 Seasons),Rapid Wien (2 Seasons),Rapid Wien (2 Seasons),,1 League,,36,28,2411,26.8,5,6,11,5,0,0,2,0,,,,,,,,0.19,0.22,0.41,0.19,0.41,,,,,,
Nicolas-Gerrit Kühn,Como,RB Leipzig (2 Seasons),RB Leipzig (2 Seasons),RB Leipzig (2 Seasons),,1 League,,13,7,658,7.3,2,,,2,0,0,2,0,,,,,,,,0.27,,,0.27,,,,,,,
Nicolas-Gerrit Kühn,Como,Erzgebirge Aue (1 Season),Erzgebirge Aue (1 Season),Erzgebirge Aue (1 Season),,1 League,,27,21,1742,19.4,3,4,7,3,0,0,3,0,,,,,,,,0.15,0.21,0.36,0.15,0.36,,,,,,
Nicolas-Gerrit Kühn,Como,RB Leipzig (1 Season),RB Leipzig (1 Season),RB Leipzig (1 Season),,1 League,,13,13,1112,12.4,6,,,6,0,0,1,0,,,,,,,,0.49,,,0.49,,,,,,,
Nicolas-Gerrit Kühn,Como,Como (1 Season),Como (1 Season),Como (1 Season),,1 League,,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Nicolas-Gerrit Kühn,Como,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolas-Gerrit Kühn,Como,Eerste Divisie (3 Seasons),Eerste Divisie (3 Seasons),Eerste Divisie (3 Seasons),,,,44,31,2682,29.8,5,4,9,5,0,0,3,0,,,,,,,,0.17,0.13,0.30,0.17,0.30,,,,,,
Nicolas-Gerrit Kühn,Como,Premiership (2 Seasons),Premiership (2 Seasons),Premiership (2 Seasons),,,,46,33,2649,29.4,15,11,26,15,0,0,6,0,,,,,,,,0.51,0.37,0.88,0.51,0.88,,,,,,
Nicolas-Gerrit Kühn,Como,3. Liga (2 Seasons),3. Liga (2 Seasons),3. Liga (2 Seasons),,,,37,16,1647,18.3,6,3,9,6,0,0,5,0,,,,,,,,0.33,0.16,0.49,0.33,0.49,,,,,,
Nicolas-Gerrit Kühn,Como,Bundesliga (2 Seasons),Bundesliga (2 Seasons),Bundesliga (2 Seasons),,,,36,28,2411,26.8,5,6,11,5,0,0,2,0,,,,,,,,0.19,0.22,0.41,0.19,0.41,,,,,,
Nicolas-Gerrit Kühn,Como,U19 Bundesliga (2 Seasons),U19 Bundesliga (2 Seasons),U19 Bundesliga (2 Seasons),,,,13,7,658,7.3,2,,,2,0,0,2,0,,,,,,,,0.27,,,0.27,,,,,,,
Nicolas-Gerrit Kühn,Como,2. Bundesliga (1 Season),2. Bundesliga (1 Season),2. Bundesliga (1 Season),,,,27,21,1742,19.4,3,4,7,3,0,0,3,0,,,,,,,,0.15,0.21,0.36,0.15,0.36,,,,,,
Nicolas-Gerrit Kühn,Como,U17 Bundesliga (1 Season),U17 Bundesliga (1 Season),U17 Bundesliga (1 Season),,,,13,13,1112,12.4,6,,,6,0,0,1,0,,,,,,,,0.49,,,0.49,,,,,,,
Nicolas-Gerrit Kühn,Como,Serie A (1 Season),Serie A (1 Season),Serie A (1 Season),,,,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
