Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Nicolás Paz,Como,2022-2023,17,Real Madrid,es ESP,1. La Liga,2nd,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Nicolás Paz,Como,2023-2024,18,Real Madrid,es ESP,1. La Liga,1st,4,0,23,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,6,2,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.31,0.31,0.31,Matches
Nicolás Paz,Como,2024-2025,19,Como,it ITA,1. Serie A,10th,35,30,2687,29.9,6,8,14,6,0,1,6,0,9.3,8.5,6.0,14.5,77,163,171,0.20,0.27,0.47,0.20,0.47,0.31,0.20,0.51,0.28,0.49,Matches
Nicolás Paz,Como,2025-2026,20,Como,it ITA,1. Serie A,4th,1,1,78,0.9,1,1,2,1,0,0,1,0,0.2,0.2,0.4,0.6,2,8,3,1.15,1.15,2.31,1.15,2.31,0.20,0.44,0.65,0.20,0.65,Matches
Nicolás Paz,Como,4 Seasons,4 Seasons,2 Clubs,,2 Leagues,,40,31,2788,31.0,7,9,16,7,0,1,7,0,9.5,8.7,6.4,15.2,82,177,176,0.23,0.29,0.52,0.23,0.52,0.31,0.21,0.51,0.28,0.49,
Nicolás Paz,Como,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Nicolás Paz,Como,Como (2 Seasons),Como (2 Seasons),Como (2 Seasons),,1 League,,36,31,2765,30.7,7,9,16,7,0,1,7,0,9.4,8.7,6.4,15.1,79,171,174,0.23,0.29,0.52,0.23,0.52,0.31,0.21,0.52,0.28,0.49,
Nicolás Paz,Como,Real Madrid (2 Seasons),Real Madrid (2 Seasons),Real Madrid (2 Seasons),,1 League,,4,0,23,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,6,2,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.31,0.31,0.31,
Nicolás Paz,Como,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolás Paz,Como,Serie A (2 Seasons),Serie A (2 Seasons),Serie A (2 Seasons),,,,36,31,2765,30.7,7,9,16,7,0,1,7,0,9.4,8.7,6.4,15.1,79,171,174,0.23,0.29,0.52,0.23,0.52,0.31,0.21,0.52,0.28,0.49,
Nicolás Paz,Como,La Liga (2 Seasons),La Liga (2 Seasons),La Liga (2 Seasons),,,,4,0,23,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,6,2,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.31,0.31,0.31,
