Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Sergi Roberto,Como,2010-2011,18,Barcelona B,es ESP,2. La Liga 2,3rd,26,22,1889,21.0,2,2,4,2,0,0,3,0,,,,,,,,0.10,0.10,0.19,0.10,0.19,,,,,,Matches
Sergi Roberto,Como,2010-2011,18,Barcelona,es ESP,1. La Liga,1st,1,1,90,1.0,0,,,0,0,,0,0,,,,,,,,0.00,,,0.00,,,,,,,Matches
Sergi Roberto,Como,2011-2012,19,Barcelona,es ESP,1. La Liga,2nd,1,1,90,1.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Sergi Roberto,Como,2011-2012,19,Barcelona B,es ESP,2. La Liga 2,8th,28,26,2347,26.1,4,2,6,4,0,0,4,0,,,,,,,,0.15,0.08,0.23,0.15,0.23,,,,,,Matches
Sergi Roberto,Como,2012-2013,20,Barcelona B,es ESP,2. La Liga 2,9th,23,22,1820,20.2,1,2,3,0,1,1,6,0,,,,,,,,0.05,0.10,0.15,0.00,0.10,,,,,,Matches
Sergi Roberto,Como,2012-2013,20,Barcelona,es ESP,1. La Liga,1st,1,0,11,0.1,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Sergi Roberto,Como,2013-2014,21,Barcelona,es ESP,1. La Liga,2nd,17,1,299,3.3,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Sergi Roberto,Como,2014-2015,22,Barcelona,es ESP,1. La Liga,1st,12,4,517,5.7,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Sergi Roberto,Como,2015-2016,23,Barcelona,es ESP,1. La Liga,1st,31,21,1917,21.3,0,4,4,0,0,0,1,0,,,,,,,,0.00,0.19,0.19,0.00,0.19,,,,,,Matches
Sergi Roberto,Como,2016-2017,24,Barcelona,es ESP,1. La Liga,2nd,32,26,2383,26.5,0,5,5,0,0,0,5,0,,,,,,,,0.00,0.19,0.19,0.00,0.19,,,,,,Matches
Sergi Roberto,Como,2017-2018,25,Barcelona,es ESP,1. La Liga,1st,30,24,2225,24.7,1,7,8,1,0,0,3,2,0.8,0.8,3.8,4.5,87,139,185,0.04,0.28,0.32,0.04,0.32,0.03,0.15,0.18,0.03,0.18,Matches
Sergi Roberto,Como,2018-2019,26,Barcelona,es ESP,1. La Liga,1st,29,23,2088,23.2,0,7,7,0,0,0,3,0,0.5,0.5,3.6,4.1,66,104,222,0.00,0.30,0.30,0.00,0.30,0.02,0.15,0.18,0.02,0.18,Matches
Sergi Roberto,Como,2019-2020,27,Barcelona,es ESP,1. La Liga,2nd,30,27,2339,26.0,1,2,3,1,0,0,8,0,0.6,0.6,2.5,3.0,78,151,174,0.04,0.08,0.12,0.04,0.12,0.02,0.09,0.12,0.02,0.12,Matches
