Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Álex Valle,Como,2022-2023,18,FC Andorra,es ESP,2. La Liga 2,7th,7,3,305,3.4,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Álex Valle,Como,2023-2024,19,Levante,es ESP,2. La Liga 2,8th,29,26,2307,25.6,0,0,0,0,0,0,2,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Álex Valle,Como,2024-2025,20,Barcelona,es ESP,1. La Liga,1st,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Álex Valle,Como,2024-2025,20,Celtic,sct SCO,1. Premiership,1st,11,7,650,7.2,0,3,3,0,0,0,1,0,,,,,,,,0.00,0.42,0.42,0.00,0.42,,,,,,Matches
Álex Valle,Como,2024-2025,20,Como,it ITA,1. Serie A,10th,15,12,1030,11.4,0,0,0,0,0,0,2,0,0.3,0.3,0.7,1.0,19,44,30,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.08,0.03,0.08,Matches
Álex Valle,Como,2025-2026,21,Como,it ITA,1. Serie A,4th,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,4,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Álex Valle,Como,4 Seasons,4 Seasons,5 Clubs,,4 Leagues,,63,49,4382,48.7,0,3,3,0,0,0,5,0,0.3,0.3,0.7,1.0,22,48,32,0.00,0.06,0.06,0.00,0.06,0.02,0.05,0.08,0.02,0.08,
Álex Valle,Como,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Álex Valle,Como,Como (2 Seasons),Como (2 Seasons),Como (2 Seasons),,1 League,,16,13,1120,12.4,0,0,0,0,0,0,2,0,0.3,0.3,0.7,1.0,22,48,32,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.08,0.02,0.08,
Álex Valle,Como,Levante (1 Season),Levante (1 Season),Levante (1 Season),,1 League,,29,26,2307,25.6,0,0,0,0,0,0,2,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Álex Valle,Como,Celtic (1 Season),Celtic (1 Season),Celtic (1 Season),,1 League,,11,7,650,7.2,0,3,3,0,0,0,1,0,,,,,,,,0.00,0.42,0.42,0.00,0.42,,,,,,
Álex Valle,Como,FC Andorra (1 Season),FC Andorra (1 Season),FC Andorra (1 Season),,1 League,,7,3,305,3.4,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Álex Valle,Como,Barcelona (1 Season),Barcelona (1 Season),Barcelona (1 Season),,1 League,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álex Valle,Como,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álex Valle,Como,La Liga 2 (2 Seasons),La Liga 2 (2 Seasons),La Liga 2 (2 Seasons),,,,36,29,2612,29.0,0,0,0,0,0,0,2,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Álex Valle,Como,Serie A (2 Seasons),Serie A (2 Seasons),Serie A (2 Seasons),,,,16,13,1120,12.4,0,0,0,0,0,0,2,0,0.3,0.3,0.7,1.0,22,48,32,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.08,0.02,0.08,
Álex Valle,Como,Premiership (1 Season),Premiership (1 Season),Premiership (1 Season),,,,11,7,650,7.2,0,3,3,0,0,0,1,0,,,,,,,,0.00,0.42,0.42,0.00,0.42,,,,,,
Álex Valle,Como,La Liga (1 Season),La Liga (1 Season),La Liga (1 Season),,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
