Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Alberto Grassi,Cremonese,2014-2015,19,Atalanta,it ITA,1. Serie A,17th,3,2,202,2.2,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Alberto Grassi,Cremonese,2015-2016,20,Atalanta,it ITA,1. Serie A,13th,13,13,974,10.8,0,0,0,0,0,0,6,1,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Alberto Grassi,Cremonese,2015-2016,20,Napoli,it ITA,1. Serie A,2nd,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Alberto Grassi,Cremonese,2016-2017,21,Atalanta,it ITA,1. Serie A,4th,18,4,701,7.8,1,0,1,1,0,0,2,0,,,,,,,,0.13,0.00,0.13,0.13,0.13,,,,,,Matches
Alberto Grassi,Cremonese,2016-2017,21,Napoli,it ITA,1. Serie A,3rd,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Alberto Grassi,Cremonese,2017-2018,22,SPAL,it ITA,1. Serie A,17th,28,26,2253,25.0,3,0,3,3,0,0,3,0,2.9,2.9,0.7,3.6,36,76,43,0.12,0.00,0.12,0.12,0.12,0.12,0.03,0.14,0.12,0.14,Matches
Alberto Grassi,Cremonese,2018-2019,23,Parma,it ITA,1. Serie A,14th,7,5,462,5.1,0,0,0,0,0,0,0,0,0.9,0.9,0.1,1.0,2,7,10,0.00,0.00,0.00,0.00,0.00,0.18,0.02,0.20,0.18,0.20,Matches
Alberto Grassi,Cremonese,2019-2020,24,Parma,it ITA,1. Serie A,11th,16,6,641,7.1,1,1,2,1,0,0,6,0,0.3,0.3,0.4,0.7,10,22,19,0.14,0.14,0.28,0.14,0.28,0.05,0.05,0.10,0.05,0.10,Matches
Alberto Grassi,Cremonese,2020-2021,25,Parma,it ITA,1. Serie A,20th,23,13,1177,13.1,0,0,0,0,0,0,3,0,0.5,0.5,0.4,0.8,13,34,30,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.06,0.04,0.06,Matches
Alberto Grassi,Cremonese,2021-2022,26,Cagliari,it ITA,1. Serie A,18th,30,26,2174,24.2,0,1,1,0,0,0,6,1,1.1,1.1,2.0,3.1,13,76,25,0.00,0.04,0.04,0.00,0.04,0.05,0.08,0.13,0.05,0.13,Matches
Alberto Grassi,Cremonese,2022-2023,27,Empoli,it ITA,1. Serie A,14th,25,14,1194,13.3,0,0,0,0,0,0,3,0,0.6,0.6,0.4,0.9,5,50,10,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.07,0.04,0.07,Matches
Alberto Grassi,Cremonese,2023-2024,28,Empoli,it ITA,1. Serie A,17th,27,22,1807,20.1,0,1,1,0,0,0,6,1,1.1,1.1,0.6,1.7,13,75,13,0.00,0.05,0.05,0.00,0.05,0.05,0.03,0.09,0.05,0.09,Matches
Alberto Grassi,Cremonese,2024-2025,29,Empoli,it ITA,1. Serie A,18th,28,27,2203,24.5,1,0,1,1,0,0,8,0,1.0,1.0,0.8,1.9,18,74,24,0.04,0.00,0.04,0.04,0.04,0.04,0.03,0.08,0.04,0.08,Matches
Alberto Grassi,Cremonese,2025-2026,30,Cremonese,it ITA,1. Serie A,5th,1,1,55,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Alberto Grassi,Cremonese,12 Seasons,12 Seasons,7 Clubs,,1 League,,219,159,13843,153.8,6,3,9,6,0,0,44,3,8.5,8.5,5.4,13.8,110,415,174,0.04,0.02,0.06,0.04,0.06,0.06,0.04,0.10,0.06,0.10,
Alberto Grassi,Cremonese,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Alberto Grassi,Cremonese,Empoli (3 Seasons),Empoli (3 Seasons),Empoli (3 Seasons),,1 League,,80,63,5204,57.8,1,1,2,1,0,0,17,1,2.7,2.7,1.8,4.5,36,199,47,0.02,0.02,0.03,0.02,0.03,0.05,0.03,0.08,0.05,0.08,
Alberto Grassi,Cremonese,Parma (3 Seasons),Parma (3 Seasons),Parma (3 Seasons),,1 League,,46,24,2280,25.3,1,1,2,1,0,0,9,0,1.7,1.7,0.8,2.6,25,63,59,0.04,0.04,0.08,0.04,0.08,0.07,0.03,0.10,0.07,0.10,
Alberto Grassi,Cremonese,Atalanta (3 Seasons),Atalanta (3 Seasons),Atalanta (3 Seasons),,1 League,,34,19,1877,20.9,1,0,1,1,0,0,8,1,,,,,,,,0.05,0.00,0.05,0.05,0.05,,,,,,
Alberto Grassi,Cremonese,Napoli (2 Seasons),Napoli (2 Seasons),Napoli (2 Seasons),,1 League,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alberto Grassi,Cremonese,Cagliari (1 Season),Cagliari (1 Season),Cagliari (1 Season),,1 League,,30,26,2174,24.2,0,1,1,0,0,0,6,1,1.1,1.1,2.0,3.1,13,76,25,0.00,0.04,0.04,0.00,0.04,0.05,0.08,0.13,0.05,0.13,
Alberto Grassi,Cremonese,SPAL (1 Season),SPAL (1 Season),SPAL (1 Season),,1 League,,28,26,2253,25.0,3,0,3,3,0,0,3,0,2.9,2.9,0.7,3.6,36,76,43,0.12,0.00,0.12,0.12,0.12,0.12,0.03,0.14,0.12,0.14,
Alberto Grassi,Cremonese,Cremonese (1 Season),Cremonese (1 Season),Cremonese (1 Season),,1 League,,1,1,55,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
