Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Alessio Zerbin,Cremonese,2016-2017,17,Napoli,it ITA,1. Serie A,3rd,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Alessio Zerbin,Cremonese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessio Zerbin,Cremonese,2021-2022,22,Frosinone,it ITA,2. Serie B,9th,31,26,2069,23.0,9,3,12,9,0,0,6,0,6.6,6.6,2.7,9.3,96,71,218,0.39,0.13,0.52,0.39,0.52,0.29,0.12,0.40,0.29,0.40,Matches
Alessio Zerbin,Cremonese,2022-2023,23,Napoli,it ITA,1. Serie A,1st,10,2,198,2.2,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,5,6,20,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Matches
Alessio Zerbin,Cremonese,2023-2024,24,Monza,it ITA,1. Serie A,12th,13,7,684,7.6,0,1,1,0,0,0,2,1,0.4,0.4,0.8,1.2,17,20,46,0.00,0.13,0.13,0.00,0.13,0.05,0.11,0.16,0.05,0.16,Matches
Alessio Zerbin,Cremonese,2023-2024,24,Napoli,it ITA,1. Serie A,10th,7,1,150,1.7,0,0,0,0,0,0,0,0,0.2,0.2,0.6,0.9,6,3,18,0.00,0.00,0.00,0.00,0.00,0.15,0.37,0.52,0.15,0.52,Matches
Alessio Zerbin,Cremonese,2024-2025,25,Napoli,it ITA,1. Serie A,1st,2,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Alessio Zerbin,Cremonese,2024-2025,25,Venezia,it ITA,1. Serie A,19th,18,17,1518,16.9,1,1,2,1,0,0,4,0,1.9,1.9,2.1,3.9,53,54,70,0.06,0.06,0.12,0.06,0.12,0.11,0.12,0.23,0.11,0.23,Matches
Alessio Zerbin,Cremonese,2025-2026,26,Cremonese,it ITA,1. Serie A,5th,1,1,90,1.0,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,5,6,4,0.00,1.00,1.00,0.00,1.00,0.00,0.05,0.05,0.00,0.05,Matches
Alessio Zerbin,Cremonese,6 Seasons,6 Seasons,5 Clubs,,2 Leagues,,82,54,4711,52.3,10,6,16,10,0,0,13,1,9.3,9.3,6.3,15.6,182,160,376,0.19,0.11,0.31,0.19,0.31,0.18,0.12,0.30,0.18,0.30,
Alessio Zerbin,Cremonese,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Alessio Zerbin,Cremonese,Napoli (4 Seasons),Napoli (4 Seasons),Napoli (4 Seasons),,1 League,,19,3,350,3.9,0,0,0,0,0,0,1,0,0.5,0.5,0.6,1.1,11,9,38,0.00,0.00,0.00,0.00,0.00,0.13,0.16,0.29,0.13,0.29,
Alessio Zerbin,Cremonese,Frosinone (1 Season),Frosinone (1 Season),Frosinone (1 Season),,1 League,,31,26,2069,23.0,9,3,12,9,0,0,6,0,6.6,6.6,2.7,9.3,96,71,218,0.39,0.13,0.52,0.39,0.52,0.29,0.12,0.40,0.29,0.40,
