Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Antonio Sanabria,Cremonese,2013-2014,17,Sassuolo,it ITA,1. Serie A,17th,2,0,37,0.4,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Antonio Sanabria,Cremonese,2013-2014,17,Barcelona B,es ESP,2. La Liga 2,3rd,10,6,571,6.3,3,0,3,3,0,0,0,0,,,,,,,,0.47,0.00,0.47,0.47,0.47,,,,,,Matches
Antonio Sanabria,Cremonese,2014-2015,18,Roma,it ITA,1. Serie A,2nd,2,0,35,0.4,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Antonio Sanabria,Cremonese,2015-2016,19,Sporting Gijón,es ESP,1. La Liga,17th,29,27,2255,25.1,11,1,12,10,1,1,4,0,,,,,,,,0.44,0.04,0.48,0.40,0.44,,,,,,Matches
Antonio Sanabria,Cremonese,2016-2017,20,Betis,es ESP,1. La Liga,15th,22,16,1490,16.6,4,1,5,4,0,0,2,0,,,,,,,,0.24,0.06,0.30,0.24,0.30,,,,,,Matches
Antonio Sanabria,Cremonese,2017-2018,21,Betis,es ESP,1. La Liga,6th,17,8,853,9.5,8,0,8,8,0,0,0,0,5.1,5.1,0.1,5.2,11,7,51,0.84,0.00,0.84,0.84,0.84,0.54,0.01,0.55,0.54,0.55,Matches
Antonio Sanabria,Cremonese,2018-2019,22,Betis,es ESP,1. La Liga,10th,15,8,811,9.0,2,0,2,1,1,1,2,0,3.3,2.5,0.0,2.5,12,9,27,0.22,0.00,0.22,0.11,0.11,0.37,0.00,0.37,0.28,0.28,Matches
Antonio Sanabria,Cremonese,2018-2019,22,Genoa,it ITA,1. Serie A,17th,15,9,766,8.5,3,0,3,3,0,1,1,0,5.1,4.3,0.3,4.7,14,20,42,0.35,0.00,0.35,0.35,0.35,0.60,0.04,0.64,0.51,0.55,Matches
Antonio Sanabria,Cremonese,2019-2020,23,Genoa,it ITA,1. Serie A,17th,24,16,1387,15.4,6,2,8,6,0,0,3,0,4.6,4.6,1.9,6.5,30,27,92,0.39,0.13,0.52,0.39,0.52,0.30,0.12,0.42,0.30,0.42,Matches
Antonio Sanabria,Cremonese,2020-2021,24,Betis,es ESP,1. La Liga,6th,16,10,932,10.4,3,0,3,3,0,0,2,0,5.0,5.0,0.1,5.2,14,14,37,0.29,0.00,0.29,0.29,0.29,0.48,0.01,0.50,0.48,0.50,Matches
Antonio Sanabria,Cremonese,2020-2021,24,Torino,it ITA,1. Serie A,17th,14,12,978,10.9,5,1,6,5,0,0,2,0,3.3,3.3,0.6,3.9,11,20,48,0.46,0.09,0.55,0.46,0.55,0.30,0.05,0.36,0.30,0.36,Matches
Antonio Sanabria,Cremonese,2021-2022,25,Torino,it ITA,1. Serie A,10th,29,22,1803,20.0,6,1,7,6,0,0,3,0,8.3,8.3,1.8,10.1,11,24,123,0.30,0.05,0.35,0.30,0.35,0.41,0.09,0.50,0.41,0.50,Matches
Antonio Sanabria,Cremonese,2022-2023,26,Torino,it ITA,1. Serie A,10th,33,28,2433,27.0,12,4,16,11,1,1,4,0,9.3,8.5,3.0,11.5,17,46,139,0.44,0.15,0.59,0.41,0.55,0.34,0.11,0.45,0.32,0.42,Matches
Antonio Sanabria,Cremonese,2023-2024,27,Torino,it ITA,1. Serie A,9th,35,23,2133,23.7,5,0,5,3,2,2,2,0,9.3,7.7,1.4,9.1,19,57,109,0.21,0.00,0.21,0.13,0.13,0.39,0.06,0.45,0.32,0.38,Matches
Antonio Sanabria,Cremonese,2024-2025,28,Torino,it ITA,1. Serie A,11th,26,16,1318,14.6,2,1,3,2,0,1,2,0,2.9,2.1,0.5,2.6,6,18,54,0.14,0.07,0.20,0.14,0.20,0.20,0.03,0.23,0.14,0.18,Matches
Antonio Sanabria,Cremonese,2025-2026,29,Cremonese,it ITA,1. Serie A,5th,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Antonio Sanabria,Cremonese,13 Seasons,13 Seasons,8 Clubs,,3 Leagues,,290,201,17828,198.1,70,11,81,65,5,7,27,0,56.1,51.4,9.7,61.2,145,242,723,0.35,0.06,0.41,0.33,0.38,0.38,0.07,0.44,0.34,0.41,
Antonio Sanabria,Cremonese,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Antonio Sanabria,Cremonese,Torino (5 Seasons),Torino (5 Seasons),Torino (5 Seasons),,1 League,,137,101,8665,96.3,30,7,37,27,3,4,13,0,33.0,29.9,7.2,37.1,64,165,473,0.31,0.07,0.38,0.28,0.35,0.34,0.07,0.42,0.31,0.38,
Antonio Sanabria,Cremonese,Betis (4 Seasons),Betis (4 Seasons),Betis (4 Seasons),,1 League,,70,42,4086,45.4,17,1,18,16,1,1,6,0,13.4,12.6,0.3,12.9,37,30,115,0.37,0.02,0.40,0.35,0.37,0.46,0.01,0.48,0.44,0.45,
Antonio Sanabria,Cremonese,Genoa (2 Seasons),Genoa (2 Seasons),Genoa (2 Seasons),,1 League,,39,25,2153,23.9,9,2,11,9,0,1,4,0,9.7,8.9,2.2,11.2,44,47,134,0.38,0.08,0.46,0.38,0.46,0.41,0.09,0.50,0.37,0.47,
Antonio Sanabria,Cremonese,Sporting Gijón (1 Season),Sporting Gijón (1 Season),Sporting Gijón (1 Season),,1 League,,29,27,2255,25.1,11,1,12,10,1,1,4,0,,,,,,,,0.44,0.04,0.48,0.40,0.44,,,,,,
Antonio Sanabria,Cremonese,Barcelona B (1 Season),Barcelona B (1 Season),Barcelona B (1 Season),,1 League,,10,6,571,6.3,3,0,3,3,0,0,0,0,,,,,,,,0.47,0.00,0.47,0.47,0.47,,,,,,
Antonio Sanabria,Cremonese,Roma (1 Season),Roma (1 Season),Roma (1 Season),,1 League,,2,0,35,0.4,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Antonio Sanabria,Cremonese,Sassuolo (1 Season),Sassuolo (1 Season),Sassuolo (1 Season),,1 League,,2,0,37,0.4,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Antonio Sanabria,Cremonese,Cremonese (1 Season),Cremonese (1 Season),Cremonese (1 Season),,1 League,,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Antonio Sanabria,Cremonese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonio Sanabria,Cremonese,Serie A (10 Seasons),Serie A (10 Seasons),Serie A (10 Seasons),,,,181,126,10916,121.3,39,9,48,36,3,5,17,0,42.7,38.8,9.4,48.2,108,212,608,0.32,0.07,0.40,0.30,0.37,0.35,0.08,0.43,0.32,0.40,
Antonio Sanabria,Cremonese,La Liga (5 Seasons),La Liga (5 Seasons),La Liga (5 Seasons),,,,99,69,6341,70.5,28,2,30,26,2,2,10,0,13.4,12.6,0.3,12.9,37,30,115,0.40,0.03,0.43,0.37,0.40,0.46,0.01,0.48,0.44,0.45,
Antonio Sanabria,Cremonese,La Liga 2 (1 Season),La Liga 2 (1 Season),La Liga 2 (1 Season),,,,10,6,571,6.3,3,0,3,3,0,0,0,0,,,,,,,,0.47,0.00,0.47,0.47,0.47,,,,,,
