Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Federico Baschirotto,Cremonese,2021-2022,24,Ascoli,it ITA,2. Serie B,6th,30,19,1853,20.6,4,0,4,4,0,0,3,0,3.3,3.3,0.4,3.7,51,98,71,0.19,0.00,0.19,0.19,0.19,0.16,0.02,0.18,0.16,0.18,Matches
Federico Baschirotto,Cremonese,2022-2023,25,Lecce,it ITA,1. Serie A,16th,37,37,3330,37.0,3,0,3,3,0,0,6,0,1.9,1.9,0.7,2.6,12,107,12,0.08,0.00,0.08,0.08,0.08,0.05,0.02,0.07,0.05,0.07,Matches
Federico Baschirotto,Cremonese,2023-2024,26,Lecce,it ITA,1. Serie A,14th,37,37,3294,36.6,0,1,1,0,0,0,3,1,1.7,1.5,0.7,2.1,28,96,3,0.00,0.03,0.03,0.00,0.03,0.05,0.02,0.07,0.04,0.06,Matches
Federico Baschirotto,Cremonese,2024-2025,27,Lecce,it ITA,1. Serie A,17th,38,38,3420,38.0,2,0,2,2,0,0,3,0,1.2,1.2,0.2,1.4,13,71,5,0.05,0.00,0.05,0.05,0.05,0.03,0.00,0.04,0.03,0.04,Matches
Federico Baschirotto,Cremonese,2025-2026,28,Cremonese,it ITA,1. Serie A,5th,1,1,90,1.0,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,1,2,0,1.00,0.00,1.00,1.00,1.00,0.05,0.00,0.05,0.05,0.05,Matches
Federico Baschirotto,Cremonese,5 Seasons,5 Seasons,3 Clubs,,2 Leagues,,143,132,11987,133.2,10,1,11,10,0,0,15,1,8.2,7.9,1.9,9.8,105,374,91,0.08,0.01,0.08,0.08,0.08,0.06,0.01,0.08,0.06,0.07,
Federico Baschirotto,Cremonese,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Federico Baschirotto,Cremonese,Lecce (3 Seasons),Lecce (3 Seasons),Lecce (3 Seasons),,1 League,,112,112,10044,111.6,5,1,6,5,0,0,12,1,4.9,4.6,1.5,6.1,53,274,20,0.04,0.01,0.05,0.04,0.05,0.04,0.01,0.06,0.04,0.05,
Federico Baschirotto,Cremonese,Ascoli (1 Season),Ascoli (1 Season),Ascoli (1 Season),,1 League,,30,19,1853,20.6,4,0,4,4,0,0,3,0,3.3,3.3,0.4,3.7,51,98,71,0.19,0.00,0.19,0.19,0.19,0.16,0.02,0.18,0.16,0.18,
Federico Baschirotto,Cremonese,Cremonese (1 Season),Cremonese (1 Season),Cremonese (1 Season),,1 League,,1,1,90,1.0,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,1,2,0,1.00,0.00,1.00,1.00,1.00,0.05,0.00,0.05,0.05,0.05,
Federico Baschirotto,Cremonese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federico Baschirotto,Cremonese,Serie A (4 Seasons),Serie A (4 Seasons),Serie A (4 Seasons),,,,113,113,10134,112.6,6,1,7,6,0,0,12,1,4.9,4.6,1.5,6.1,54,276,20,0.05,0.01,0.06,0.05,0.06,0.04,0.01,0.06,0.04,0.05,
Federico Baschirotto,Cremonese,Serie B (1 Season),Serie B (1 Season),Serie B (1 Season),,,,30,19,1853,20.6,4,0,4,4,0,0,3,0,3.3,3.3,0.4,3.7,51,98,71,0.19,0.00,0.19,0.19,0.19,0.16,0.02,0.18,0.16,0.18,
