Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Filippo Terracciano,Cremonese,2019-2020,16,Hellas Verona,it ITA,1. Serie A,9th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Filippo Terracciano,Cremonese,2020-2021,17,Hellas Verona,it ITA,1. Serie A,10th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Filippo Terracciano,Cremonese,2021-2022,18,Hellas Verona,it ITA,1. Serie A,9th,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Filippo Terracciano,Cremonese,2022-2023,19,Hellas Verona,it ITA,1. Serie A,18th,20,7,821,9.1,0,1,1,0,0,0,2,0,0.2,0.2,1.2,1.4,16,37,24,0.00,0.11,0.11,0.00,0.11,0.02,0.14,0.16,0.02,0.16,Matches
Filippo Terracciano,Cremonese,2023-2024,20,Hellas Verona,it ITA,1. Serie A,13th,18,14,1296,14.4,0,1,1,0,0,0,1,0,0.3,0.3,1.0,1.3,26,51,28,0.00,0.07,0.07,0.00,0.07,0.02,0.07,0.09,0.02,0.09,Matches
Filippo Terracciano,Cremonese,2023-2024,20,Milan,it ITA,1. Serie A,2nd,3,1,76,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Filippo Terracciano,Cremonese,2024-2025,21,Milan,it ITA,1. Serie A,8th,13,6,539,6.0,0,0,0,0,0,0,3,0,0.2,0.2,0.1,0.3,5,14,9,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.04,0.03,0.04,Matches
Filippo Terracciano,Cremonese,2025-2026,22,Cremonese,it ITA,1. Serie A,5th,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Filippo Terracciano,Cremonese,7 Seasons,7 Seasons,3 Clubs,,1 League,,56,29,2829,31.4,0,2,2,0,0,0,8,0,0.7,0.7,2.4,3.0,47,105,64,0.00,0.06,0.06,0.00,0.06,0.02,0.08,0.10,0.02,0.10,
Filippo Terracciano,Cremonese,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Filippo Terracciano,Cremonese,Hellas Verona (5 Seasons),Hellas Verona (5 Seasons),Hellas Verona (5 Seasons),,1 League,,39,21,2124,23.6,0,2,2,0,0,0,3,0,0.5,0.5,2.3,2.8,42,89,53,0.00,0.08,0.08,0.00,0.08,0.02,0.10,0.12,0.02,0.12,
Filippo Terracciano,Cremonese,Milan (2 Seasons),Milan (2 Seasons),Milan (2 Seasons),,1 League,,16,7,615,6.8,0,0,0,0,0,0,4,0,0.2,0.2,0.1,0.3,5,15,10,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.04,0.02,0.04,
Filippo Terracciano,Cremonese,Cremonese (1 Season),Cremonese (1 Season),Cremonese (1 Season),,1 League,,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
