Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Francesco Folino,Cremonese,2024-2025,22,Juve Stabia,it ITA,2. Serie B,5th,16,15,1351,15.0,3,0,3,3,0,0,7,1,1.2,1.2,0.2,1.3,11,39,12,0.20,0.00,0.20,0.20,0.20,0.08,0.01,0.09,0.08,0.09,Matches
Francesco Folino,Cremonese,2024-2025,22,Cremonese,it ITA,2. Serie B,4th,7,3,388,4.3,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,9,13,6,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08,Matches
Francesco Folino,Cremonese,2025-2026,23,Cremonese,it ITA,1. Serie A,5th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Francesco Folino,Cremonese,2 Seasons,2 Seasons,2 Clubs,,2 Leagues,,23,18,1739,19.3,3,0,3,3,0,0,8,1,1.5,1.5,0.2,1.7,20,52,18,0.16,0.00,0.16,0.16,0.16,0.08,0.01,0.09,0.08,0.09,
Francesco Folino,Cremonese,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Francesco Folino,Cremonese,Cremonese (2 Seasons),Cremonese (2 Seasons),Cremonese (2 Seasons),,2 Leagues,,7,3,388,4.3,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,9,13,6,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08,
Francesco Folino,Cremonese,Juve Stabia (1 Season),Juve Stabia (1 Season),Juve Stabia (1 Season),,1 League,,16,15,1351,15.0,3,0,3,3,0,0,7,1,1.2,1.2,0.2,1.3,11,39,12,0.20,0.00,0.20,0.20,0.20,0.08,0.01,0.09,0.08,0.09,
Francesco Folino,Cremonese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francesco Folino,Cremonese,Serie B (1 Season),Serie B (1 Season),Serie B (1 Season),,,,23,18,1739,19.3,3,0,3,3,0,0,8,1,1.5,1.5,0.2,1.7,20,52,18,0.16,0.00,0.16,0.16,0.16,0.08,0.01,0.09,0.08,0.09,
Francesco Folino,Cremonese,Serie A (1 Season),Serie A (1 Season),Serie A (1 Season),,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
