Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Giuseppe Pezzella,Cremonese,2015-2016,17,Palermo,it ITA,1. Serie A,16th,9,7,594,6.6,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Giuseppe Pezzella,Cremonese,2016-2017,18,Palermo,it ITA,1. Serie A,19th,10,9,805,8.9,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Giuseppe Pezzella,Cremonese,2017-2018,19,Udinese,it ITA,1. Serie A,14th,15,10,903,10.0,0,0,0,0,0,0,3,1,0.2,0.2,0.9,1.1,22,33,46,0.00,0.00,0.00,0.00,0.00,0.02,0.09,0.11,0.02,0.11,Matches
Giuseppe Pezzella,Cremonese,2018-2019,20,Genoa,it ITA,1. Serie A,17th,5,1,112,1.2,0,0,0,0,0,0,0,1,0.0,0.0,0.1,0.1,0,4,6,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.08,0.02,0.08,Matches
Giuseppe Pezzella,Cremonese,2018-2019,20,Udinese,it ITA,1. Serie A,12th,4,2,184,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,4,1,4,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06,Matches
Giuseppe Pezzella,Cremonese,2019-2020,21,Udinese,it ITA,1. Serie A,13th,1,1,80,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,2,8,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches
Giuseppe Pezzella,Cremonese,2019-2020,21,Parma,it ITA,1. Serie A,11th,22,8,949,10.5,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.2,31,29,41,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.01,0.02,Matches
Giuseppe Pezzella,Cremonese,2020-2021,22,Parma,it ITA,1. Serie A,20th,24,21,1828,20.3,1,4,5,1,0,0,7,0,0.2,0.2,3.2,3.4,58,69,114,0.05,0.20,0.25,0.05,0.25,0.01,0.16,0.17,0.01,0.17,Matches
Giuseppe Pezzella,Cremonese,2021-2022,23,Atalanta,it ITA,1. Serie A,8th,21,10,1072,11.9,0,2,2,0,0,0,3,0,0.6,0.6,0.9,1.5,35,46,80,0.00,0.17,0.17,0.00,0.17,0.05,0.07,0.13,0.05,0.13,Matches
Giuseppe Pezzella,Cremonese,2022-2023,24,Lecce,it ITA,1. Serie A,16th,16,10,918,10.2,0,1,1,0,0,0,2,0,0.1,0.1,0.6,0.7,28,65,48,0.00,0.10,0.10,0.00,0.10,0.01,0.05,0.07,0.01,0.07,Matches
Giuseppe Pezzella,Cremonese,2023-2024,25,Empoli,it ITA,1. Serie A,17th,19,14,1085,12.1,0,0,0,0,0,0,4,0,0.2,0.2,0.5,0.6,44,44,36,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05,Matches
Giuseppe Pezzella,Cremonese,2024-2025,26,Empoli,it ITA,1. Serie A,18th,35,34,2878,32.0,0,3,3,0,0,0,7,0,0.6,0.6,4.6,5.2,77,80,143,0.00,0.09,0.09,0.00,0.09,0.02,0.14,0.16,0.02,0.16,Matches
Giuseppe Pezzella,Cremonese,2025-2026,27,Cremonese,it ITA,1. Serie A,5th,1,1,90,1.0,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,1,2,1,0.00,1.00,1.00,0.00,1.00,0.02,0.09,0.12,0.02,0.12,Matches
Giuseppe Pezzella,Cremonese,11 Seasons,11 Seasons,8 Clubs,,1 League,,182,128,11498,127.8,1,11,12,1,0,0,30,2,2.1,2.1,11.0,13.1,305,375,527,0.01,0.09,0.09,0.01,0.09,0.02,0.10,0.12,0.02,0.12,
