Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Manuel De Luca,Cremonese,2016-2017,18,Torino,it ITA,1. Serie A,9th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Manuel De Luca,Cremonese,2017-2018,19,Torino,it ITA,1. Serie A,9th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Manuel De Luca,Cremonese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manuel De Luca,Cremonese,2019-2020,21,Virtus Entella,it ITA,2. Serie B,13th,19,11,937,10.4,3,1,4,3,0,0,1,0,5.8,5.8,0.4,6.3,13,14,62,0.29,0.10,0.38,0.29,0.38,0.56,0.04,0.60,0.56,0.60,Matches
Manuel De Luca,Cremonese,2020-2021,22,Chievo,it ITA,2. Serie B,8th,32,17,1533,17.0,6,1,7,6,0,0,4,0,7.3,7.3,1.7,9.0,19,20,131,0.35,0.06,0.41,0.35,0.41,0.43,0.10,0.53,0.43,0.53,Matches
Manuel De Luca,Cremonese,2021-2022,23,Perugia,it ITA,2. Serie B,8th,33,29,2454,27.3,10,3,13,6,4,5,5,0,15.6,11.7,2.7,14.4,34,32,164,0.37,0.11,0.48,0.22,0.33,0.57,0.10,0.67,0.43,0.53,Matches
Manuel De Luca,Cremonese,2022-2023,24,Sampdoria,it ITA,1. Serie A,20th,2,0,44,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Manuel De Luca,Cremonese,2023-2024,25,Sampdoria,it ITA,2. Serie B,7th,32,22,1960,21.8,10,5,15,8,2,2,2,0,11.6,10.0,2.2,12.2,20,22,163,0.46,0.23,0.69,0.37,0.60,0.53,0.10,0.63,0.46,0.56,Matches
Manuel De Luca,Cremonese,2024-2025,26,Cremonese,it ITA,2. Serie B,4th,34,16,1653,18.4,8,2,10,7,1,1,3,0,8.4,7.6,2.6,10.2,13,18,124,0.44,0.11,0.54,0.38,0.49,0.46,0.14,0.60,0.42,0.56,Matches
Manuel De Luca,Cremonese,2025-2026,27,Cremonese,it ITA,1. Serie A,5th,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Manuel De Luca,Cremonese,9 Seasons,9 Seasons,6 Clubs,,2 Leagues,,153,95,8588,95.4,37,12,49,30,7,8,15,0,48.7,42.4,9.7,52.1,99,106,648,0.39,0.13,0.51,0.31,0.44,0.51,0.10,0.61,0.44,0.55,
Manuel De Luca,Cremonese,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Manuel De Luca,Cremonese,Cremonese (2 Seasons),Cremonese (2 Seasons),Cremonese (2 Seasons),,2 Leagues,,35,16,1660,18.4,8,2,10,7,1,1,3,0,8.4,7.6,2.6,10.2,13,18,124,0.43,0.11,0.54,0.38,0.49,0.46,0.14,0.60,0.41,0.55,
Manuel De Luca,Cremonese,Sampdoria (2 Seasons),Sampdoria (2 Seasons),Sampdoria (2 Seasons),,2 Leagues,,34,22,2004,22.3,10,5,15,8,2,2,2,0,11.6,10.0,2.2,12.2,20,22,167,0.45,0.22,0.67,0.36,0.58,0.52,0.10,0.62,0.45,0.55,
Manuel De Luca,Cremonese,Torino (2 Seasons),Torino (2 Seasons),Torino (2 Seasons),,1 League,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manuel De Luca,Cremonese,Perugia (1 Season),Perugia (1 Season),Perugia (1 Season),,1 League,,33,29,2454,27.3,10,3,13,6,4,5,5,0,15.6,11.7,2.7,14.4,34,32,164,0.37,0.11,0.48,0.22,0.33,0.57,0.10,0.67,0.43,0.53,
Manuel De Luca,Cremonese,Chievo (1 Season),Chievo (1 Season),Chievo (1 Season),,1 League,,32,17,1533,17.0,6,1,7,6,0,0,4,0,7.3,7.3,1.7,9.0,19,20,131,0.35,0.06,0.41,0.35,0.41,0.43,0.10,0.53,0.43,0.53,
Manuel De Luca,Cremonese,Virtus Entella (1 Season),Virtus Entella (1 Season),Virtus Entella (1 Season),,1 League,,19,11,937,10.4,3,1,4,3,0,0,1,0,5.8,5.8,0.4,6.3,13,14,62,0.29,0.10,0.38,0.29,0.38,0.56,0.04,0.60,0.56,0.60,
Manuel De Luca,Cremonese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manuel De Luca,Cremonese,Serie B (5 Seasons),Serie B (5 Seasons),Serie B (5 Seasons),,,,150,95,8537,94.9,37,12,49,30,7,8,15,0,48.7,42.4,9.7,52.1,99,106,644,0.39,0.13,0.52,0.32,0.44,0.51,0.10,0.62,0.45,0.55,
Manuel De Luca,Cremonese,Serie A (4 Seasons),Serie A (4 Seasons),Serie A (4 Seasons),,,,3,0,51,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
