Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Marco Silvestri,Cremonese,2012-2013,21,Padova,it ITA,2. Serie B,11th,25,22,2073,23.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Marco Silvestri,Cremonese,2013-2014,22,Cagliari,it ITA,1. Serie A,15th,3,3,234,2.6,0,0,0,0,0,0,0,1,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Marco Silvestri,Cremonese,2014-2015,23,Leeds United,eng ENG,2. Championship,15th,43,43,3870,43.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Marco Silvestri,Cremonese,2015-2016,24,Leeds United,eng ENG,2. Championship,13th,45,45,4049,45.0,0,0,0,0,0,0,1,1,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Marco Silvestri,Cremonese,2016-2017,25,Leeds United,eng ENG,2. Championship,7th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Marco Silvestri,Cremonese,2017-2018,26,Hellas Verona,it ITA,1. Serie A,19th,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Marco Silvestri,Cremonese,2018-2019,27,Hellas Verona,it ITA,2. Serie B,5th,35,35,3150,35.0,0,0,0,0,0,0,2,0,0.0,0.0,0.4,0.4,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
Marco Silvestri,Cremonese,2019-2020,28,Hellas Verona,it ITA,1. Serie A,9th,35,35,3150,35.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Marco Silvestri,Cremonese,2020-2021,29,Hellas Verona,it ITA,1. Serie A,10th,34,34,3060,34.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Marco Silvestri,Cremonese,2021-2022,30,Udinese,it ITA,1. Serie A,12th,35,35,3150,35.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Marco Silvestri,Cremonese,2022-2023,31,Udinese,it ITA,1. Serie A,12th,38,38,3420,38.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Marco Silvestri,Cremonese,2023-2024,32,Udinese,it ITA,1. Serie A,15th,17,17,1530,17.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Marco Silvestri,Cremonese,2024-2025,33,Udinese,it ITA,1. Serie A,12th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Marco Silvestri,Cremonese,2024-2025,33,Sampdoria,it ITA,2. Serie B,17th,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Marco Silvestri,Cremonese,2024-2025,33,Empoli,it ITA,1. Serie A,18th,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Marco Silvestri,Cremonese,2025-2026,34,Cremonese,it ITA,1. Serie A,5th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Marco Silvestri,Cremonese,14 Seasons,14 Seasons,8 Clubs,,3 Leagues,,324,321,28946,321.6,0,0,0,0,0,0,8,2,0.0,0.0,0.4,0.4,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Marco Silvestri,Cremonese,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Marco Silvestri,Cremonese,Hellas Verona (4 Seasons),Hellas Verona (4 Seasons),Hellas Verona (4 Seasons),,2 Leagues,,106,106,9540,106.0,0,0,0,0,0,0,5,0,0.0,0.0,0.4,0.4,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Marco Silvestri,Cremonese,Udinese (4 Seasons),Udinese (4 Seasons),Udinese (4 Seasons),,1 League,,90,90,8100,90.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Marco Silvestri,Cremonese,Leeds United (3 Seasons),Leeds United (3 Seasons),Leeds United (3 Seasons),,1 League,,88,88,7919,88.0,0,0,0,0,0,0,2,1,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Marco Silvestri,Cremonese,Padova (1 Season),Padova (1 Season),Padova (1 Season),,1 League,,25,22,2073,23.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Marco Silvestri,Cremonese,Sampdoria (1 Season),Sampdoria (1 Season),Sampdoria (1 Season),,1 League,,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Marco Silvestri,Cremonese,Empoli (1 Season),Empoli (1 Season),Empoli (1 Season),,1 League,,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Marco Silvestri,Cremonese,Cagliari (1 Season),Cagliari (1 Season),Cagliari (1 Season),,1 League,,3,3,234,2.6,0,0,0,0,0,0,0,1,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Marco Silvestri,Cremonese,Cremonese (1 Season),Cremonese (1 Season),Cremonese (1 Season),,1 League,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marco Silvestri,Cremonese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marco Silvestri,Cremonese,Serie A (9 Seasons),Serie A (9 Seasons),Serie A (9 Seasons),,,,169,169,15174,168.6,0,0,0,0,0,0,4,1,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Marco Silvestri,Cremonese,Championship (3 Seasons),Championship (3 Seasons),Championship (3 Seasons),,,,88,88,7919,88.0,0,0,0,0,0,0,2,1,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Marco Silvestri,Cremonese,Serie B (3 Seasons),Serie B (3 Seasons),Serie B (3 Seasons),,,,67,64,5853,65.0,0,0,0,0,0,0,2,0,0.0,0.0,0.4,0.4,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,
