Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Martín Payero,Cremonese,2017-2018,18,Banfield,ar ARG,1. Liga Argentina,17th,4,1,127,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,6,4,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
Martín Payero,Cremonese,2018-2019,19,Banfield,ar ARG,1. Liga Argentina,16th,10,10,769,8.5,0,0,0,0,0,0,1,0,2.0,2.0,1.3,3.3,36,34,39,0.00,0.00,0.00,0.00,0.00,0.24,0.15,0.39,0.24,0.39,Matches
Martín Payero,Cremonese,2019-2020,20,Banfield,ar ARG,1. Liga Argentina,17th,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,2,5,0.00,0.00,0.00,0.00,0.00,0.17,0.37,0.54,0.17,0.54,Matches
Martín Payero,Cremonese,2019-2020,20,Talleres,ar ARG,1. Liga Argentina,12th,16,1,326,3.6,1,0,1,1,0,0,2,0,0.4,0.4,0.7,1.1,15,24,21,0.28,0.00,0.28,0.28,0.28,0.11,0.18,0.29,0.11,0.29,Matches
Martín Payero,Cremonese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martín Payero,Cremonese,2021-2022,22,Middlesbrough,eng ENG,Jr. PL2 — Div. 2,12th,3,3,168,1.9,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Martín Payero,Cremonese,2021-2022,22,Middlesbrough,eng ENG,2. Championship,7th,13,6,567,6.3,1,1,2,1,0,0,2,0,0.9,0.9,1.9,2.9,10,22,22,0.16,0.16,0.32,0.16,0.32,0.15,0.31,0.46,0.15,0.46,Matches
Martín Payero,Cremonese,2022,23,Boca Juniors,ar ARG,1. Liga Argentina,1st,14,8,678,7.5,1,0,1,1,0,0,2,0,1.0,1.0,0.8,1.8,17,24,39,0.13,0.00,0.13,0.13,0.13,0.13,0.10,0.23,0.13,0.23,Matches
Martín Payero,Cremonese,2023,24,Boca Juniors,ar ARG,1. Liga Argentina,7th,10,6,504,5.6,4,0,4,4,0,0,2,1,1.2,1.2,0.3,1.5,7,19,19,0.71,0.00,0.71,0.71,0.71,0.21,0.06,0.27,0.21,0.27,Matches
