Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Michele Castagnetti,Cremonese,2016-2017,26,SPAL,it ITA,2. Serie B,1st,29,24,2018,22.4,0,1,1,0,0,0,7,0,,,,,,,,0.00,0.04,0.04,0.00,0.04,,,,,,Matches
Michele Castagnetti,Cremonese,2017-2018,27,Empoli,it ITA,2. Serie B,1st,39,38,3340,37.1,1,2,3,1,0,0,13,0,,,,,,,,0.03,0.05,0.08,0.03,0.08,,,,,,Matches
Michele Castagnetti,Cremonese,2018-2019,28,Cremonese,it ITA,2. Serie B,9th,17,15,1328,14.8,0,1,1,0,0,0,1,0,0.8,0.8,1.2,2.0,12,109,11,0.00,0.07,0.07,0.00,0.07,0.05,0.08,0.13,0.05,0.13,Matches
Michele Castagnetti,Cremonese,2019-2020,29,Cremonese,it ITA,2. Serie B,12th,25,22,1780,19.8,3,5,8,3,0,0,8,0,0.8,0.8,4.8,5.6,10,146,23,0.15,0.25,0.40,0.15,0.40,0.04,0.25,0.28,0.04,0.28,Matches
Michele Castagnetti,Cremonese,2020-2021,30,Cremonese,it ITA,2. Serie B,13th,32,28,2342,26.0,1,2,3,1,0,0,12,1,1.6,1.6,4.4,6.0,17,169,31,0.04,0.08,0.12,0.04,0.12,0.06,0.17,0.23,0.06,0.23,Matches
Michele Castagnetti,Cremonese,2021-2022,31,Cremonese,it ITA,2. Serie B,2nd,30,26,2183,24.3,0,3,3,0,0,0,10,0,0.9,0.9,1.7,2.7,18,177,23,0.00,0.12,0.12,0.00,0.12,0.04,0.07,0.11,0.04,0.11,Matches
Michele Castagnetti,Cremonese,2022-2023,32,Cremonese,it ITA,1. Serie A,19th,27,14,1412,15.7,0,1,1,0,0,0,2,0,0.6,0.6,1.8,2.5,14,120,10,0.00,0.06,0.06,0.00,0.06,0.04,0.12,0.16,0.04,0.16,Matches
Michele Castagnetti,Cremonese,2023-2024,33,Cremonese,it ITA,2. Serie B,4th,35,30,2641,29.3,4,1,5,4,0,0,6,0,1.6,1.6,3.3,4.9,36,233,47,0.14,0.03,0.17,0.14,0.17,0.05,0.11,0.17,0.05,0.17,Matches
Michele Castagnetti,Cremonese,2024-2025,34,Cremonese,it ITA,2. Serie B,4th,31,26,2251,25.0,1,3,4,1,0,0,6,0,0.9,0.9,4.1,5.1,29,175,22,0.04,0.12,0.16,0.04,0.16,0.04,0.17,0.20,0.04,0.20,Matches
Michele Castagnetti,Cremonese,2025-2026,35,Cremonese,it ITA,1. Serie A,5th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Michele Castagnetti,Cremonese,10 Seasons,10 Seasons,3 Clubs,,2 Leagues,,265,223,19295,214.4,10,19,29,10,0,0,65,1,7.2,7.2,21.5,28.7,136,1129,167,0.05,0.09,0.14,0.05,0.14,0.05,0.14,0.19,0.05,0.19,
Michele Castagnetti,Cremonese,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Michele Castagnetti,Cremonese,Cremonese (8 Seasons),Cremonese (8 Seasons),Cremonese (8 Seasons),,2 Leagues,,197,161,13937,154.9,9,16,25,9,0,0,45,1,7.2,7.2,21.5,28.7,136,1129,167,0.06,0.10,0.16,0.06,0.16,0.05,0.14,0.19,0.05,0.19,
Michele Castagnetti,Cremonese,Empoli (1 Season),Empoli (1 Season),Empoli (1 Season),,1 League,,39,38,3340,37.1,1,2,3,1,0,0,13,0,,,,,,,,0.03,0.05,0.08,0.03,0.08,,,,,,
Michele Castagnetti,Cremonese,SPAL (1 Season),SPAL (1 Season),SPAL (1 Season),,1 League,,29,24,2018,22.4,0,1,1,0,0,0,7,0,,,,,,,,0.00,0.04,0.04,0.00,0.04,,,,,,
Michele Castagnetti,Cremonese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michele Castagnetti,Cremonese,Serie B (8 Seasons),Serie B (8 Seasons),Serie B (8 Seasons),,,,238,209,17883,198.7,10,18,28,10,0,0,63,1,6.5,6.5,19.7,26.2,122,1009,157,0.05,0.09,0.14,0.05,0.14,0.05,0.14,0.19,0.05,0.19,
Michele Castagnetti,Cremonese,Serie A (2 Seasons),Serie A (2 Seasons),Serie A (2 Seasons),,,,27,14,1412,15.7,0,1,1,0,0,0,2,0,0.6,0.6,1.8,2.5,14,120,10,0.00,0.06,0.06,0.00,0.06,0.04,0.12,0.16,0.04,0.16,
