Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Warren Bondo,Cremonese,2020-2021,16,Nancy,fr FRA,2. Ligue 2,8th,13,4,418,4.6,1,0,1,1,0,0,1,1,,,,,,,,0.22,0.00,0.22,0.22,0.22,,,,,,Matches
Warren Bondo,Cremonese,2021-2022,17,Nancy,fr FRA,2. Ligue 2,20th,21,8,863,9.6,1,1,2,0,1,1,1,0,,,,,,,,0.10,0.10,0.21,0.00,0.10,,,,,,Matches
Warren Bondo,Cremonese,2022-2023,18,US Reggina,it ITA,2. Serie B,7th,3,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Warren Bondo,Cremonese,2022-2023,18,Monza,it ITA,1. Serie A,11th,4,0,60,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,5,2,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,Matches
Warren Bondo,Cremonese,2023-2024,19,Monza,it ITA,1. Serie A,12th,25,14,1475,16.4,1,1,2,1,0,0,9,0,0.9,0.9,0.3,1.2,31,43,13,0.06,0.06,0.12,0.06,0.12,0.06,0.02,0.08,0.06,0.08,Matches
Warren Bondo,Cremonese,2024-2025,20,Monza,it ITA,1. Serie A,20th,20,19,1618,18.0,0,0,0,0,0,0,5,1,0.4,0.4,0.3,0.7,25,39,21,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches
Warren Bondo,Cremonese,2024-2025,20,Milan,it ITA,1. Serie A,8th,4,3,162,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,7,0,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.06,0.02,0.06,Matches
Warren Bondo,Cremonese,2025-2026,21,Cremonese,it ITA,1. Serie A,5th,1,0,35,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Warren Bondo,Cremonese,6 Seasons,6 Seasons,5 Clubs,,3 Leagues,,91,48,4662,51.8,3,2,5,2,1,1,19,2,1.4,1.4,0.7,2.1,65,96,38,0.06,0.04,0.10,0.04,0.08,0.04,0.02,0.06,0.04,0.06,
Warren Bondo,Cremonese,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Warren Bondo,Cremonese,Monza (3 Seasons),Monza (3 Seasons),Monza (3 Seasons),,1 League,,49,33,3153,35.0,1,1,2,1,0,0,15,1,1.4,1.4,0.6,2.0,59,87,36,0.03,0.03,0.06,0.03,0.06,0.04,0.02,0.06,0.04,0.06,
Warren Bondo,Cremonese,Nancy (2 Seasons),Nancy (2 Seasons),Nancy (2 Seasons),,1 League,,34,12,1281,14.2,2,1,3,1,1,1,2,1,,,,,,,,0.14,0.07,0.21,0.07,0.14,,,,,,
Warren Bondo,Cremonese,Milan (1 Season),Milan (1 Season),Milan (1 Season),,1 League,,4,3,162,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,7,0,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.06,0.02,0.06,
Warren Bondo,Cremonese,US Reggina (1 Season),US Reggina (1 Season),US Reggina (1 Season),,1 League,,3,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Warren Bondo,Cremonese,Cremonese (1 Season),Cremonese (1 Season),Cremonese (1 Season),,1 League,,1,0,35,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Warren Bondo,Cremonese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warren Bondo,Cremonese,Serie A (4 Seasons),Serie A (4 Seasons),Serie A (4 Seasons),,,,54,36,3350,37.2,1,1,2,1,0,0,17,1,1.4,1.4,0.7,2.1,62,94,36,0.03,0.03,0.05,0.03,0.05,0.04,0.02,0.06,0.04,0.06,
Warren Bondo,Cremonese,Ligue 2 (2 Seasons),Ligue 2 (2 Seasons),Ligue 2 (2 Seasons),,,,34,12,1281,14.2,2,1,3,1,1,1,2,1,,,,,,,,0.14,0.07,0.21,0.07,0.14,,,,,,
Warren Bondo,Cremonese,Serie B (1 Season),Serie B (1 Season),Serie B (1 Season),,,,3,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
