Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Abdelhamid Sabiri,Fiorentina,2016-2017,19,Nürnberg,de GER,2. 2. Bundesliga,12th,9,7,617,6.9,5,0,5,5,0,0,2,0,,,,,,,,0.73,0.00,0.73,0.73,0.73,,,,,,Matches
Abdelhamid Sabiri,Fiorentina,2017-2018,20,Huddersfield,eng ENG,1. Premier League,16th,5,2,220,2.4,0,1,1,0,0,0,1,0,0.3,0.3,0.1,0.4,2,13,8,0.00,0.41,0.41,0.00,0.41,0.11,0.06,0.17,0.11,0.17,Matches
Abdelhamid Sabiri,Fiorentina,2018-2019,21,Huddersfield,eng ENG,1. Premier League,20th,2,1,48,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Abdelhamid Sabiri,Fiorentina,2019-2020,22,Paderborn 07,de GER,1. Bundesliga,18th,24,9,1048,11.6,4,1,5,3,1,1,6,0,3.1,2.3,0.3,2.6,15,42,16,0.34,0.09,0.43,0.26,0.34,0.26,0.02,0.29,0.20,0.22,Matches
Abdelhamid Sabiri,Fiorentina,2020-2021,23,Ascoli,it ITA,2. Serie B,16th,32,30,2305,25.6,8,4,12,7,1,2,6,0,7.0,5.5,4.1,9.5,46,108,104,0.31,0.16,0.47,0.27,0.43,0.27,0.16,0.43,0.21,0.37,Matches
Abdelhamid Sabiri,Fiorentina,2021-2022,24,Ascoli,it ITA,2. Serie B,6th,11,9,777,8.6,3,0,3,2,1,1,4,0,2.7,1.9,1.0,2.9,12,43,33,0.35,0.00,0.35,0.23,0.23,0.31,0.12,0.43,0.22,0.34,Matches
Abdelhamid Sabiri,Fiorentina,2021-2022,24,Sampdoria,it ITA,1. Serie A,15th,14,9,893,9.9,3,2,5,3,0,0,3,0,1.4,1.4,1.6,3.0,13,35,36,0.30,0.20,0.50,0.30,0.50,0.14,0.16,0.31,0.14,0.31,Matches
Abdelhamid Sabiri,Fiorentina,2022-2023,25,Sampdoria,it ITA,1. Serie A,20th,18,12,1069,11.9,2,0,2,1,1,2,5,0,3.0,1.4,1.4,2.8,7,49,54,0.17,0.00,0.17,0.08,0.08,0.26,0.12,0.38,0.11,0.23,Matches
Abdelhamid Sabiri,Fiorentina,2023-2024,26,Fiorentina,it ITA,1. Serie A,8th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Abdelhamid Sabiri,Fiorentina,2023-2024,26,Al-Fayha,sa KSA,1. Pro League,9th,19,17,1544,17.2,5,6,11,4,1,1,4,0,,,,,,,,0.29,0.35,0.64,0.23,0.58,,,,,,Matches
