Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Luca Lezzerini,Fiorentina,2014-2015,19,Fiorentina,it ITA,1. Serie A,4th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Luca Lezzerini,Fiorentina,2015-2016,20,Fiorentina,it ITA,1. Serie A,5th,2,1,110,1.2,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Luca Lezzerini,Fiorentina,2016-2017,21,Fiorentina,it ITA,1. Serie A,8th,1,0,51,0.6,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Luca Lezzerini,Fiorentina,2016-2017,21,Avellino,it ITA,2. Serie B,14th,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Luca Lezzerini,Fiorentina,2017-2018,22,Avellino,it ITA,2. Serie B,15th,20,20,1890,21.0,0,0,0,0,0,0,1,1,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Luca Lezzerini,Fiorentina,2018-2019,23,Venezia,it ITA,2. Serie B,15th,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Luca Lezzerini,Fiorentina,2019-2020,24,Venezia,it ITA,2. Serie B,11th,34,34,3060,34.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Luca Lezzerini,Fiorentina,2020-2021,25,Venezia,it ITA,2. Serie B,5th,21,21,1824,20.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Luca Lezzerini,Fiorentina,2021-2022,26,Venezia,it ITA,1. Serie A,20th,6,6,495,5.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Luca Lezzerini,Fiorentina,2022-2023,27,Brescia,it ITA,2. Serie B,16th,16,16,1439,16.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Luca Lezzerini,Fiorentina,2023-2024,28,Brescia,it ITA,2. Serie B,8th,25,25,2250,25.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Luca Lezzerini,Fiorentina,2024-2025,29,Brescia,it ITA,2. Serie B,18th,37,37,3330,37.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Luca Lezzerini,Fiorentina,2025-2026,30,Fiorentina,it ITA,1. Serie A,7th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Luca Lezzerini,Fiorentina,12 Seasons,12 Seasons,4 Clubs,,2 Leagues,,167,165,14899,165.5,0,0,0,0,0,0,8,2,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Luca Lezzerini,Fiorentina,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Luca Lezzerini,Fiorentina,Venezia (4 Seasons),Venezia (4 Seasons),Venezia (4 Seasons),,2 Leagues,,65,65,5739,63.8,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Luca Lezzerini,Fiorentina,Fiorentina (4 Seasons),Fiorentina (4 Seasons),Fiorentina (4 Seasons),,1 League,,3,1,161,1.8,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Luca Lezzerini,Fiorentina,Brescia (3 Seasons),Brescia (3 Seasons),Brescia (3 Seasons),,1 League,,78,78,7019,78.0,0,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Luca Lezzerini,Fiorentina,Avellino (2 Seasons),Avellino (2 Seasons),Avellino (2 Seasons),,1 League,,21,21,1980,22.0,0,0,0,0,0,0,1,1,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Luca Lezzerini,Fiorentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luca Lezzerini,Fiorentina,Serie B (8 Seasons),Serie B (8 Seasons),Serie B (8 Seasons),,,,158,158,14243,158.3,0,0,0,0,0,0,6,2,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Luca Lezzerini,Fiorentina,Serie A (5 Seasons),Serie A (5 Seasons),Serie A (5 Seasons),,,,9,7,656,7.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
