Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Niccolò Fortini,Fiorentina,2023-2024,17,Fiorentina,it ITA,1. Serie A,8th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Niccolò Fortini,Fiorentina,2024-2025,18,Juve Stabia,it ITA,2. Serie B,5th,26,23,1952,21.7,2,3,5,2,0,0,4,0,2.0,2.0,2.8,4.9,44,52,112,0.09,0.14,0.23,0.09,0.23,0.09,0.13,0.22,0.09,0.22,Matches
Niccolò Fortini,Fiorentina,2024-2025,18,Fiorentina,it ITA,1. Serie A,6th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Niccolò Fortini,Fiorentina,2025-2026,19,Fiorentina,it ITA,1. Serie A,7th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Niccolò Fortini,Fiorentina,3 Seasons,3 Seasons,2 Clubs,,2 Leagues,,26,23,1952,21.7,2,3,5,2,0,0,4,0,2.0,2.0,2.8,4.9,44,52,112,0.09,0.14,0.23,0.09,0.23,0.09,0.13,0.22,0.09,0.22,
Niccolò Fortini,Fiorentina,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Niccolò Fortini,Fiorentina,Fiorentina (3 Seasons),Fiorentina (3 Seasons),Fiorentina (3 Seasons),,1 League,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niccolò Fortini,Fiorentina,Juve Stabia (1 Season),Juve Stabia (1 Season),Juve Stabia (1 Season),,1 League,,26,23,1952,21.7,2,3,5,2,0,0,4,0,2.0,2.0,2.8,4.9,44,52,112,0.09,0.14,0.23,0.09,0.23,0.09,0.13,0.22,0.09,0.22,
Niccolò Fortini,Fiorentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niccolò Fortini,Fiorentina,Serie A (3 Seasons),Serie A (3 Seasons),Serie A (3 Seasons),,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niccolò Fortini,Fiorentina,Serie B (1 Season),Serie B (1 Season),Serie B (1 Season),,,,26,23,1952,21.7,2,3,5,2,0,0,4,0,2.0,2.0,2.8,4.9,44,52,112,0.09,0.14,0.23,0.09,0.23,0.09,0.13,0.22,0.09,0.22,
