Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Nicolò Fagioli,Fiorentina,2018-2019,17,Juventus,it ITA,1. Serie A,1st,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Nicolò Fagioli,Fiorentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolò Fagioli,Fiorentina,2020-2021,19,Juventus,it ITA,1. Serie A,4th,1,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Nicolò Fagioli,Fiorentina,2021-2022,20,Cremonese,it ITA,2. Serie B,2nd,33,26,2182,24.2,3,7,10,3,0,1,6,0,3.2,2.4,3.4,5.8,45,123,53,0.12,0.29,0.41,0.12,0.41,0.13,0.14,0.27,0.10,0.24,Matches
Nicolò Fagioli,Fiorentina,2021-2022,20,Juventus,it ITA,1. Serie A,4th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Nicolò Fagioli,Fiorentina,2022-2023,21,Juventus,it ITA,1. Serie A,7th,26,17,1520,16.9,3,3,6,3,0,0,3,0,1.5,1.5,1.3,2.8,27,56,56,0.18,0.18,0.36,0.18,0.36,0.09,0.08,0.17,0.09,0.17,Matches
Nicolò Fagioli,Fiorentina,2023-2024,22,Juventus,it ITA,1. Serie A,3rd,8,4,437,4.9,0,2,2,0,0,0,1,0,0.4,0.4,0.7,1.1,8,23,15,0.00,0.41,0.41,0.00,0.41,0.08,0.15,0.23,0.08,0.23,Matches
Nicolò Fagioli,Fiorentina,2024-2025,23,Juventus,it ITA,1. Serie A,4th,17,5,571,6.3,0,0,0,0,0,0,4,0,0.6,0.6,0.1,0.7,19,41,18,0.00,0.00,0.00,0.00,0.00,0.09,0.02,0.11,0.09,0.11,Matches
Nicolò Fagioli,Fiorentina,2024-2025,23,Fiorentina,it ITA,1. Serie A,6th,15,10,962,10.7,1,2,3,1,0,0,0,0,0.5,0.5,3.0,3.5,15,50,19,0.09,0.19,0.28,0.09,0.28,0.05,0.28,0.32,0.05,0.32,Matches
Nicolò Fagioli,Fiorentina,2025-2026,24,Fiorentina,it ITA,1. Serie A,7th,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,7,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
Nicolò Fagioli,Fiorentina,7 Seasons,7 Seasons,3 Clubs,,2 Leagues,,101,63,5783,64.3,7,14,21,7,0,1,14,0,6.2,5.4,8.5,13.9,116,301,161,0.11,0.22,0.33,0.11,0.33,0.10,0.13,0.23,0.08,0.22,
Nicolò Fagioli,Fiorentina,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Nicolò Fagioli,Fiorentina,Juventus (6 Seasons),Juventus (6 Seasons),Juventus (6 Seasons),,1 League,,52,26,2549,28.3,3,5,8,3,0,0,8,0,2.4,2.4,2.2,4.6,54,121,89,0.11,0.18,0.28,0.11,0.28,0.09,0.08,0.16,0.09,0.16,
Nicolò Fagioli,Fiorentina,Fiorentina (2 Seasons),Fiorentina (2 Seasons),Fiorentina (2 Seasons),,1 League,,16,11,1052,11.7,1,2,3,1,0,0,0,0,0.5,0.5,3.0,3.5,17,57,19,0.09,0.17,0.26,0.09,0.26,0.04,0.25,0.30,0.04,0.30,
Nicolò Fagioli,Fiorentina,Cremonese (1 Season),Cremonese (1 Season),Cremonese (1 Season),,1 League,,33,26,2182,24.2,3,7,10,3,0,1,6,0,3.2,2.4,3.4,5.8,45,123,53,0.12,0.29,0.41,0.12,0.41,0.13,0.14,0.27,0.10,0.24,
Nicolò Fagioli,Fiorentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolò Fagioli,Fiorentina,Serie A (7 Seasons),Serie A (7 Seasons),Serie A (7 Seasons),,,,68,37,3601,40.0,4,7,11,4,0,0,8,0,3.0,3.0,5.1,8.1,71,178,108,0.10,0.17,0.27,0.10,0.27,0.07,0.13,0.20,0.07,0.20,
Nicolò Fagioli,Fiorentina,Serie B (1 Season),Serie B (1 Season),Serie B (1 Season),,,,33,26,2182,24.2,3,7,10,3,0,1,6,0,3.2,2.4,3.4,5.8,45,123,53,0.12,0.29,0.41,0.12,0.41,0.13,0.14,0.27,0.10,0.24,
