Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Pablo Marí,Fiorentina,2011-2012,17,Mallorca,es ESP,1. La Liga,8th,2,0,36,0.4,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Pablo Marí,Fiorentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pablo Marí,Fiorentina,2015-2016,21,Gimnàstic,es ESP,2. La Liga 2,3rd,25,25,2217,24.6,1,0,1,1,0,0,7,1,,,,,,,,0.04,0.00,0.04,0.04,0.04,,,,,,Matches
Pablo Marí,Fiorentina,2016-2017,22,Girona,es ESP,2. La Liga 2,2nd,8,6,506,5.6,0,0,0,0,0,0,2,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Pablo Marí,Fiorentina,2017-2018,23,NAC Breda,nl NED,1. Eredivisie,14th,31,30,2673,29.7,3,0,3,3,0,0,8,0,,,,,,,,0.10,0.00,0.10,0.10,0.10,,,,,,Matches
Pablo Marí,Fiorentina,2018-2019,24,La Coruña,es ESP,2. La Liga 2,6th,37,35,3174,35.3,2,0,2,2,0,0,10,1,,,,,,,,0.06,0.00,0.06,0.06,0.06,,,,,,Matches
Pablo Marí,Fiorentina,2019,25,Flamengo,br BRA,1. Série A,1st,22,22,1980,22.0,2,1,3,2,0,0,4,0,1.5,1.5,0.7,2.2,15,128,5,0.09,0.05,0.14,0.09,0.14,0.07,0.03,0.10,0.07,0.10,Matches
Pablo Marí,Fiorentina,2019-2020,25,Arsenal,eng ENG,1. Premier League,8th,2,2,113,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Pablo Marí,Fiorentina,2019-2020,25,Arsenal,eng ENG,Jr. PL2 — Div. 1,6th,2,2,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Pablo Marí,Fiorentina,2020-2021,26,Arsenal,eng ENG,Jr. PL2 — Div. 1,10th,2,2,135,1.5,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Pablo Marí,Fiorentina,2020-2021,26,Arsenal,eng ENG,1. Premier League,8th,10,10,900,10.0,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.3,4,21,0,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.03,0.01,0.03,Matches
Pablo Marí,Fiorentina,2021-2022,27,Arsenal,eng ENG,1. Premier League,5th,2,2,180,2.0,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,0,9,0,0.00,0.00,0.00,0.00,0.00,0.04,0.06,0.10,0.04,0.10,Matches
Pablo Marí,Fiorentina,2021-2022,27,Udinese,it ITA,1. Serie A,12th,15,15,1341,14.9,2,0,2,2,0,0,2,1,0.7,0.7,0.7,1.4,2,20,6,0.13,0.00,0.13,0.13,0.13,0.04,0.05,0.09,0.04,0.09,Matches
Pablo Marí,Fiorentina,2022-2023,28,Monza,it ITA,1. Serie A,11th,30,28,2487,27.6,1,0,1,1,0,0,4,0,0.6,0.6,0.3,1.0,6,57,3,0.04,0.00,0.04,0.04,0.04,0.02,0.01,0.04,0.02,0.04,Matches
Pablo Marí,Fiorentina,2023-2024,29,Monza,it ITA,1. Serie A,12th,34,30,2615,29.1,0,0,0,0,0,0,7,0,0.4,0.4,0.3,0.7,2,62,1,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches
Pablo Marí,Fiorentina,2024-2025,30,Monza,it ITA,1. Serie A,20th,19,19,1628,18.1,0,0,0,0,0,0,4,1,0.2,0.2,0.1,0.3,5,58,1,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,Matches
Pablo Marí,Fiorentina,2024-2025,30,Fiorentina,it ITA,1. Serie A,6th,13,12,1098,12.2,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,2,27,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
Pablo Marí,Fiorentina,2025-2026,31,Fiorentina,it ITA,1. Serie A,7th,1,0,29,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Pablo Marí,Fiorentina,12 Seasons,12 Seasons,10 Clubs,,6 Leagues,,251,236,20977,233.1,11,1,12,11,0,0,55,4,3.6,3.6,2.6,6.2,36,387,16,0.05,0.00,0.05,0.05,0.05,0.03,0.02,0.04,0.03,0.04,
Pablo Marí,Fiorentina,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Pablo Marí,Fiorentina,Monza (3 Seasons),Monza (3 Seasons),Monza (3 Seasons),,1 League,,83,77,6730,74.8,1,0,1,1,0,0,15,1,1.2,1.2,0.8,2.0,13,177,5,0.01,0.00,0.01,0.01,0.01,0.02,0.01,0.03,0.02,0.03,
