Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Simon Sohm,Fiorentina,2018-2019,17,Zürich,ch SUI,1. Super Lg,7th,6,3,295,3.3,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Simon Sohm,Fiorentina,2019-2020,18,Zürich,ch SUI,1. Super Lg,7th,31,22,2042,22.7,1,2,3,1,0,0,9,1,,,,,,,,0.04,0.09,0.13,0.04,0.13,,,,,,Matches
Simon Sohm,Fiorentina,2020-2021,19,Zürich,ch SUI,1. Super Lg,8th,2,2,180,2.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Simon Sohm,Fiorentina,2020-2021,19,Parma,it ITA,1. Serie A,20th,18,8,899,10.0,1,0,1,1,0,0,1,0,0.6,0.6,0.2,0.8,13,33,18,0.10,0.00,0.10,0.10,0.10,0.06,0.02,0.08,0.06,0.08,Matches
Simon Sohm,Fiorentina,2021-2022,20,Parma,it ITA,2. Serie B,12th,28,15,1537,17.1,0,0,0,0,0,0,5,0,0.8,0.8,1.3,2.1,23,62,29,0.00,0.00,0.00,0.00,0.00,0.05,0.07,0.12,0.05,0.12,Matches
Simon Sohm,Fiorentina,2022-2023,21,Parma,it ITA,2. Serie B,4th,27,16,1368,15.2,0,3,3,0,0,0,5,0,0.7,0.7,2.4,3.1,33,88,97,0.00,0.20,0.20,0.00,0.20,0.04,0.16,0.20,0.04,0.20,Matches
Simon Sohm,Fiorentina,2023-2024,22,Parma,it ITA,2. Serie B,1st,32,21,1599,17.8,0,4,4,0,0,0,1,1,2.1,2.1,2.8,4.9,52,81,80,0.00,0.23,0.23,0.00,0.23,0.12,0.15,0.27,0.12,0.27,Matches
Simon Sohm,Fiorentina,2024-2025,23,Parma,it ITA,1. Serie A,16th,37,36,2989,33.2,4,0,4,4,0,0,6,0,3.1,3.1,2.1,5.2,69,140,67,0.12,0.00,0.12,0.12,0.12,0.09,0.06,0.16,0.09,0.16,Matches
Simon Sohm,Fiorentina,2025-2026,24,Fiorentina,it ITA,1. Serie A,7th,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.7,0.7,2,4,3,0.00,0.00,0.00,0.00,0.00,0.00,0.69,0.69,0.00,0.69,Matches
Simon Sohm,Fiorentina,8 Seasons,8 Seasons,3 Clubs,,3 Leagues,,182,124,10999,122.2,6,9,15,6,0,0,27,2,7.3,7.3,9.5,16.7,192,408,294,0.05,0.07,0.12,0.05,0.12,0.08,0.10,0.18,0.08,0.18,
Simon Sohm,Fiorentina,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Simon Sohm,Fiorentina,Parma (5 Seasons),Parma (5 Seasons),Parma (5 Seasons),,2 Leagues,,142,96,8392,93.2,5,7,12,5,0,0,18,1,7.3,7.3,8.8,16.1,190,404,291,0.05,0.08,0.13,0.05,0.13,0.08,0.09,0.17,0.08,0.17,
Simon Sohm,Fiorentina,Zürich (3 Seasons),Zürich (3 Seasons),Zürich (3 Seasons),,1 League,,39,27,2517,28.0,1,2,3,1,0,0,9,1,,,,,,,,0.04,0.07,0.11,0.04,0.11,,,,,,
Simon Sohm,Fiorentina,Fiorentina (1 Season),Fiorentina (1 Season),Fiorentina (1 Season),,1 League,,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.7,0.7,2,4,3,0.00,0.00,0.00,0.00,0.00,0.00,0.69,0.69,0.00,0.69,
Simon Sohm,Fiorentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simon Sohm,Fiorentina,Serie B (3 Seasons),Serie B (3 Seasons),Serie B (3 Seasons),,,,87,52,4504,50.0,0,7,7,0,0,0,11,1,3.6,3.6,6.5,10.1,108,231,206,0.00,0.14,0.14,0.00,0.14,0.07,0.13,0.20,0.07,0.20,
Simon Sohm,Fiorentina,Serie A (3 Seasons),Serie A (3 Seasons),Serie A (3 Seasons),,,,56,45,3978,44.2,5,0,5,5,0,0,7,0,3.7,3.7,3.0,6.7,84,177,88,0.11,0.00,0.11,0.11,0.11,0.08,0.07,0.15,0.08,0.15,
Simon Sohm,Fiorentina,Super Lg (3 Seasons),Super Lg (3 Seasons),Super Lg (3 Seasons),,,,39,27,2517,28.0,1,2,3,1,0,0,9,1,,,,,,,,0.04,0.07,0.11,0.04,0.11,,,,,,
