Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Daniele Sommariva,Genoa,2014-2015,17,Genoa,it ITA,1. Serie A,6th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Daniele Sommariva,Genoa,2015-2016,18,Genoa,it ITA,1. Serie A,11th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Daniele Sommariva,Genoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniele Sommariva,Genoa,2020-2021,23,Monza,it ITA,2. Serie B,3rd,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Daniele Sommariva,Genoa,2021-2022,24,Monza,it ITA,2. Serie B,4th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Daniele Sommariva,Genoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniele Sommariva,Genoa,2023-2024,26,Genoa,it ITA,1. Serie A,11th,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Daniele Sommariva,Genoa,2024-2025,27,Genoa,it ITA,1. Serie A,13th,1,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Daniele Sommariva,Genoa,2025-2026,28,Genoa,it ITA,1. Serie A,13th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Daniele Sommariva,Genoa,7 Seasons,7 Seasons,2 Clubs,,2 Leagues,,5,3,303,3.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Daniele Sommariva,Genoa,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Daniele Sommariva,Genoa,Genoa (5 Seasons),Genoa (5 Seasons),Genoa (5 Seasons),,1 League,,2,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Daniele Sommariva,Genoa,Monza (2 Seasons),Monza (2 Seasons),Monza (2 Seasons),,1 League,,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Daniele Sommariva,Genoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniele Sommariva,Genoa,Serie A (5 Seasons),Serie A (5 Seasons),Serie A (5 Seasons),,,,2,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Daniele Sommariva,Genoa,Serie B (2 Seasons),Serie B (2 Seasons),Serie B (2 Seasons),,,,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
