Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Junior Messias,Genoa,2019-2020,28,Crotone,it ITA,2. Serie B,2nd,34,32,2718,30.2,6,4,10,6,0,0,7,1,8.0,8.0,6.4,14.3,121,124,314,0.20,0.13,0.33,0.20,0.33,0.26,0.21,0.48,0.26,0.48,Matches
Junior Messias,Genoa,2020-2021,29,Crotone,it ITA,1. Serie A,19th,36,36,3215,35.7,9,4,13,9,0,0,6,0,7.6,7.6,2.6,10.2,166,135,213,0.25,0.11,0.36,0.25,0.36,0.21,0.07,0.29,0.21,0.29,Matches
Junior Messias,Genoa,2021-2022,30,Milan,it ITA,1. Serie A,1st,26,14,1428,15.9,5,2,7,5,0,0,2,0,3.5,3.5,1.8,5.3,63,45,124,0.32,0.13,0.44,0.32,0.44,0.22,0.11,0.33,0.22,0.33,Matches
Junior Messias,Genoa,2022-2023,31,Milan,it ITA,1. Serie A,4th,25,19,1498,16.6,5,2,7,5,0,0,3,0,2.3,2.3,0.8,3.0,45,54,137,0.30,0.12,0.42,0.30,0.42,0.14,0.05,0.18,0.14,0.18,Matches
Junior Messias,Genoa,2023-2024,32,Genoa,it ITA,1. Serie A,11th,18,13,1053,11.7,1,0,1,1,0,0,0,0,1.6,1.6,1.3,2.9,35,29,75,0.09,0.00,0.09,0.09,0.09,0.14,0.11,0.25,0.14,0.25,Matches
Junior Messias,Genoa,2024-2025,33,Genoa,it ITA,1. Serie A,13th,17,8,847,9.4,1,1,2,1,0,1,1,0,2.4,1.4,0.7,2.1,32,32,49,0.11,0.11,0.21,0.11,0.21,0.25,0.07,0.33,0.15,0.23,Matches
Junior Messias,Genoa,2025-2026,34,Genoa,it ITA,1. Serie A,13th,1,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Junior Messias,Genoa,7 Seasons,7 Seasons,3 Clubs,,2 Leagues,,157,122,10790,119.9,27,13,40,27,0,1,19,1,25.3,24.4,13.5,37.9,462,419,913,0.23,0.11,0.33,0.23,0.33,0.21,0.11,0.32,0.20,0.32,
Junior Messias,Genoa,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Junior Messias,Genoa,Genoa (3 Seasons),Genoa (3 Seasons),Genoa (3 Seasons),,1 League,,36,21,1931,21.5,2,1,3,2,0,1,1,0,4.0,3.1,2.0,5.0,67,61,125,0.09,0.05,0.14,0.09,0.14,0.19,0.09,0.28,0.14,0.23,
Junior Messias,Genoa,Crotone (2 Seasons),Crotone (2 Seasons),Crotone (2 Seasons),,2 Leagues,,70,68,5933,65.9,15,8,23,15,0,0,13,1,15.6,15.6,9.0,24.5,287,259,527,0.23,0.12,0.35,0.23,0.35,0.24,0.14,0.37,0.24,0.37,
Junior Messias,Genoa,Milan (2 Seasons),Milan (2 Seasons),Milan (2 Seasons),,1 League,,51,33,2926,32.5,10,4,14,10,0,0,5,0,5.7,5.7,2.6,8.3,108,99,261,0.31,0.12,0.43,0.31,0.43,0.18,0.08,0.26,0.18,0.26,
Junior Messias,Genoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junior Messias,Genoa,Serie A (6 Seasons),Serie A (6 Seasons),Serie A (6 Seasons),,,,123,90,8072,89.7,21,9,30,21,0,1,12,0,17.3,16.4,7.1,23.5,341,295,599,0.23,0.10,0.33,0.23,0.33,0.19,0.08,0.27,0.18,0.26,
Junior Messias,Genoa,Serie B (1 Season),Serie B (1 Season),Serie B (1 Season),,,,34,32,2718,30.2,6,4,10,6,0,0,7,1,8.0,8.0,6.4,14.3,121,124,314,0.20,0.13,0.33,0.20,0.33,0.26,0.21,0.48,0.26,0.48,
