Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Lorenzo Colombo,Genoa,2019-2020,17,Milan,it ITA,1. Serie A,6th,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.29,0.00,0.29,Matches
Lorenzo Colombo,Genoa,2020-2021,18,Milan,it ITA,1. Serie A,2nd,4,1,94,1.0,0,0,0,0,0,0,0,0,0.6,0.6,0.0,0.6,4,1,3,0.00,0.00,0.00,0.00,0.00,0.57,0.00,0.57,0.57,0.57,Matches
Lorenzo Colombo,Genoa,2020-2021,18,Cremonese,it ITA,2. Serie B,13th,13,0,317,3.5,1,0,1,1,0,0,1,0,2.0,2.0,0.4,2.3,11,6,28,0.28,0.00,0.28,0.28,0.28,0.55,0.11,0.66,0.55,0.66,Matches
Lorenzo Colombo,Genoa,2021-2022,19,SPAL,it ITA,2. Serie B,15th,34,26,2075,23.1,6,0,6,6,0,0,9,1,6.0,6.0,1.8,7.8,29,32,170,0.26,0.00,0.26,0.26,0.26,0.26,0.08,0.34,0.26,0.34,Matches
Lorenzo Colombo,Genoa,2022-2023,20,Lecce,it ITA,1. Serie A,16th,33,18,1515,16.8,5,2,7,4,1,2,4,0,6.2,4.6,1.4,6.1,14,21,119,0.30,0.12,0.42,0.24,0.36,0.37,0.09,0.45,0.28,0.36,Matches
Lorenzo Colombo,Genoa,2023-2024,21,Monza,it ITA,1. Serie A,12th,25,16,1359,15.1,4,1,5,4,0,0,3,0,3.6,3.6,0.6,4.2,16,24,75,0.26,0.07,0.33,0.26,0.33,0.24,0.04,0.28,0.24,0.28,Matches
Lorenzo Colombo,Genoa,2023-2024,21,Milan,it ITA,1. Serie A,2nd,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Lorenzo Colombo,Genoa,2024-2025,22,Empoli,it ITA,1. Serie A,18th,37,26,2233,24.8,6,2,8,5,1,1,5,1,5.9,5.1,2.9,8.0,27,48,116,0.24,0.08,0.32,0.20,0.28,0.24,0.12,0.35,0.21,0.32,Matches
Lorenzo Colombo,Genoa,2025-2026,23,Genoa,it ITA,1. Serie A,13th,1,1,72,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
