Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Mikael Ellertsson,Genoa,2021-2022,19,SPAL,it ITA,2. Serie B,15th,6,1,141,1.6,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,8,3,13,0.00,0.00,0.00,0.00,0.00,0.18,0.06,0.24,0.18,0.24,Matches
Mikael Ellertsson,Genoa,2022-2023,20,Spezia,it ITA,1. Serie A,17th,11,1,171,1.9,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.2,3,3,4,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08,Matches
Mikael Ellertsson,Genoa,2022-2023,20,Venezia,it ITA,2. Serie B,8th,16,14,1047,11.6,2,1,3,2,0,0,3,0,2.2,2.2,0.8,3.0,21,39,38,0.17,0.09,0.26,0.17,0.26,0.19,0.07,0.26,0.19,0.26,Matches
Mikael Ellertsson,Genoa,2023-2024,21,Venezia,it ITA,2. Serie B,3rd,35,20,1680,18.7,2,3,5,2,0,0,5,0,1.8,1.8,2.3,4.1,34,47,79,0.11,0.16,0.27,0.11,0.27,0.10,0.12,0.22,0.10,0.22,Matches
Mikael Ellertsson,Genoa,2024-2025,22,Venezia,it ITA,1. Serie A,19th,36,29,2470,27.4,2,2,4,2,0,0,2,0,1.1,1.1,1.6,2.7,33,36,92,0.07,0.07,0.15,0.07,0.15,0.04,0.06,0.10,0.04,0.10,Matches
Mikael Ellertsson,Genoa,2025-2026,23,Genoa,it ITA,1. Serie A,13th,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Mikael Ellertsson,Genoa,5 Seasons,5 Seasons,4 Clubs,,2 Leagues,,105,65,5527,61.4,6,6,12,6,0,0,14,0,5.6,5.6,4.9,10.4,99,128,226,0.10,0.10,0.20,0.10,0.20,0.09,0.08,0.17,0.09,0.17,
Mikael Ellertsson,Genoa,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Mikael Ellertsson,Genoa,Venezia (3 Seasons),Venezia (3 Seasons),Venezia (3 Seasons),,2 Leagues,,87,63,5197,57.7,6,6,12,6,0,0,10,0,5.2,5.2,4.7,9.9,88,122,209,0.10,0.10,0.21,0.10,0.21,0.09,0.08,0.17,0.09,0.17,
Mikael Ellertsson,Genoa,Spezia (1 Season),Spezia (1 Season),Spezia (1 Season),,1 League,,11,1,171,1.9,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.2,3,3,4,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08,
Mikael Ellertsson,Genoa,SPAL (1 Season),SPAL (1 Season),SPAL (1 Season),,1 League,,6,1,141,1.6,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,8,3,13,0.00,0.00,0.00,0.00,0.00,0.18,0.06,0.24,0.18,0.24,
Mikael Ellertsson,Genoa,Genoa (1 Season),Genoa (1 Season),Genoa (1 Season),,1 League,,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Mikael Ellertsson,Genoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mikael Ellertsson,Genoa,Serie B (3 Seasons),Serie B (3 Seasons),Serie B (3 Seasons),,,,57,35,2868,31.9,4,4,8,4,0,0,9,0,4.3,4.3,3.2,7.5,63,89,130,0.13,0.13,0.25,0.13,0.25,0.14,0.10,0.24,0.14,0.24,
Mikael Ellertsson,Genoa,Serie A (3 Seasons),Serie A (3 Seasons),Serie A (3 Seasons),,,,48,30,2659,29.5,2,2,4,2,0,0,5,0,1.3,1.3,1.6,2.9,36,39,96,0.07,0.07,0.14,0.07,0.14,0.04,0.06,0.10,0.04,0.10,
