Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Morten Frendrup,Genoa,2017-2018,16,Brøndby,dk DEN,1. Danish Superliga,2nd,3,0,32,0.4,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Morten Frendrup,Genoa,2018-2019,17,Brøndby,dk DEN,1. Danish Superliga,4th,3,0,24,0.3,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Morten Frendrup,Genoa,2019-2020,18,Brøndby,dk DEN,1. Danish Superliga,4th,26,19,1759,19.5,0,0,0,0,0,0,7,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Morten Frendrup,Genoa,2020-2021,19,Brøndby,dk DEN,1. Danish Superliga,1st,31,30,2369,26.3,0,2,2,0,0,0,7,2,,,,,,,,0.00,0.08,0.08,0.00,0.08,,,,,,Matches
Morten Frendrup,Genoa,2021-2022,20,Brøndby,dk DEN,1. Danish Superliga,4th,15,13,1206,13.4,2,0,2,2,0,0,1,0,,,,,,,,0.15,0.00,0.15,0.15,0.15,,,,,,Matches
Morten Frendrup,Genoa,2021-2022,20,Genoa,it ITA,1. Serie A,19th,10,6,695,7.7,0,0,0,0,0,0,1,0,0.5,0.5,0.4,0.9,13,25,9,0.00,0.00,0.00,0.00,0.00,0.06,0.05,0.11,0.06,0.11,Matches
Morten Frendrup,Genoa,2022-2023,21,Genoa,it ITA,2. Serie B,2nd,37,32,2921,32.5,2,0,2,2,0,0,3,0,1.4,1.4,1.6,3.0,37,103,78,0.06,0.00,0.06,0.06,0.06,0.04,0.05,0.09,0.04,0.09,Matches
Morten Frendrup,Genoa,2023-2024,22,Genoa,it ITA,1. Serie A,11th,37,36,3145,34.9,2,5,7,2,0,0,6,0,1.7,1.7,1.6,3.3,36,105,69,0.06,0.14,0.20,0.06,0.20,0.05,0.05,0.09,0.05,0.09,Matches
Morten Frendrup,Genoa,2024-2025,23,Genoa,it ITA,1. Serie A,13th,35,35,3103,34.5,2,0,2,2,0,0,5,0,1.6,1.6,0.9,2.5,24,106,29,0.06,0.00,0.06,0.06,0.06,0.05,0.03,0.07,0.05,0.07,Matches
Morten Frendrup,Genoa,2025-2026,24,Genoa,it ITA,1. Serie A,13th,1,1,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.00,0.13,Matches
Morten Frendrup,Genoa,9 Seasons,9 Seasons,2 Clubs,,3 Leagues,,198,172,15340,170.4,8,7,15,8,0,0,31,2,5.2,5.2,4.7,9.8,113,342,188,0.05,0.04,0.09,0.05,0.09,0.05,0.04,0.09,0.05,0.09,
Morten Frendrup,Genoa,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Morten Frendrup,Genoa,Genoa (5 Seasons),Genoa (5 Seasons),Genoa (5 Seasons),,2 Leagues,,120,110,9950,110.6,6,5,11,6,0,0,15,0,5.2,5.2,4.7,9.8,113,342,188,0.05,0.05,0.10,0.05,0.10,0.05,0.04,0.09,0.05,0.09,
Morten Frendrup,Genoa,Brøndby (5 Seasons),Brøndby (5 Seasons),Brøndby (5 Seasons),,1 League,,78,62,5390,59.9,2,2,4,2,0,0,16,2,,,,,,,,0.03,0.03,0.07,0.03,0.07,,,,,,
Morten Frendrup,Genoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morten Frendrup,Genoa,Danish Superliga (5 Seasons),Danish Superliga (5 Seasons),Danish Superliga (5 Seasons),,,,78,62,5390,59.9,2,2,4,2,0,0,16,2,,,,,,,,0.03,0.03,0.07,0.03,0.07,,,,,,
Morten Frendrup,Genoa,Serie A (4 Seasons),Serie A (4 Seasons),Serie A (4 Seasons),,,,83,78,7029,78.1,4,5,9,4,0,0,12,0,3.8,3.8,3.0,6.8,76,239,110,0.05,0.06,0.12,0.05,0.12,0.05,0.04,0.09,0.05,0.09,
Morten Frendrup,Genoa,Serie B (1 Season),Serie B (1 Season),Serie B (1 Season),,,,37,32,2921,32.5,2,0,2,2,0,0,3,0,1.4,1.4,1.6,3.0,37,103,78,0.06,0.00,0.06,0.06,0.06,0.04,0.05,0.09,0.04,0.09,
