Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Morten Thorsby,Genoa,2014,17,Stabæk,no NOR,1. Tippeligaen,9th,10,6,582,6.5,1,0,1,1,0,0,0,0,,,,,,,,0.15,0.00,0.15,0.15,0.15,,,,,,Matches
Morten Thorsby,Genoa,2014-2015,18,Heerenveen,nl NED,1. Eredivisie,7th,16,10,658,7.3,0,1,1,0,0,0,0,0,,,,,,,,0.00,0.14,0.14,0.00,0.14,,,,,,Matches
Morten Thorsby,Genoa,2015-2016,19,Heerenveen,nl NED,1. Eredivisie,13th,25,20,1699,18.9,1,1,2,1,0,0,3,0,,,,,,,,0.05,0.05,0.11,0.05,0.11,,,,,,Matches
Morten Thorsby,Genoa,2016-2017,20,Heerenveen,nl NED,1. Eredivisie,9th,23,14,1272,14.1,0,1,1,0,0,0,5,0,,,,,,,,0.00,0.07,0.07,0.00,0.07,,,,,,Matches
Morten Thorsby,Genoa,2017-2018,21,Heerenveen,nl NED,1. Eredivisie,8th,31,26,2289,25.4,6,2,8,6,0,0,5,2,,,,,,,,0.24,0.08,0.31,0.24,0.31,,,,,,Matches
Morten Thorsby,Genoa,2018-2019,22,Heerenveen,nl NED,1. Eredivisie,11th,20,13,1179,13.1,5,2,7,5,0,0,4,2,1.5,1.5,1.5,3.0,19,58,27,0.38,0.15,0.53,0.38,0.53,0.12,0.11,0.23,0.12,0.23,Matches
Morten Thorsby,Genoa,2019-2020,23,Sampdoria,it ITA,1. Serie A,15th,24,21,1865,20.7,1,1,2,1,0,0,9,1,1.9,1.9,1.0,2.9,16,74,55,0.05,0.05,0.10,0.05,0.10,0.09,0.05,0.14,0.09,0.14,Matches
Morten Thorsby,Genoa,2020-2021,24,Sampdoria,it ITA,1. Serie A,9th,33,29,2648,29.4,3,1,4,3,0,0,10,0,2.9,2.9,1.1,4.0,19,80,55,0.10,0.03,0.14,0.10,0.14,0.10,0.04,0.14,0.10,0.14,Matches
Morten Thorsby,Genoa,2021-2022,25,Sampdoria,it ITA,1. Serie A,15th,35,35,2943,32.7,3,1,4,3,0,0,10,0,3.2,3.2,1.1,4.3,18,88,51,0.09,0.03,0.12,0.09,0.12,0.10,0.03,0.13,0.10,0.13,Matches
