Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Patrizio Masini,Genoa,2022-2023,21,Genoa,it ITA,2. Serie B,2nd,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Patrizio Masini,Genoa,2023-2024,22,Ascoli,it ITA,2. Serie B,18th,25,22,1868,20.8,2,0,2,2,0,0,7,0,0.9,0.9,0.4,1.3,15,61,44,0.10,0.00,0.10,0.10,0.10,0.04,0.02,0.06,0.04,0.06,Matches
Patrizio Masini,Genoa,2024-2025,23,Genoa,it ITA,1. Serie A,13th,26,16,1538,17.1,1,0,1,1,0,0,3,0,0.4,0.4,0.2,0.6,16,44,27,0.06,0.00,0.06,0.06,0.06,0.03,0.01,0.04,0.03,0.04,Matches
Patrizio Masini,Genoa,2025-2026,24,Genoa,it ITA,1. Serie A,13th,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Patrizio Masini,Genoa,4 Seasons,4 Seasons,2 Clubs,,2 Leagues,,52,39,3496,38.8,3,0,3,3,0,0,10,0,1.3,1.3,0.6,2.0,31,108,71,0.08,0.00,0.08,0.08,0.08,0.03,0.02,0.05,0.03,0.05,
Patrizio Masini,Genoa,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Patrizio Masini,Genoa,Genoa (3 Seasons),Genoa (3 Seasons),Genoa (3 Seasons),,2 Leagues,,27,17,1628,18.1,1,0,1,1,0,0,3,0,0.4,0.4,0.2,0.6,16,47,27,0.06,0.00,0.06,0.06,0.06,0.02,0.01,0.04,0.02,0.04,
Patrizio Masini,Genoa,Ascoli (1 Season),Ascoli (1 Season),Ascoli (1 Season),,1 League,,25,22,1868,20.8,2,0,2,2,0,0,7,0,0.9,0.9,0.4,1.3,15,61,44,0.10,0.00,0.10,0.10,0.10,0.04,0.02,0.06,0.04,0.06,
Patrizio Masini,Genoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrizio Masini,Genoa,Serie A (2 Seasons),Serie A (2 Seasons),Serie A (2 Seasons),,,,27,17,1628,18.1,1,0,1,1,0,0,3,0,0.4,0.4,0.2,0.6,16,47,27,0.06,0.00,0.06,0.06,0.06,0.02,0.01,0.04,0.02,0.04,
Patrizio Masini,Genoa,Serie B (2 Seasons),Serie B (2 Seasons),Serie B (2 Seasons),,,,25,22,1868,20.8,2,0,2,2,0,0,7,0,0.9,0.9,0.4,1.3,15,61,44,0.10,0.00,0.10,0.10,0.10,0.04,0.02,0.06,0.04,0.06,
