Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Stefano Sabelli,Genoa,2012-2013,19,Bari,it ITA,2. Serie B,10th,29,23,2099,23.3,0,1,1,0,0,0,7,0,,,,,,,,0.00,0.04,0.04,0.00,0.04,,,,,,
Stefano Sabelli,Genoa,2013-2014,20,Bari,it ITA,2. Serie B,7th,37,34,2923,32.5,0,1,1,0,0,0,7,0,,,,,,,,0.00,0.03,0.03,0.00,0.03,,,,,,
Stefano Sabelli,Genoa,2014-2015,21,Bari,it ITA,2. Serie B,10th,31,30,2617,29.1,2,1,3,2,0,0,8,2,,,,,,,,0.07,0.03,0.10,0.07,0.10,,,,,,Matches
Stefano Sabelli,Genoa,2015-2016,22,Carpi,it ITA,1. Serie A,18th,7,6,558,6.2,1,0,1,1,0,0,1,0,,,,,,,,0.16,0.00,0.16,0.16,0.16,,,,,,Matches
Stefano Sabelli,Genoa,2015-2016,22,Bari,it ITA,2. Serie B,5th,21,20,1841,20.5,1,2,3,1,0,0,4,0,,,,,,,,0.05,0.10,0.15,0.05,0.15,,,,,,Matches
Stefano Sabelli,Genoa,2016-2017,23,Bari,it ITA,2. Serie B,12th,32,31,2708,30.1,0,5,5,0,0,0,13,0,,,,,,,,0.00,0.17,0.17,0.00,0.17,,,,,,Matches
Stefano Sabelli,Genoa,2017-2018,24,Bari,it ITA,2. Serie B,7th,20,19,1692,18.8,1,0,1,1,0,0,4,0,,,,,,,,0.05,0.00,0.05,0.05,0.05,,,,,,Matches
Stefano Sabelli,Genoa,2018-2019,25,Brescia,it ITA,2. Serie B,1st,29,29,2501,27.8,0,3,3,0,0,0,10,1,1.3,1.3,3.2,4.5,112,237,106,0.00,0.11,0.11,0.00,0.11,0.05,0.12,0.16,0.05,0.16,Matches
Stefano Sabelli,Genoa,2019-2020,26,Brescia,it ITA,1. Serie A,19th,36,36,3168,35.2,0,3,3,0,0,0,5,0,0.5,0.5,4.3,4.8,103,215,89,0.00,0.09,0.09,0.00,0.09,0.02,0.12,0.14,0.02,0.14,Matches
Stefano Sabelli,Genoa,2020-2021,27,Empoli,it ITA,2. Serie B,1st,12,10,875,9.7,0,3,3,0,0,0,2,0,0.2,0.2,1.6,1.8,25,51,25,0.00,0.31,0.31,0.00,0.31,0.02,0.17,0.18,0.02,0.18,Matches
Stefano Sabelli,Genoa,2020-2021,27,Brescia,it ITA,2. Serie B,7th,13,13,1162,12.9,0,1,1,0,0,0,5,0,0.3,0.3,0.7,1.0,45,68,59,0.00,0.08,0.08,0.00,0.08,0.02,0.05,0.08,0.02,0.08,Matches
