Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Valentin Carboni,Genoa,2022-2023,17,Inter,it ITA,1. Serie A,3rd,5,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.00,0.09,Matches
Valentin Carboni,Genoa,2023-2024,18,Monza,it ITA,1. Serie A,12th,31,10,1169,13.0,2,3,5,2,0,0,2,0,2.3,2.3,1.7,4.0,52,57,75,0.15,0.23,0.38,0.15,0.38,0.18,0.13,0.31,0.18,0.31,Matches
Valentin Carboni,Genoa,2024-2025,19,Marseille,fr FRA,1. Ligue 1,2nd,4,1,103,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.2,4,4,8,0.00,0.00,0.00,0.00,0.00,0.04,0.10,0.14,0.04,0.14,Matches
Valentin Carboni,Genoa,2025-2026,20,Genoa,it ITA,1. Serie A,13th,1,1,72,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,2,2,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.16,0.16,0.16,Matches
Valentin Carboni,Genoa,4 Seasons,4 Seasons,4 Clubs,,2 Leagues,,41,12,1369,15.2,2,3,5,2,0,0,3,0,2.5,2.5,1.9,4.4,59,64,88,0.13,0.20,0.33,0.13,0.33,0.16,0.12,0.29,0.16,0.29,
Valentin Carboni,Genoa,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Valentin Carboni,Genoa,Monza (1 Season),Monza (1 Season),Monza (1 Season),,1 League,,31,10,1169,13.0,2,3,5,2,0,0,2,0,2.3,2.3,1.7,4.0,52,57,75,0.15,0.23,0.38,0.15,0.38,0.18,0.13,0.31,0.18,0.31,
Valentin Carboni,Genoa,Inter (1 Season),Inter (1 Season),Inter (1 Season),,1 League,,5,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.00,0.09,
Valentin Carboni,Genoa,Marseille (1 Season),Marseille (1 Season),Marseille (1 Season),,1 League,,4,1,103,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.2,4,4,8,0.00,0.00,0.00,0.00,0.00,0.04,0.10,0.14,0.04,0.14,
Valentin Carboni,Genoa,Genoa (1 Season),Genoa (1 Season),Genoa (1 Season),,1 League,,1,1,72,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,2,2,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.16,0.16,0.16,
Valentin Carboni,Genoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valentin Carboni,Genoa,Serie A (3 Seasons),Serie A (3 Seasons),Serie A (3 Seasons),,,,37,11,1266,14.1,2,3,5,2,0,0,2,0,2.4,2.4,1.8,4.2,55,60,80,0.14,0.21,0.36,0.14,0.36,0.17,0.12,0.30,0.17,0.30,
Valentin Carboni,Genoa,Ligue 1 (1 Season),Ligue 1 (1 Season),Ligue 1 (1 Season),,,,4,1,103,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.2,4,4,8,0.00,0.00,0.00,0.00,0.00,0.04,0.10,0.14,0.04,0.14,
