Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Vitinha,Genoa,2020-2021,20,Braga,pt POR,1. Primeira Liga,4th,1,0,2,0.0,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,0,0,2,0.00,0.00,0.00,0.00,0.00,20.84,0.00,20.84,20.84,20.84,Matches
Vitinha,Genoa,2021-2022,21,Braga,pt POR,1. Primeira Liga,4th,24,16,1473,16.4,7,2,9,7,0,0,2,1,5.6,5.6,1.9,7.5,46,25,113,0.43,0.12,0.55,0.43,0.55,0.34,0.11,0.46,0.34,0.46,Matches
Vitinha,Genoa,2022-2023,22,Braga,pt POR,1. Primeira Liga,3rd,17,12,1097,12.2,7,2,9,7,0,0,2,0,6.1,6.1,1.4,7.5,25,15,85,0.57,0.16,0.74,0.57,0.74,0.50,0.12,0.61,0.50,0.61,Matches
Vitinha,Genoa,2022-2023,22,Marseille,fr FRA,1. Ligue 1,3rd,14,5,464,5.2,2,0,2,2,0,0,0,0,4.0,4.0,0.2,4.2,3,9,41,0.39,0.00,0.39,0.39,0.39,0.77,0.03,0.80,0.77,0.80,Matches
Vitinha,Genoa,2023-2024,23,Marseille,fr FRA,1. Ligue 1,8th,18,10,923,10.3,3,2,5,3,0,0,1,0,5.1,5.1,2.9,8.0,15,23,84,0.29,0.20,0.49,0.29,0.49,0.50,0.28,0.78,0.50,0.78,Matches
Vitinha,Genoa,2023-2024,23,Genoa,it ITA,1. Serie A,11th,9,2,285,3.2,2,0,2,2,0,0,2,0,1.1,1.1,0.1,1.3,10,4,21,0.63,0.00,0.63,0.63,0.63,0.36,0.04,0.40,0.36,0.40,Matches
Vitinha,Genoa,2024-2025,24,Genoa,it ITA,1. Serie A,13th,25,16,1328,14.8,2,3,5,2,0,0,2,0,1.6,1.6,3.3,5.0,38,19,71,0.14,0.20,0.34,0.14,0.34,0.11,0.23,0.34,0.11,0.34,Matches
Vitinha,Genoa,2025-2026,25,Genoa,it ITA,1. Serie A,13th,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Vitinha,Genoa,6 Seasons,6 Seasons,3 Clubs,,3 Leagues,,109,61,5576,62.0,23,9,32,23,0,0,9,1,24.0,24.0,9.8,33.8,137,95,419,0.37,0.15,0.52,0.37,0.52,0.39,0.16,0.55,0.39,0.55,
Vitinha,Genoa,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Vitinha,Genoa,Braga (3 Seasons),Braga (3 Seasons),Braga (3 Seasons),,1 League,,42,28,2572,28.6,14,4,18,14,0,0,4,1,12.1,12.1,3.3,15.4,71,40,200,0.49,0.14,0.63,0.49,0.63,0.42,0.12,0.54,0.42,0.54,
Vitinha,Genoa,Genoa (3 Seasons),Genoa (3 Seasons),Genoa (3 Seasons),,1 League,,35,18,1617,18.0,4,3,7,4,0,0,4,0,2.8,2.8,3.5,6.2,48,23,94,0.22,0.17,0.39,0.22,0.39,0.15,0.19,0.35,0.15,0.35,
Vitinha,Genoa,Marseille (2 Seasons),Marseille (2 Seasons),Marseille (2 Seasons),,1 League,,32,15,1387,15.4,5,2,7,5,0,0,1,0,9.1,9.1,3.0,12.1,18,32,125,0.32,0.13,0.45,0.32,0.45,0.59,0.20,0.79,0.59,0.79,
Vitinha,Genoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitinha,Genoa,Primeira Liga (3 Seasons),Primeira Liga (3 Seasons),Primeira Liga (3 Seasons),,,,42,28,2572,28.6,14,4,18,14,0,0,4,1,12.1,12.1,3.3,15.4,71,40,200,0.49,0.14,0.63,0.49,0.63,0.42,0.12,0.54,0.42,0.54,
Vitinha,Genoa,Serie A (3 Seasons),Serie A (3 Seasons),Serie A (3 Seasons),,,,35,18,1617,18.0,4,3,7,4,0,0,4,0,2.8,2.8,3.5,6.2,48,23,94,0.22,0.17,0.39,0.22,0.39,0.15,0.19,0.35,0.15,0.35,
Vitinha,Genoa,Ligue 1 (2 Seasons),Ligue 1 (2 Seasons),Ligue 1 (2 Seasons),,,,32,15,1387,15.4,5,2,7,5,0,0,1,0,9.1,9.1,3.0,12.1,18,32,125,0.32,0.13,0.45,0.32,0.45,0.59,0.20,0.79,0.59,0.79,
