Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Abdou Harroui,Hellas Verona,2017-2018,19,Sparta R'dam,nl NED,1. Eredivisie,17th,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Abdou Harroui,Hellas Verona,2018-2019,20,Sparta R'dam,nl NED,2. Eerste Divisie,2nd,35,30,2739,30.4,4,1,5,4,0,0,5,0,,,,,,,,0.13,0.03,0.16,0.13,0.16,,,,,,Matches
Abdou Harroui,Hellas Verona,2019-2020,21,Sparta R'dam,nl NED,1. Eredivisie,11th,26,26,2140,23.8,4,8,12,4,0,0,2,0,3.6,3.6,5.1,8.7,76,90,151,0.17,0.34,0.50,0.17,0.50,0.15,0.21,0.37,0.15,0.37,Matches
Abdou Harroui,Hellas Verona,2020-2021,22,Sparta R'dam,nl NED,1. Eredivisie,8th,32,32,2769,30.8,6,2,8,6,0,0,1,0,5.5,5.5,3.9,9.4,100,184,119,0.20,0.07,0.26,0.20,0.26,0.18,0.13,0.31,0.18,0.31,Matches
Abdou Harroui,Hellas Verona,2021-2022,23,Sparta R'dam,nl NED,1. Eredivisie,14th,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Abdou Harroui,Hellas Verona,2021-2022,23,Sassuolo,it ITA,1. Serie A,11th,22,3,452,5.0,0,0,0,0,0,0,2,0,0.5,0.5,0.2,0.7,9,29,15,0.00,0.00,0.00,0.00,0.00,0.10,0.04,0.14,0.10,0.14,Matches
Abdou Harroui,Hellas Verona,2022-2023,24,Sassuolo,it ITA,1. Serie A,13th,23,5,647,7.2,2,0,2,2,0,0,2,0,1.5,1.5,0.3,1.8,21,36,32,0.28,0.00,0.28,0.28,0.28,0.20,0.05,0.25,0.20,0.25,Matches
Abdou Harroui,Hellas Verona,2023-2024,25,Frosinone,it ITA,1. Serie A,18th,18,13,1019,11.3,3,3,6,2,1,1,2,0,3.1,2.3,1.2,3.5,43,38,56,0.26,0.26,0.53,0.18,0.44,0.27,0.10,0.38,0.21,0.31,Matches
Abdou Harroui,Hellas Verona,2024-2025,26,Hellas Verona,it ITA,1. Serie A,14th,10,5,463,5.1,1,2,3,1,0,0,1,0,2.2,2.2,0.4,2.6,23,21,34,0.19,0.39,0.58,0.19,0.58,0.43,0.09,0.51,0.43,0.51,Matches
Abdou Harroui,Hellas Verona,2025-2026,27,Hellas Verona,it ITA,1. Serie A,11th,1,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
