Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Amin Sarr,Hellas Verona,2020,18,Malmö,se SWE,1. Allsvenskan,1st,17,6,597,6.6,1,1,2,1,0,0,0,0,,,,,,,,0.15,0.15,0.30,0.15,0.30,,,,,,Matches
Amin Sarr,Hellas Verona,2021,19,Malmö,se SWE,1. Allsvenskan,1st,3,0,60,0.7,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Amin Sarr,Hellas Verona,2021,19,Mjällby,se SWE,1. Allsvenskan,9th,19,18,1480,16.4,8,1,9,7,1,1,2,0,,,,,,,,0.49,0.06,0.55,0.43,0.49,,,,,,Matches
Amin Sarr,Hellas Verona,2021-2022,20,Heerenveen,nl NED,1. Eredivisie,8th,13,12,1076,12.0,5,1,6,5,0,0,0,0,5.0,5.0,2.5,7.5,31,13,83,0.42,0.08,0.50,0.42,0.50,0.42,0.21,0.62,0.42,0.62,Matches
Amin Sarr,Hellas Verona,2022-2023,21,Heerenveen,nl NED,1. Eredivisie,8th,19,18,1634,18.2,5,4,9,5,0,2,1,0,7.0,5.4,2.8,8.2,61,31,138,0.28,0.22,0.50,0.28,0.50,0.38,0.16,0.54,0.30,0.45,Matches
Amin Sarr,Hellas Verona,2022-2023,21,Lyon,fr FRA,1. Ligue 1,7th,13,6,537,6.0,1,1,2,1,0,0,0,0,1.2,1.2,0.4,1.6,12,9,47,0.17,0.17,0.34,0.17,0.34,0.21,0.07,0.27,0.21,0.27,Matches
Amin Sarr,Hellas Verona,2023-2024,22,Lyon,fr FRA,1. Ligue 1,6th,3,1,98,1.1,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,3,1,8,0.00,0.00,0.00,0.00,0.00,0.31,0.14,0.45,0.31,0.45,Matches
Amin Sarr,Hellas Verona,2023-2024,22,Wolfsburg,de GER,1. Bundesliga,12th,14,2,386,4.3,0,0,0,0,0,0,0,0,0.6,0.6,0.2,0.7,3,12,26,0.00,0.00,0.00,0.00,0.00,0.13,0.04,0.17,0.13,0.17,Matches
Amin Sarr,Hellas Verona,2024-2025,23,Hellas Verona,it ITA,1. Serie A,14th,32,25,1907,21.2,4,1,5,4,0,0,1,0,3.2,3.2,2.1,5.4,31,41,103,0.19,0.05,0.24,0.19,0.24,0.15,0.10,0.25,0.15,0.25,Matches
