Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Antoine Bernede,Hellas Verona,2017-2018,18,Paris S-G,fr FRA,1. Ligue 1,1st,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Antoine Bernede,Hellas Verona,2018-2019,19,Paris S-G,fr FRA,1. Ligue 1,1st,2,2,169,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0,22,4,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
Antoine Bernede,Hellas Verona,2018-2019,19,RB Salzburg,at AUT,1. Bundesliga,1st,3,1,136,1.5,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Antoine Bernede,Hellas Verona,2019-2020,20,RB Salzburg,at AUT,1. Bundesliga,1st,10,8,687,7.6,0,3,3,0,0,0,1,0,,,,,,,,0.00,0.39,0.39,0.00,0.39,,,,,,Matches
Antoine Bernede,Hellas Verona,2020-2021,21,RB Salzburg,at AUT,1. Bundesliga,1st,19,17,1272,14.1,1,0,1,1,0,0,2,2,,,,,,,,0.07,0.00,0.07,0.07,0.07,,,,,,Matches
Antoine Bernede,Hellas Verona,2021-2022,22,RB Salzburg,at AUT,1. Bundesliga,1st,17,10,757,8.4,0,0,0,0,0,0,3,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Antoine Bernede,Hellas Verona,2022-2023,23,RB Salzburg,at AUT,1. Bundesliga,1st,2,0,43,0.5,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Antoine Bernede,Hellas Verona,2023-2024,24,Lausanne-Sport,ch SUI,1. Super Lg,10th,37,37,3165,35.2,1,4,5,1,0,0,4,0,,,,,,,,0.03,0.11,0.14,0.03,0.14,,,,,,Matches
Antoine Bernede,Hellas Verona,2024-2025,25,Lausanne-Sport,ch SUI,1. Super Lg,5th,16,12,984,10.9,1,1,2,1,0,0,4,0,,,,,,,,0.09,0.09,0.18,0.09,0.18,,,,,,Matches
Antoine Bernede,Hellas Verona,2024-2025,25,Hellas Verona,it ITA,1. Serie A,14th,14,7,594,6.6,1,0,1,1,0,0,2,0,0.8,0.8,0.5,1.2,7,29,22,0.15,0.00,0.15,0.15,0.15,0.12,0.07,0.19,0.12,0.19,Matches
Antoine Bernede,Hellas Verona,2025-2026,26,Hellas Verona,it ITA,1. Serie A,11th,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,1,4,0,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.06,0.03,0.06,Matches
Antoine Bernede,Hellas Verona,9 Seasons,9 Seasons,4 Clubs,,4 Leagues,,121,95,7897,87.7,4,8,12,4,0,0,16,2,0.8,0.8,0.5,1.4,8,55,26,0.05,0.09,0.14,0.05,0.14,0.09,0.06,0.14,0.09,0.14,
Antoine Bernede,Hellas Verona,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Antoine Bernede,Hellas Verona,RB Salzburg (5 Seasons),RB Salzburg (5 Seasons),RB Salzburg (5 Seasons),,1 League,,51,36,2895,32.2,1,3,4,1,0,0,6,2,,,,,,,,0.03,0.09,0.12,0.03,0.12,,,,,,
