Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Dailon Livramento,Hellas Verona,2021-2022,20,Roda JC,nl NED,2. Eerste Divisie,5th,1,0,10,0.1,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Dailon Livramento,Hellas Verona,2022-2023,21,MVV Maastricht,nl NED,2. Eerste Divisie,5th,28,2,511,5.7,4,1,5,4,0,0,4,0,,,,,,,,0.70,0.18,0.88,0.70,0.88,,,,,,Matches
Dailon Livramento,Hellas Verona,2023-2024,22,MVV Maastricht,nl NED,2. Eerste Divisie,9th,35,17,1838,20.4,16,1,17,15,1,1,2,0,,,,,,,,0.78,0.05,0.83,0.73,0.78,,,,,,Matches
Dailon Livramento,Hellas Verona,2024-2025,23,Hellas Verona,it ITA,1. Serie A,14th,29,8,940,10.4,1,1,2,1,0,0,2,1,1.8,1.8,0.9,2.7,23,13,67,0.10,0.10,0.19,0.10,0.19,0.17,0.09,0.26,0.17,0.26,Matches
Dailon Livramento,Hellas Verona,2025-2026,24,Hellas Verona,it ITA,1. Serie A,11th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Dailon Livramento,Hellas Verona,5 Seasons,5 Seasons,3 Clubs,,2 Leagues,,93,27,3299,36.7,21,3,24,20,1,1,8,1,1.8,1.8,0.9,2.7,23,13,67,0.57,0.08,0.65,0.55,0.63,0.17,0.09,0.26,0.17,0.26,
Dailon Livramento,Hellas Verona,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Dailon Livramento,Hellas Verona,MVV Maastricht (2 Seasons),MVV Maastricht (2 Seasons),MVV Maastricht (2 Seasons),,1 League,,63,19,2349,26.1,20,2,22,19,1,1,6,0,,,,,,,,0.77,0.08,0.84,0.73,0.80,,,,,,
Dailon Livramento,Hellas Verona,Hellas Verona (2 Seasons),Hellas Verona (2 Seasons),Hellas Verona (2 Seasons),,1 League,,29,8,940,10.4,1,1,2,1,0,0,2,1,1.8,1.8,0.9,2.7,23,13,67,0.10,0.10,0.19,0.10,0.19,0.17,0.09,0.26,0.17,0.26,
Dailon Livramento,Hellas Verona,Roda JC (1 Season),Roda JC (1 Season),Roda JC (1 Season),,1 League,,1,0,10,0.1,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Dailon Livramento,Hellas Verona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dailon Livramento,Hellas Verona,Eerste Divisie (3 Seasons),Eerste Divisie (3 Seasons),Eerste Divisie (3 Seasons),,,,64,19,2359,26.2,20,2,22,19,1,1,6,0,,,,,,,,0.76,0.08,0.84,0.72,0.80,,,,,,
Dailon Livramento,Hellas Verona,Serie A (2 Seasons),Serie A (2 Seasons),Serie A (2 Seasons),,,,29,8,940,10.4,1,1,2,1,0,0,2,1,1.8,1.8,0.9,2.7,23,13,67,0.10,0.10,0.19,0.10,0.19,0.17,0.09,0.26,0.17,0.26,
