Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Daniel Mosquera,Hellas Verona,2021,21,Universidad Central,ve VEN,1. Liga FUTVE,16th,22,20,1682,18.7,9,,,7,2,2,6,0,,,,,,,,0.48,,,0.37,,,,,,,Matches
Daniel Mosquera,Hellas Verona,2022,22,CD América,co COL,1. Primera A,12th,22,5,726,8.1,4,0,4,4,0,0,3,0,,,,,,,,0.50,0.00,0.50,0.50,0.50,,,,,,Matches
Daniel Mosquera,Hellas Verona,2023,23,CD América,co COL,1. Primera A,5th,20,2,381,4.2,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Daniel Mosquera,Hellas Verona,2024,24,CA Bucaramanga,co COL,1. Primera A,4th,26,23,1861,20.7,7,1,8,7,0,0,4,0,,,,,,,,0.34,0.05,0.39,0.34,0.39,,,,,,Matches
Daniel Mosquera,Hellas Verona,2024-2025,24,Hellas Verona,it ITA,1. Serie A,14th,35,12,1375,15.3,5,1,6,5,0,0,4,0,6.6,6.6,1.3,7.9,17,25,83,0.33,0.07,0.39,0.33,0.39,0.44,0.08,0.52,0.44,0.52,Matches
Daniel Mosquera,Hellas Verona,2025-2026,25,Hellas Verona,it ITA,1. Serie A,11th,1,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Daniel Mosquera,Hellas Verona,5 Seasons,5 Seasons,4 Clubs,,3 Leagues,,126,62,6050,67.2,25,2,18,23,2,2,18,0,6.6,6.6,1.3,7.9,17,25,86,0.37,0.04,0.37,0.34,0.37,0.43,0.08,0.51,0.43,0.51,
Daniel Mosquera,Hellas Verona,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Daniel Mosquera,Hellas Verona,CD América (2 Seasons),CD América (2 Seasons),CD América (2 Seasons),,1 League,,42,7,1107,12.3,4,0,4,4,0,0,4,0,,,,,,,,0.33,0.00,0.33,0.33,0.33,,,,,,
Daniel Mosquera,Hellas Verona,Hellas Verona (2 Seasons),Hellas Verona (2 Seasons),Hellas Verona (2 Seasons),,1 League,,36,12,1400,15.6,5,1,6,5,0,0,4,0,6.6,6.6,1.3,7.9,17,25,86,0.32,0.06,0.39,0.32,0.39,0.43,0.08,0.51,0.43,0.51,
Daniel Mosquera,Hellas Verona,CA Bucaramanga (1 Season),CA Bucaramanga (1 Season),CA Bucaramanga (1 Season),,1 League,,26,23,1861,20.7,7,1,8,7,0,0,4,0,,,,,,,,0.34,0.05,0.39,0.34,0.39,,,,,,
Daniel Mosquera,Hellas Verona,Universidad Central (1 Season),Universidad Central (1 Season),Universidad Central (1 Season),,1 League,,22,20,1682,18.7,9,,,7,2,2,6,0,,,,,,,,0.48,,,0.37,,,,,,,
Daniel Mosquera,Hellas Verona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Mosquera,Hellas Verona,Primera A (3 Seasons),Primera A (3 Seasons),Primera A (3 Seasons),,,,68,30,2968,33.0,11,1,12,11,0,0,8,0,,,,,,,,0.33,0.03,0.36,0.33,0.36,,,,,,
Daniel Mosquera,Hellas Verona,Serie A (2 Seasons),Serie A (2 Seasons),Serie A (2 Seasons),,,,36,12,1400,15.6,5,1,6,5,0,0,4,0,6.6,6.6,1.3,7.9,17,25,86,0.32,0.06,0.39,0.32,0.39,0.43,0.08,0.51,0.43,0.51,
Daniel Mosquera,Hellas Verona,Liga FUTVE (1 Season),Liga FUTVE (1 Season),Liga FUTVE (1 Season),,,,22,20,1682,18.7,9,,,7,2,2,6,0,,,,,,,,0.48,,,0.37,,,,,,,
