Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Daniel Oyegoke,Hellas Verona,2019-2020,16,Arsenal,eng ENG,Jr. PL2 — Div. 1,6th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Daniel Oyegoke,Hellas Verona,2020-2021,17,Arsenal,eng ENG,Jr. PL2 — Div. 1,10th,11,8,668,7.4,0,0,0,0,0,0,0,1,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Daniel Oyegoke,Hellas Verona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Oyegoke,Hellas Verona,2022-2023,19,MK Dons,eng ENG,3. League One,21st,13,10,953,10.6,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Daniel Oyegoke,Hellas Verona,2023-2024,20,Bradford City,eng ENG,4. League Two,9th,24,15,1384,15.4,0,0,0,0,0,0,7,1,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Daniel Oyegoke,Hellas Verona,2024-2025,21,Hearts,sct SCO,1. Premiership,7th,19,14,1258,14.0,1,0,1,1,0,0,3,0,,,,,,,,0.07,0.00,0.07,0.07,0.07,,,,,,Matches
Daniel Oyegoke,Hellas Verona,2024-2025,21,Hellas Verona,it ITA,1. Serie A,14th,5,0,103,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,2,5,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
Daniel Oyegoke,Hellas Verona,2025-2026,22,Hellas Verona,it ITA,1. Serie A,11th,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Daniel Oyegoke,Hellas Verona,4 Seasons,4 Seasons,4 Clubs,,4 Leagues,,62,39,3707,41.2,1,0,1,1,0,0,12,1,0.0,0.0,0.0,0.0,2,2,5,0.02,0.00,0.02,0.02,0.02,0.03,0.00,0.03,0.03,0.03,
Daniel Oyegoke,Hellas Verona,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Daniel Oyegoke,Hellas Verona,Arsenal (2 Seasons),Arsenal (2 Seasons),Arsenal (2 Seasons),,1 League,,11,8,668,7.4,0,0,0,0,0,0,0,1,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Daniel Oyegoke,Hellas Verona,Hellas Verona (2 Seasons),Hellas Verona (2 Seasons),Hellas Verona (2 Seasons),,1 League,,6,0,112,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,2,5,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,
Daniel Oyegoke,Hellas Verona,Bradford City (1 Season),Bradford City (1 Season),Bradford City (1 Season),,1 League,,24,15,1384,15.4,0,0,0,0,0,0,7,1,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Daniel Oyegoke,Hellas Verona,Hearts (1 Season),Hearts (1 Season),Hearts (1 Season),,1 League,,19,14,1258,14.0,1,0,1,1,0,0,3,0,,,,,,,,0.07,0.00,0.07,0.07,0.07,,,,,,
Daniel Oyegoke,Hellas Verona,MK Dons (1 Season),MK Dons (1 Season),MK Dons (1 Season),,1 League,,13,10,953,10.6,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Daniel Oyegoke,Hellas Verona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Oyegoke,Hellas Verona,PL2 — Div. 1 (2 Seasons),PL2 — Div. 1 (2 Seasons),PL2 — Div. 1 (2 Seasons),,,,11,8,668,7.4,0,0,0,0,0,0,0,1,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Daniel Oyegoke,Hellas Verona,Serie A (2 Seasons),Serie A (2 Seasons),Serie A (2 Seasons),,,,6,0,112,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,2,5,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,
Daniel Oyegoke,Hellas Verona,League Two (1 Season),League Two (1 Season),League Two (1 Season),,,,24,15,1384,15.4,0,0,0,0,0,0,7,1,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
