Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Domagoj Bradarić,Hellas Verona,2017-2018,17,Hajduk Split,hr CRO,1. 1. HNL,3rd,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Domagoj Bradarić,Hellas Verona,2018-2019,18,Hajduk Split,hr CRO,1. 1. HNL,4th,22,21,1796,20.0,0,0,0,0,0,0,4,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Domagoj Bradarić,Hellas Verona,2019-2020,19,Lille,fr FRA,1. Ligue 1,4th,18,16,1419,15.8,0,1,1,0,0,0,1,0,0.4,0.4,1.3,1.7,35,44,95,0.00,0.06,0.06,0.00,0.06,0.03,0.08,0.11,0.03,0.11,Matches
Domagoj Bradarić,Hellas Verona,2020-2021,20,Lille,fr FRA,1. Ligue 1,1st,26,14,1263,14.0,1,2,3,1,0,0,4,0,0.2,0.2,0.9,1.1,42,44,93,0.07,0.14,0.21,0.07,0.21,0.01,0.07,0.08,0.01,0.08,Matches
Domagoj Bradarić,Hellas Verona,2021-2022,21,Lille,fr FRA,1. Ligue 1,10th,15,2,417,4.6,0,0,0,0,0,0,2,0,0.1,0.1,0.7,0.8,11,15,21,0.00,0.00,0.00,0.00,0.00,0.01,0.16,0.17,0.01,0.17,Matches
Domagoj Bradarić,Hellas Verona,2022-2023,22,Salernitana,it ITA,1. Serie A,15th,31,24,2250,25.0,0,3,3,0,0,0,5,0,0.2,0.2,2.3,2.5,63,52,107,0.00,0.12,0.12,0.00,0.12,0.01,0.09,0.10,0.01,0.10,Matches
Domagoj Bradarić,Hellas Verona,2023-2024,23,Salernitana,it ITA,1. Serie A,20th,34,30,2749,30.5,0,3,3,0,0,0,5,0,0.8,0.8,1.8,2.6,57,76,120,0.00,0.10,0.10,0.00,0.10,0.03,0.06,0.08,0.03,0.08,Matches
Domagoj Bradarić,Hellas Verona,2024-2025,24,Salernitana,it ITA,2. Serie B,16th,2,1,81,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,6,6,3,0.00,0.00,0.00,0.00,0.00,0.10,0.11,0.21,0.10,0.21,Matches
Domagoj Bradarić,Hellas Verona,2024-2025,24,Hellas Verona,it ITA,1. Serie A,14th,28,24,1933,21.5,1,0,1,1,0,0,6,0,0.8,0.8,2.2,3.0,30,46,83,0.05,0.00,0.05,0.05,0.05,0.04,0.10,0.14,0.04,0.14,Matches
Domagoj Bradarić,Hellas Verona,2025-2026,25,Hellas Verona,it ITA,1. Serie A,11th,1,1,71,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
