Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Enzo Ebosse,Hellas Verona,2017-2018,18,Lens,fr FRA,2. Ligue 2,14th,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Enzo Ebosse,Hellas Verona,2018-2019,19,Lens,fr FRA,2. Ligue 2,5th,1,0,17,0.2,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Enzo Ebosse,Hellas Verona,2019-2020,20,Le Mans,fr FRA,2. Ligue 2,19th,16,15,1296,14.4,0,2,2,0,0,0,3,1,,,,,,,,0.00,0.14,0.14,0.00,0.14,,,,,,Matches
Enzo Ebosse,Hellas Verona,2020-2021,21,Angers,fr FRA,1. Ligue 1,13th,6,3,260,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.4,0.4,1,6,7,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.00,0.14,Matches
Enzo Ebosse,Hellas Verona,2021-2022,22,Angers,fr FRA,1. Ligue 1,14th,27,21,1890,21.0,0,0,0,0,0,0,1,0,0.1,0.1,0.6,0.7,26,55,18,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.03,0.01,0.03,Matches
Enzo Ebosse,Hellas Verona,2022-2023,23,Udinese,it ITA,1. Serie A,12th,20,9,930,10.3,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,11,51,20,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
Enzo Ebosse,Hellas Verona,2023-2024,24,Udinese,it ITA,1. Serie A,15th,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Enzo Ebosse,Hellas Verona,2024-2025,25,Udinese,it ITA,1. Serie A,12th,2,0,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
Enzo Ebosse,Hellas Verona,2024-2025,25,Jagiellonia,pl POL,1. Ekstraklasa,3rd,11,10,917,10.2,0,0,0,0,0,0,2,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Enzo Ebosse,Hellas Verona,2025-2026,26,Hellas Verona,it ITA,1. Serie A,11th,1,0,9,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Enzo Ebosse,Hellas Verona,9 Seasons,9 Seasons,6 Clubs,,4 Leagues,,86,59,5507,61.2,0,2,2,0,0,0,12,1,0.2,0.2,1.0,1.2,38,120,45,0.00,0.03,0.03,0.00,0.03,0.01,0.03,0.04,0.01,0.04,
Enzo Ebosse,Hellas Verona,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Enzo Ebosse,Hellas Verona,Udinese (3 Seasons),Udinese (3 Seasons),Udinese (3 Seasons),,1 League,,23,9,1028,11.4,0,0,0,0,0,0,4,0,0.1,0.1,0.0,0.1,11,57,20,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,
Enzo Ebosse,Hellas Verona,Angers (2 Seasons),Angers (2 Seasons),Angers (2 Seasons),,1 League,,33,24,2150,23.9,0,0,0,0,0,0,2,0,0.1,0.1,1.0,1.1,27,61,25,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05,
Enzo Ebosse,Hellas Verona,Lens (2 Seasons),Lens (2 Seasons),Lens (2 Seasons),,1 League,,2,1,107,1.2,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Enzo Ebosse,Hellas Verona,Le Mans (1 Season),Le Mans (1 Season),Le Mans (1 Season),,1 League,,16,15,1296,14.4,0,2,2,0,0,0,3,1,,,,,,,,0.00,0.14,0.14,0.00,0.14,,,,,,
Enzo Ebosse,Hellas Verona,Jagiellonia (1 Season),Jagiellonia (1 Season),Jagiellonia (1 Season),,1 League,,11,10,917,10.2,0,0,0,0,0,0,2,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
