Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Giovane,Hellas Verona,2022,18,Corinthians,br BRA,1. Série A,4th,10,2,300,3.3,0,0,0,0,0,0,2,0,0.4,0.4,1.0,1.4,7,4,24,0.00,0.00,0.00,0.00,0.00,0.11,0.30,0.41,0.11,0.41,Matches
Giovane,Hellas Verona,2023,19,Corinthians,br BRA,1. Série A,13th,5,1,133,1.5,1,0,1,1,0,0,0,0,0.9,0.9,0.0,0.9,1,1,7,0.68,0.00,0.68,0.68,0.68,0.58,0.00,0.58,0.58,0.58,Matches
Giovane,Hellas Verona,2024,20,Corinthians,br BRA,1. Série A,7th,11,1,274,3.0,1,0,1,1,0,0,1,0,1.0,1.0,0.1,1.1,3,4,28,0.33,0.00,0.33,0.33,0.33,0.33,0.04,0.37,0.33,0.37,Matches
Giovane,Hellas Verona,2025-2026,21,Hellas Verona,it ITA,1. Serie A,11th,1,1,90,1.0,0,1,1,0,0,0,0,0,0.1,0.1,0.3,0.4,1,1,3,0.00,1.00,1.00,0.00,1.00,0.11,0.32,0.43,0.11,0.43,Matches
Giovane,Hellas Verona,4 Seasons,4 Seasons,2 Clubs,,2 Leagues,,27,5,797,8.9,2,1,3,2,0,0,3,0,2.3,2.3,1.4,3.8,12,10,62,0.23,0.11,0.34,0.23,0.34,0.27,0.16,0.43,0.27,0.43,
Giovane,Hellas Verona,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Giovane,Hellas Verona,Corinthians (3 Seasons),Corinthians (3 Seasons),Corinthians (3 Seasons),,1 League,,26,4,707,7.9,2,0,2,2,0,0,3,0,2.2,2.2,1.1,3.4,11,9,59,0.25,0.00,0.25,0.25,0.25,0.28,0.14,0.43,0.28,0.43,
Giovane,Hellas Verona,Hellas Verona (1 Season),Hellas Verona (1 Season),Hellas Verona (1 Season),,1 League,,1,1,90,1.0,0,1,1,0,0,0,0,0,0.1,0.1,0.3,0.4,1,1,3,0.00,1.00,1.00,0.00,1.00,0.11,0.32,0.43,0.11,0.43,
Giovane,Hellas Verona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giovane,Hellas Verona,Série A (3 Seasons),Série A (3 Seasons),Série A (3 Seasons),,,,26,4,707,7.9,2,0,2,2,0,0,3,0,2.2,2.2,1.1,3.4,11,9,59,0.25,0.00,0.25,0.25,0.25,0.28,0.14,0.43,0.28,0.43,
Giovane,Hellas Verona,Serie A (1 Season),Serie A (1 Season),Serie A (1 Season),,,,1,1,90,1.0,0,1,1,0,0,0,0,0,0.1,0.1,0.3,0.4,1,1,3,0.00,1.00,1.00,0.00,1.00,0.11,0.32,0.43,0.11,0.43,
