Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Grigoris Kastanos,Hellas Verona,2016-2017,18,Pescara,it ITA,1. Serie A,20th,8,3,280,3.1,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Grigoris Kastanos,Hellas Verona,2017-2018,19,Zulte Waregem,be BEL,1. First Division A,7th,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.45,1.06,1.51,0.45,1.51,Matches
Grigoris Kastanos,Hellas Verona,2018-2019,20,Juventus,it ITA,1. Serie A,1st,1,1,60,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Grigoris Kastanos,Hellas Verona,2019-2020,21,Pescara,it ITA,2. Serie B,17th,24,13,1377,15.3,0,2,2,0,0,0,7,0,1.0,1.0,1.5,2.5,30,81,28,0.00,0.13,0.13,0.00,0.13,0.06,0.10,0.16,0.06,0.16,Matches
Grigoris Kastanos,Hellas Verona,2020-2021,22,Frosinone,it ITA,2. Serie B,10th,34,26,2397,26.6,2,1,3,2,0,0,10,0,2.3,2.3,2.8,5.0,65,145,87,0.08,0.04,0.11,0.08,0.11,0.08,0.10,0.19,0.08,0.19,Matches
Grigoris Kastanos,Hellas Verona,2021-2022,23,Salernitana,it ITA,1. Serie A,17th,27,16,1348,15.0,1,1,2,1,0,0,4,1,1.2,1.2,1.5,2.7,27,62,54,0.07,0.07,0.13,0.07,0.13,0.08,0.10,0.18,0.08,0.18,Matches
Grigoris Kastanos,Hellas Verona,2022-2023,24,Salernitana,it ITA,1. Serie A,15th,28,13,1286,14.3,2,1,3,2,0,0,4,0,1.9,1.9,0.6,2.5,27,57,59,0.14,0.07,0.21,0.14,0.21,0.13,0.05,0.18,0.13,0.18,Matches
Grigoris Kastanos,Hellas Verona,2023-2024,25,Salernitana,it ITA,1. Serie A,20th,26,18,1480,16.4,3,3,6,3,0,0,5,0,2.9,2.9,2.8,5.7,28,78,69,0.18,0.18,0.36,0.18,0.36,0.17,0.17,0.35,0.17,0.35,Matches
Grigoris Kastanos,Hellas Verona,2024-2025,26,Hellas Verona,it ITA,1. Serie A,14th,27,8,872,9.7,1,1,2,1,0,0,4,0,1.0,1.0,1.7,2.7,12,34,27,0.10,0.10,0.21,0.10,0.21,0.10,0.17,0.28,0.10,0.28,Matches
Grigoris Kastanos,Hellas Verona,2025-2026,27,Hellas Verona,it ITA,1. Serie A,11th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Grigoris Kastanos,Hellas Verona,10 Seasons,10 Seasons,6 Clubs,,3 Leagues,,176,98,9105,101.2,9,9,18,9,0,0,35,1,10.2,10.2,11.0,21.2,190,459,325,0.09,0.09,0.18,0.09,0.18,0.10,0.11,0.22,0.10,0.22,
Grigoris Kastanos,Hellas Verona,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Grigoris Kastanos,Hellas Verona,Salernitana (3 Seasons),Salernitana (3 Seasons),Salernitana (3 Seasons),,1 League,,81,47,4114,45.7,6,5,11,6,0,0,13,1,6.0,6.0,5.0,11.0,82,197,182,0.13,0.11,0.24,0.13,0.24,0.13,0.11,0.24,0.13,0.24,
Grigoris Kastanos,Hellas Verona,Pescara (2 Seasons),Pescara (2 Seasons),Pescara (2 Seasons),,2 Leagues,,32,16,1657,18.4,0,2,2,0,0,0,8,0,1.0,1.0,1.5,2.5,30,81,28,0.00,0.11,0.11,0.00,0.11,0.06,0.10,0.16,0.06,0.16,
Grigoris Kastanos,Hellas Verona,Hellas Verona (2 Seasons),Hellas Verona (2 Seasons),Hellas Verona (2 Seasons),,1 League,,27,8,872,9.7,1,1,2,1,0,0,4,0,1.0,1.0,1.7,2.7,12,34,27,0.10,0.10,0.21,0.10,0.21,0.10,0.17,0.28,0.10,0.28,
Grigoris Kastanos,Hellas Verona,Frosinone (1 Season),Frosinone (1 Season),Frosinone (1 Season),,1 League,,34,26,2397,26.6,2,1,3,2,0,0,10,0,2.3,2.3,2.8,5.0,65,145,87,0.08,0.04,0.11,0.08,0.11,0.08,0.10,0.19,0.08,0.19,
Grigoris Kastanos,Hellas Verona,Juventus (1 Season),Juventus (1 Season),Juventus (1 Season),,1 League,,1,1,60,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Grigoris Kastanos,Hellas Verona,Zulte Waregem (1 Season),Zulte Waregem (1 Season),Zulte Waregem (1 Season),,1 League,,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.45,1.06,1.51,0.45,1.51,
Grigoris Kastanos,Hellas Verona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grigoris Kastanos,Hellas Verona,Serie A (7 Seasons),Serie A (7 Seasons),Serie A (7 Seasons),,,,117,59,5326,59.2,7,6,13,7,0,0,18,1,7.0,7.0,6.7,13.7,95,232,210,0.12,0.10,0.22,0.12,0.22,0.12,0.12,0.24,0.12,0.24,
Grigoris Kastanos,Hellas Verona,Serie B (2 Seasons),Serie B (2 Seasons),Serie B (2 Seasons),,,,58,39,3774,41.9,2,3,5,2,0,0,17,0,3.2,3.2,4.3,7.5,95,226,115,0.05,0.07,0.12,0.05,0.12,0.08,0.10,0.18,0.08,0.18,
Grigoris Kastanos,Hellas Verona,First Division A (1 Season),First Division A (1 Season),First Division A (1 Season),,,,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.45,1.06,1.51,0.45,1.51,
