Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Suat Serdar,Hellas Verona,2015-2016,18,Mainz 05,de GER,1. Bundesliga,6th,12,2,208,2.3,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Suat Serdar,Hellas Verona,2015-2016,18,Mainz 05 II,de GER,3. 3. Liga,12th,7,7,498,5.5,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Suat Serdar,Hellas Verona,2016-2017,19,Mainz 05 II,de GER,3. 3. Liga,19th,6,5,456,5.1,0,0,0,0,0,0,3,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Suat Serdar,Hellas Verona,2016-2017,19,Mainz 05,de GER,1. Bundesliga,15th,8,4,330,3.7,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Suat Serdar,Hellas Verona,2017-2018,20,Mainz 05,de GER,1. Bundesliga,14th,25,16,1703,18.9,2,0,2,2,0,0,3,0,1.7,1.7,1.2,2.9,28,69,34,0.11,0.00,0.11,0.11,0.11,0.09,0.06,0.15,0.09,0.15,Matches
Suat Serdar,Hellas Verona,2018-2019,21,Schalke 04,de GER,1. Bundesliga,14th,26,20,1729,19.2,2,1,3,2,0,0,4,2,3.0,3.0,2.4,5.4,29,67,58,0.10,0.05,0.16,0.10,0.16,0.16,0.12,0.28,0.16,0.28,Matches
Suat Serdar,Hellas Verona,2019-2020,22,Schalke 04,de GER,1. Bundesliga,12th,20,19,1599,17.8,7,0,7,7,0,0,2,0,3.1,3.1,1.0,4.1,32,65,52,0.39,0.00,0.39,0.39,0.39,0.18,0.06,0.23,0.18,0.23,Matches
Suat Serdar,Hellas Verona,2020-2021,23,Schalke 04,de GER,1. Bundesliga,18th,25,24,1953,21.7,1,3,4,1,0,0,3,0,2.1,2.1,1.3,3.4,44,67,52,0.05,0.14,0.18,0.05,0.18,0.10,0.06,0.16,0.10,0.16,Matches
Suat Serdar,Hellas Verona,2021-2022,24,Hertha BSC,de GER,1. Bundesliga,16th,30,27,2218,24.6,3,0,3,3,0,0,6,0,2.1,2.1,1.4,3.5,43,83,77,0.12,0.00,0.12,0.12,0.12,0.09,0.06,0.14,0.09,0.14,Matches
Suat Serdar,Hellas Verona,2022-2023,25,Hertha BSC,de GER,1. Bundesliga,18th,32,24,2021,22.5,4,2,6,4,0,0,7,0,1.9,1.9,1.6,3.5,33,78,48,0.18,0.09,0.27,0.18,0.27,0.09,0.07,0.16,0.09,0.16,Matches
Suat Serdar,Hellas Verona,2023-2024,26,Hellas Verona,it ITA,1. Serie A,13th,25,19,1659,18.4,0,2,2,0,0,0,7,0,1.0,1.0,1.4,2.4,20,68,36,0.00,0.11,0.11,0.00,0.11,0.05,0.07,0.13,0.05,0.13,Matches
Suat Serdar,Hellas Verona,2024-2025,27,Hellas Verona,it ITA,1. Serie A,14th,22,16,1376,15.3,2,1,3,2,0,0,4,1,1.9,1.9,1.0,2.9,18,56,35,0.13,0.07,0.20,0.13,0.20,0.13,0.06,0.19,0.13,0.19,Matches
Suat Serdar,Hellas Verona,2025-2026,28,Hellas Verona,it ITA,1. Serie A,11th,1,1,81,0.9,1,0,1,1,0,0,0,0,0.3,0.3,0.0,0.4,0,3,1,1.11,0.00,1.11,1.11,1.11,0.35,0.04,0.40,0.35,0.40,Matches
Suat Serdar,Hellas Verona,11 Seasons,11 Seasons,5 Clubs,,3 Leagues,,239,184,15831,175.9,22,9,31,22,0,0,41,3,17.3,17.3,11.3,28.5,247,556,393,0.13,0.05,0.18,0.13,0.18,0.11,0.07,0.18,0.11,0.18,
Suat Serdar,Hellas Verona,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Suat Serdar,Hellas Verona,Schalke 04 (3 Seasons),Schalke 04 (3 Seasons),Schalke 04 (3 Seasons),,1 League,,71,63,5281,58.7,10,4,14,10,0,0,9,2,8.3,8.3,4.7,13.0,105,199,162,0.17,0.07,0.24,0.17,0.24,0.14,0.08,0.22,0.14,0.22,
Suat Serdar,Hellas Verona,Hellas Verona (3 Seasons),Hellas Verona (3 Seasons),Hellas Verona (3 Seasons),,1 League,,48,36,3116,34.6,3,3,6,3,0,0,11,1,3.2,3.2,2.4,5.6,38,127,72,0.09,0.09,0.17,0.09,0.17,0.09,0.07,0.16,0.09,0.16,
Suat Serdar,Hellas Verona,Mainz 05 (3 Seasons),Mainz 05 (3 Seasons),Mainz 05 (3 Seasons),,1 League,,45,22,2241,24.9,2,0,2,2,0,0,4,0,1.7,1.7,1.2,2.9,28,69,34,0.08,0.00,0.08,0.08,0.08,0.09,0.06,0.15,0.09,0.15,
Suat Serdar,Hellas Verona,Hertha BSC (2 Seasons),Hertha BSC (2 Seasons),Hertha BSC (2 Seasons),,1 League,,62,51,4239,47.1,7,2,9,7,0,0,13,0,4.1,4.1,3.0,7.0,76,161,125,0.15,0.04,0.19,0.15,0.19,0.09,0.06,0.15,0.09,0.15,
Suat Serdar,Hellas Verona,Mainz 05 II (2 Seasons),Mainz 05 II (2 Seasons),Mainz 05 II (2 Seasons),,1 League,,13,12,954,10.6,0,0,0,0,0,0,4,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Suat Serdar,Hellas Verona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suat Serdar,Hellas Verona,Bundesliga (8 Seasons),Bundesliga (8 Seasons),Bundesliga (8 Seasons),,,,178,136,11761,130.7,19,6,25,19,0,0,26,2,14.0,14.0,8.9,22.9,209,429,321,0.15,0.05,0.19,0.15,0.19,0.11,0.07,0.18,0.11,0.18,
Suat Serdar,Hellas Verona,Serie A (3 Seasons),Serie A (3 Seasons),Serie A (3 Seasons),,,,48,36,3116,34.6,3,3,6,3,0,0,11,1,3.2,3.2,2.4,5.6,38,127,72,0.09,0.09,0.17,0.09,0.17,0.09,0.07,0.16,0.09,0.16,
Suat Serdar,Hellas Verona,3. Liga (2 Seasons),3. Liga (2 Seasons),3. Liga (2 Seasons),,,,13,12,954,10.6,0,0,0,0,0,0,4,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
