Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Unai Núñez,Hellas Verona,2017-2018,20,Athletic Club,es ESP,1. La Liga,16th,33,33,2941,32.7,1,0,1,1,0,0,11,0,3.2,3.2,0.5,3.7,28,119,10,0.03,0.00,0.03,0.03,0.03,0.10,0.02,0.11,0.10,0.11,Matches
Unai Núñez,Hellas Verona,2018-2019,21,Athletic Club,es ESP,1. La Liga,8th,12,11,1064,11.8,0,0,0,0,0,0,4,0,1.1,1.1,0.5,1.5,0,39,2,0.00,0.00,0.00,0.00,0.00,0.09,0.04,0.13,0.09,0.13,Matches
Unai Núñez,Hellas Verona,2019-2020,22,Athletic Club,es ESP,1. La Liga,11th,20,16,1572,17.5,0,0,0,0,0,0,7,0,0.7,0.7,0.1,0.7,4,53,4,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
Unai Núñez,Hellas Verona,2020-2021,23,Athletic Club,es ESP,1. La Liga,10th,25,23,2109,23.4,1,1,2,1,0,0,6,0,1.8,1.8,0.3,2.1,10,65,1,0.04,0.04,0.09,0.04,0.09,0.08,0.01,0.09,0.08,0.09,Matches
Unai Núñez,Hellas Verona,2021-2022,24,Athletic Club,es ESP,1. La Liga,8th,9,7,622,6.9,0,0,0,0,0,0,2,0,0.8,0.8,0.2,1.0,8,33,3,0.00,0.00,0.00,0.00,0.00,0.12,0.02,0.15,0.12,0.15,Matches
Unai Núñez,Hellas Verona,2022-2023,25,Celta Vigo,es ESP,1. La Liga,13th,36,35,3151,35.0,0,0,0,0,0,0,8,0,1.2,1.2,0.1,1.3,31,146,5,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.04,0.03,0.04,Matches
Unai Núñez,Hellas Verona,2023-2024,26,Celta Vigo,es ESP,1. La Liga,13th,34,31,2801,31.1,1,0,1,1,0,0,4,0,1.4,1.4,0.8,2.2,10,106,2,0.03,0.00,0.03,0.03,0.03,0.05,0.02,0.07,0.05,0.07,Matches
Unai Núñez,Hellas Verona,2024-2025,27,Athletic Club,es ESP,1. La Liga,4th,10,7,645,7.2,0,0,0,0,0,0,4,0,0.2,0.2,0.1,0.3,2,26,0,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches
Unai Núñez,Hellas Verona,2025-2026,28,Hellas Verona,it ITA,1. Serie A,11th,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Unai Núñez,Hellas Verona,9 Seasons,9 Seasons,3 Clubs,,2 Leagues,,180,164,14995,166.6,3,1,4,3,0,0,46,0,10.3,10.3,2.5,12.8,94,591,28,0.02,0.01,0.02,0.02,0.02,0.06,0.02,0.08,0.06,0.08,
Unai Núñez,Hellas Verona,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Unai Núñez,Hellas Verona,Athletic Club (6 Seasons),Athletic Club (6 Seasons),Athletic Club (6 Seasons),,1 League,,109,97,8953,99.5,2,1,3,2,0,0,34,0,7.8,7.8,1.6,9.4,52,335,20,0.02,0.01,0.03,0.02,0.03,0.08,0.02,0.09,0.08,0.09,
Unai Núñez,Hellas Verona,Celta Vigo (2 Seasons),Celta Vigo (2 Seasons),Celta Vigo (2 Seasons),,1 League,,70,66,5952,66.1,1,0,1,1,0,0,12,0,2.6,2.6,0.9,3.5,41,252,7,0.02,0.00,0.02,0.02,0.02,0.04,0.01,0.05,0.04,0.05,
Unai Núñez,Hellas Verona,Hellas Verona (1 Season),Hellas Verona (1 Season),Hellas Verona (1 Season),,1 League,,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Unai Núñez,Hellas Verona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unai Núñez,Hellas Verona,La Liga (8 Seasons),La Liga (8 Seasons),La Liga (8 Seasons),,,,179,163,14905,165.6,3,1,4,3,0,0,46,0,10.3,10.3,2.5,12.8,93,587,27,0.02,0.01,0.02,0.02,0.02,0.06,0.02,0.08,0.06,0.08,
Unai Núñez,Hellas Verona,Serie A (1 Season),Serie A (1 Season),Serie A (1 Season),,,,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
