Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Benjamin Pavard,Inter,2014-2015,18,Lille,fr FRA,1. Ligue 1,8th,8,5,512,5.7,0,0,0,0,0,0,2,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Benjamin Pavard,Inter,2015-2016,19,Lille,fr FRA,1. Ligue 1,5th,13,6,633,7.0,0,0,0,0,0,0,3,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Benjamin Pavard,Inter,2016-2017,20,Lille,fr FRA,1. Ligue 1,11th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Benjamin Pavard,Inter,2016-2017,20,Stuttgart,de GER,2. 2. Bundesliga,1st,21,18,1703,18.9,1,2,3,1,0,0,4,0,,,,,,,,0.05,0.11,0.16,0.05,0.16,,,,,,Matches
Benjamin Pavard,Inter,2017-2018,21,Stuttgart,de GER,1. Bundesliga,7th,34,34,3060,34.0,1,0,1,1,0,0,2,0,1.0,1.0,1.1,2.1,17,103,31,0.03,0.00,0.03,0.03,0.03,0.03,0.03,0.06,0.03,0.06,Matches
Benjamin Pavard,Inter,2018-2019,22,Stuttgart,de GER,1. Bundesliga,16th,29,29,2610,29.0,0,0,0,0,0,0,3,0,0.9,0.9,0.6,1.5,22,92,21,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Matches
Benjamin Pavard,Inter,2019-2020,23,Bayern Munich,de GER,1. Bundesliga,1st,32,31,2790,31.0,4,4,8,4,0,0,5,0,2.0,2.0,3.3,5.3,70,224,145,0.13,0.13,0.26,0.13,0.26,0.06,0.11,0.17,0.06,0.17,Matches
Benjamin Pavard,Inter,2020-2021,24,Bayern Munich,de GER,1. Bundesliga,1st,24,22,1943,21.6,0,0,0,0,0,0,3,0,0.4,0.4,1.3,1.7,49,162,167,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.08,0.02,0.08,Matches
Benjamin Pavard,Inter,2021-2022,25,Bayern Munich,de GER,1. Bundesliga,1st,25,24,2076,23.1,0,1,1,0,0,0,2,1,0.7,0.7,1.6,2.3,50,193,91,0.00,0.04,0.04,0.00,0.04,0.03,0.07,0.10,0.03,0.10,Matches
Benjamin Pavard,Inter,2022-2023,26,Bayern Munich,de GER,1. Bundesliga,1st,30,27,2431,27.0,4,1,5,4,0,0,6,0,2.5,2.5,2.4,5.0,37,202,65,0.15,0.04,0.19,0.15,0.19,0.09,0.09,0.18,0.09,0.18,Matches
Benjamin Pavard,Inter,2023-2024,27,Bayern Munich,de GER,1. Bundesliga,3rd,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Benjamin Pavard,Inter,2023-2024,27,Inter,it ITA,1. Serie A,1st,23,21,1672,18.6,0,2,2,0,0,0,6,0,0.7,0.7,1.4,2.1,25,89,47,0.00,0.11,0.11,0.00,0.11,0.04,0.07,0.11,0.04,0.11,Matches
Benjamin Pavard,Inter,2024-2025,28,Inter,it ITA,1. Serie A,2nd,23,18,1584,17.6,0,1,1,0,0,0,4,0,0.5,0.5,0.8,1.3,13,92,26,0.00,0.06,0.06,0.00,0.06,0.03,0.05,0.08,0.03,0.08,Matches
Benjamin Pavard,Inter,2025-2026,29,Inter,it ITA,1. Serie A,1st,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,1,5,0,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07,Matches
Benjamin Pavard,Inter,12 Seasons,12 Seasons,4 Clubs,,4 Leagues,,263,236,21104,234.5,10,11,21,10,0,0,40,1,8.8,8.8,12.6,21.5,284,1162,593,0.04,0.05,0.09,0.04,0.09,0.04,0.06,0.11,0.04,0.11,
Benjamin Pavard,Inter,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Benjamin Pavard,Inter,Bayern Munich (5 Seasons),Bayern Munich (5 Seasons),Bayern Munich (5 Seasons),,1 League,,111,104,9240,102.7,8,6,14,8,0,0,16,1,5.6,5.6,8.7,14.3,206,781,468,0.08,0.06,0.14,0.08,0.14,0.05,0.08,0.14,0.05,0.14,
Benjamin Pavard,Inter,Stuttgart (3 Seasons),Stuttgart (3 Seasons),Stuttgart (3 Seasons),,2 Leagues,,84,81,7373,81.9,2,2,4,2,0,0,9,0,1.9,1.9,1.8,3.7,39,195,52,0.02,0.02,0.05,0.02,0.05,0.03,0.03,0.06,0.03,0.06,
