Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Denzel Dumfries,Inter,2014-2015,18,Sparta R'dam,nl NED,2. Eerste Divisie,8th,3,0,105,1.2,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Denzel Dumfries,Inter,2015-2016,19,Sparta R'dam,nl NED,2. Eerste Divisie,1st,31,30,2658,29.5,1,1,2,1,0,0,9,0,,,,,,,,0.03,0.03,0.07,0.03,0.07,,,,,,Matches
Denzel Dumfries,Inter,2016-2017,20,Sparta R'dam,nl NED,1. Eredivisie,15th,31,30,2644,29.4,1,1,2,1,0,0,9,2,,,,,,,,0.03,0.03,0.07,0.03,0.07,,,,,,Matches
Denzel Dumfries,Inter,2017-2018,21,Heerenveen,nl NED,1. Eredivisie,8th,33,33,2940,32.7,3,7,10,3,0,0,7,0,,,,,,,,0.09,0.21,0.31,0.09,0.31,,,,,,Matches
Denzel Dumfries,Inter,2018-2019,22,PSV Eindhoven,nl NED,1. Eredivisie,2nd,34,34,2981,33.1,4,6,10,4,0,0,4,0,7.0,7.0,6.0,13.0,139,183,181,0.12,0.18,0.30,0.12,0.30,0.21,0.18,0.39,0.21,0.39,Matches
Denzel Dumfries,Inter,2019-2020,23,PSV Eindhoven,nl NED,1. Eredivisie,4th,25,25,2241,24.9,7,3,10,7,0,0,6,0,5.2,5.2,3.8,9.0,57,90,149,0.28,0.12,0.40,0.28,0.40,0.21,0.15,0.36,0.21,0.36,Matches
Denzel Dumfries,Inter,2020-2021,24,PSV Eindhoven,nl NED,1. Eredivisie,2nd,30,27,2469,27.4,2,6,8,1,1,1,6,0,3.4,2.6,6.6,9.2,90,133,213,0.07,0.22,0.29,0.04,0.26,0.12,0.24,0.36,0.09,0.33,Matches
Denzel Dumfries,Inter,2021-2022,25,Inter,it ITA,1. Serie A,2nd,33,21,2028,22.5,5,4,9,5,0,0,3,0,5.2,5.2,4.4,9.6,55,58,204,0.22,0.18,0.40,0.22,0.40,0.23,0.19,0.43,0.23,0.43,Matches
Denzel Dumfries,Inter,2022-2023,26,Inter,it ITA,1. Serie A,3rd,34,25,2218,24.6,1,4,5,1,0,0,4,0,3.6,3.6,4.9,8.5,62,59,172,0.04,0.16,0.20,0.04,0.20,0.15,0.20,0.35,0.15,0.35,Matches
