Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Francesco Acerbi,Inter,2010-2011,22,Reggina,it ITA,2. Serie B,6th,40,39,3523,39.1,2,0,2,2,0,0,3,0,,,,,,,,0.05,0.00,0.05,0.05,0.05,,,,,,
Francesco Acerbi,Inter,2011-2012,23,Chievo,it ITA,1. Serie A,10th,17,14,1341,14.9,1,0,1,1,0,0,1,0,,,,,,,,0.07,0.00,0.07,0.07,0.07,,,,,,Matches
Francesco Acerbi,Inter,2012-2013,24,Chievo,it ITA,1. Serie A,12th,7,5,443,4.9,0,0,0,0,0,0,2,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Francesco Acerbi,Inter,2012-2013,24,Milan,it ITA,1. Serie A,3rd,6,5,473,5.3,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Francesco Acerbi,Inter,2013-2014,25,Sassuolo,it ITA,1. Serie A,17th,13,11,1084,12.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Francesco Acerbi,Inter,2014-2015,26,Sassuolo,it ITA,1. Serie A,12th,32,32,2878,32.0,3,0,3,3,0,0,8,1,,,,,,,,0.09,0.00,0.09,0.09,0.09,,,,,,Matches
Francesco Acerbi,Inter,2015-2016,27,Sassuolo,it ITA,1. Serie A,6th,36,36,3240,36.0,4,0,4,4,0,0,3,0,,,,,,,,0.11,0.00,0.11,0.11,0.11,,,,,,Matches
Francesco Acerbi,Inter,2016-2017,28,Sassuolo,it ITA,1. Serie A,12th,38,38,3420,38.0,4,0,4,3,1,1,2,0,,,,,,,,0.11,0.00,0.11,0.08,0.08,,,,,,Matches
Francesco Acerbi,Inter,2017-2018,29,Sassuolo,it ITA,1. Serie A,11th,38,38,3420,38.0,0,0,0,0,0,0,4,0,1.0,1.0,0.7,1.7,35,141,14,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.04,0.03,0.04,Matches
