Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Josep Martinez,Inter,2018-2019,20,Las Palmas,es ESP,2. La Liga 2,12th,7,7,630,7.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Josep Martinez,Inter,2019-2020,21,Las Palmas,es ESP,2. La Liga 2,9th,21,21,1845,20.5,0,0,0,0,0,0,2,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Josep Martinez,Inter,2020-2021,22,RB Leipzig,de GER,1. Bundesliga,2nd,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Josep Martinez,Inter,2021-2022,23,RB Leipzig,de GER,1. Bundesliga,4th,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Josep Martinez,Inter,2022-2023,24,Genoa,it ITA,2. Serie B,2nd,30,30,2699,30.0,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Josep Martinez,Inter,2023-2024,25,Genoa,it ITA,1. Serie A,11th,36,36,3239,36.0,0,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Josep Martinez,Inter,2024-2025,26,Inter,it ITA,1. Serie A,2nd,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
Josep Martinez,Inter,2025-2026,27,Inter,it ITA,1. Serie A,1st,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Josep Martinez,Inter,8 Seasons,8 Seasons,4 Clubs,,4 Leagues,,101,101,9043,100.5,0,0,0,0,0,0,9,1,0.0,0.0,0.2,0.2,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Josep Martinez,Inter,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Josep Martinez,Inter,Genoa (2 Seasons),Genoa (2 Seasons),Genoa (2 Seasons),,2 Leagues,,66,66,5938,66.0,0,0,0,0,0,0,7,1,0.0,0.0,0.1,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Josep Martinez,Inter,Las Palmas (2 Seasons),Las Palmas (2 Seasons),Las Palmas (2 Seasons),,1 League,,28,28,2475,27.5,0,0,0,0,0,0,2,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Josep Martinez,Inter,Inter (2 Seasons),Inter (2 Seasons),Inter (2 Seasons),,1 League,,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,
Josep Martinez,Inter,RB Leipzig (2 Seasons),RB Leipzig (2 Seasons),RB Leipzig (2 Seasons),,1 League,,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Josep Martinez,Inter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josep Martinez,Inter,Serie A (3 Seasons),Serie A (3 Seasons),Serie A (3 Seasons),,,,41,41,3689,41.0,0,0,0,0,0,0,4,1,0.0,0.0,0.1,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Josep Martinez,Inter,La Liga 2 (2 Seasons),La Liga 2 (2 Seasons),La Liga 2 (2 Seasons),,,,28,28,2475,27.5,0,0,0,0,0,0,2,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Josep Martinez,Inter,Bundesliga (2 Seasons),Bundesliga (2 Seasons),Bundesliga (2 Seasons),,,,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Josep Martinez,Inter,Serie B (1 Season),Serie B (1 Season),Serie B (1 Season),,,,30,30,2699,30.0,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
