Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Marcus Thuram,Inter,2014-2015,16,Sochaux,fr FRA,2. Ligue 2,10th,1,0,8,0.1,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Marcus Thuram,Inter,2015-2016,17,Sochaux,fr FRA,2. Ligue 2,15th,15,5,537,6.0,0,1,1,0,0,0,2,0,,,,,,,,0.00,0.17,0.17,0.00,0.17,,,,,,Matches
Marcus Thuram,Inter,2016-2017,18,Sochaux,fr FRA,2. Ligue 2,12th,21,9,966,10.7,1,1,2,1,0,0,2,0,,,,,,,,0.09,0.09,0.19,0.09,0.19,,,,,,Matches
Marcus Thuram,Inter,2017-2018,19,Guingamp,fr FRA,1. Ligue 1,12th,32,20,1929,21.4,3,1,4,3,0,0,2,0,5.7,5.7,2.4,8.1,67,47,173,0.14,0.05,0.19,0.14,0.19,0.26,0.11,0.38,0.26,0.38,Matches
Marcus Thuram,Inter,2018-2019,20,Guingamp,fr FRA,1. Ligue 1,20th,32,32,2571,28.6,9,1,10,5,4,5,4,2,10.0,6.0,3.0,9.0,133,76,221,0.32,0.04,0.35,0.18,0.21,0.35,0.10,0.45,0.21,0.32,Matches
Marcus Thuram,Inter,2019-2020,21,Gladbach,de GER,1. Bundesliga,4th,31,28,2202,24.5,10,8,18,10,0,0,3,0,10.3,10.3,7.5,17.7,96,52,217,0.41,0.33,0.74,0.41,0.74,0.42,0.31,0.72,0.42,0.72,Matches
Marcus Thuram,Inter,2020-2021,22,Gladbach,de GER,1. Bundesliga,8th,29,20,1731,19.2,8,3,11,8,0,0,3,1,8.1,8.1,2.4,10.5,77,44,162,0.42,0.16,0.57,0.42,0.57,0.42,0.13,0.55,0.42,0.55,Matches
Marcus Thuram,Inter,2021-2022,23,Gladbach,de GER,1. Bundesliga,10th,21,9,979,10.9,3,0,3,3,0,0,2,0,4.6,4.6,1.1,5.7,32,17,95,0.28,0.00,0.28,0.28,0.28,0.46,0.11,0.57,0.46,0.57,Matches
Marcus Thuram,Inter,2022-2023,24,Gladbach,de GER,1. Bundesliga,10th,30,28,2513,27.9,13,6,19,13,0,0,3,0,16.5,16.5,5.2,21.8,75,46,170,0.47,0.21,0.68,0.47,0.68,0.59,0.19,0.78,0.59,0.78,Matches
Marcus Thuram,Inter,2023-2024,25,Inter,it ITA,1. Serie A,1st,35,34,2687,29.9,13,7,20,13,0,0,3,0,14.3,14.3,3.7,18.0,68,47,192,0.44,0.23,0.67,0.44,0.67,0.48,0.12,0.60,0.48,0.60,Matches
Marcus Thuram,Inter,2024-2025,26,Inter,it ITA,1. Serie A,2nd,32,27,2290,25.4,14,4,18,14,0,0,1,0,9.9,9.9,4.4,14.3,62,53,170,0.55,0.16,0.71,0.55,0.71,0.39,0.17,0.56,0.39,0.56,Matches
Marcus Thuram,Inter,2025-2026,27,Inter,it ITA,1. Serie A,1st,1,1,66,0.7,2,0,2,2,0,0,0,0,0.6,0.6,0.1,0.7,3,1,5,2.73,0.00,2.73,2.73,2.73,0.84,0.11,0.95,0.84,0.95,Matches
Marcus Thuram,Inter,12 Seasons,12 Seasons,4 Clubs,,4 Leagues,,280,213,18479,205.3,76,32,108,72,4,5,25,3,80.0,76.0,29.7,105.7,613,383,1405,0.37,0.16,0.53,0.35,0.51,0.43,0.16,0.58,0.41,0.56,
Marcus Thuram,Inter,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Marcus Thuram,Inter,Gladbach (4 Seasons),Gladbach (4 Seasons),Gladbach (4 Seasons),,1 League,,111,85,7425,82.5,34,17,51,34,0,0,11,1,39.5,39.5,16.2,55.7,280,159,644,0.41,0.21,0.62,0.41,0.62,0.48,0.20,0.68,0.48,0.68,
Marcus Thuram,Inter,Inter (3 Seasons),Inter (3 Seasons),Inter (3 Seasons),,1 League,,68,62,5043,56.0,29,11,40,29,0,0,4,0,24.8,24.8,8.1,33.0,133,101,367,0.52,0.20,0.71,0.52,0.71,0.44,0.15,0.59,0.44,0.59,
