Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Nicolò Barella,Inter,2014-2015,17,Cagliari,it ITA,1. Serie A,18th,3,1,131,1.5,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Nicolò Barella,Inter,2015-2016,18,Como,it ITA,2. Serie B,22nd,16,16,1405,15.6,0,1,1,0,0,0,4,0,,,,,,,,0.00,0.06,0.06,0.00,0.06,,,,,,Matches
Nicolò Barella,Inter,2015-2016,18,Cagliari,it ITA,2. Serie B,1st,5,2,156,1.7,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Nicolò Barella,Inter,2016-2017,19,Cagliari,it ITA,1. Serie A,11th,28,22,1908,21.2,0,1,1,0,0,0,11,1,,,,,,,,0.00,0.05,0.05,0.00,0.05,,,,,,Matches
Nicolò Barella,Inter,2017-2018,20,Cagliari,it ITA,1. Serie A,16th,34,34,2955,32.8,6,2,8,3,3,3,15,1,3.6,1.2,1.9,3.1,55,200,101,0.18,0.06,0.24,0.09,0.15,0.11,0.06,0.17,0.04,0.09,Matches
Nicolò Barella,Inter,2018-2019,21,Cagliari,it ITA,1. Serie A,15th,35,35,3107,34.5,1,3,4,1,0,1,10,2,2.6,1.8,3.1,4.9,112,206,139,0.03,0.09,0.12,0.03,0.12,0.07,0.09,0.17,0.05,0.14,Matches
Nicolò Barella,Inter,2019-2020,22,Inter,it ITA,1. Serie A,2nd,27,23,2013,22.4,1,4,5,1,0,0,11,0,2.1,2.1,1.7,3.7,47,183,98,0.04,0.18,0.22,0.04,0.22,0.09,0.07,0.17,0.09,0.17,Matches
Nicolò Barella,Inter,2020-2021,23,Inter,it ITA,1. Serie A,1st,36,32,2896,32.2,3,7,10,3,0,0,5,0,2.4,2.4,5.7,8.1,99,261,149,0.09,0.22,0.31,0.09,0.31,0.07,0.18,0.25,0.07,0.25,Matches
Nicolò Barella,Inter,2021-2022,24,Inter,it ITA,1. Serie A,2nd,36,36,2913,32.4,3,11,14,3,0,0,9,0,4.7,4.7,8.9,13.6,114,231,204,0.09,0.34,0.43,0.09,0.43,0.14,0.27,0.42,0.14,0.42,Matches
