Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Raffaele Di Gennaro,Inter,2013-2014,19,Cittadella,it ITA,2. Serie B,17th,39,39,3510,39.0,0,0,0,0,0,0,3,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Raffaele Di Gennaro,Inter,2014-2015,20,Latina,it ITA,2. Serie B,13th,28,28,2488,27.6,0,0,0,0,0,0,0,1,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Raffaele Di Gennaro,Inter,2015-2016,21,Latina,it ITA,2. Serie B,16th,13,13,1125,12.5,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Raffaele Di Gennaro,Inter,2016-2017,22,Ternana,it ITA,2. Serie B,18th,16,16,1440,16.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Raffaele Di Gennaro,Inter,2017-2018,23,Spezia,it ITA,2. Serie B,10th,23,23,2025,22.5,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Raffaele Di Gennaro,Inter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raffaele Di Gennaro,Inter,2023-2024,29,Inter,it ITA,1. Serie A,1st,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Raffaele Di Gennaro,Inter,2024-2025,30,Inter,it ITA,1. Serie A,2nd,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Raffaele Di Gennaro,Inter,2025-2026,31,Inter,it ITA,1. Serie A,1st,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Raffaele Di Gennaro,Inter,8 Seasons,8 Seasons,5 Clubs,,2 Leagues,,120,119,10611,117.9,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Raffaele Di Gennaro,Inter,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Raffaele Di Gennaro,Inter,Inter (3 Seasons),Inter (3 Seasons),Inter (3 Seasons),,1 League,,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Raffaele Di Gennaro,Inter,Latina (2 Seasons),Latina (2 Seasons),Latina (2 Seasons),,1 League,,41,41,3613,40.1,0,0,0,0,0,0,0,1,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Raffaele Di Gennaro,Inter,Cittadella (1 Season),Cittadella (1 Season),Cittadella (1 Season),,1 League,,39,39,3510,39.0,0,0,0,0,0,0,3,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Raffaele Di Gennaro,Inter,Spezia (1 Season),Spezia (1 Season),Spezia (1 Season),,1 League,,23,23,2025,22.5,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Raffaele Di Gennaro,Inter,Ternana (1 Season),Ternana (1 Season),Ternana (1 Season),,1 League,,16,16,1440,16.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Raffaele Di Gennaro,Inter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raffaele Di Gennaro,Inter,Serie B (5 Seasons),Serie B (5 Seasons),Serie B (5 Seasons),,,,119,119,10588,117.6,0,0,0,0,0,0,3,1,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Raffaele Di Gennaro,Inter,Serie A (3 Seasons),Serie A (3 Seasons),Serie A (3 Seasons),,,,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
