Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Tomás Palacios,Inter,2022,18,Talleres,ar ARG,1. Liga Argentina,13th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Tomás Palacios,Inter,2023,19,Talleres,ar ARG,1. Liga Argentina,2nd,4,2,174,1.9,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,2,2,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
Tomás Palacios,Inter,2024,20,Ind. Rivadavia,ar ARG,1. Liga Argentina,11th,9,9,765,8.5,0,0,0,0,0,0,5,0,0.2,0.2,0.0,0.2,8,17,3,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
Tomás Palacios,Inter,2024-2025,21,Monza,it ITA,1. Serie A,20th,8,5,446,5.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,3,21,2,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
Tomás Palacios,Inter,2024-2025,21,Inter,it ITA,1. Serie A,2nd,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Tomás Palacios,Inter,2025-2026,22,Inter,it ITA,1. Serie A,1st,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Tomás Palacios,Inter,4 Seasons,4 Seasons,4 Clubs,,2 Leagues,,23,16,1396,15.5,0,0,0,0,0,0,8,0,0.3,0.3,0.0,0.3,12,43,7,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,
Tomás Palacios,Inter,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Tomás Palacios,Inter,Talleres (2 Seasons),Talleres (2 Seasons),Talleres (2 Seasons),,1 League,,4,2,174,1.9,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,2,2,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,
Tomás Palacios,Inter,Inter (2 Seasons),Inter (2 Seasons),Inter (2 Seasons),,1 League,,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Tomás Palacios,Inter,Ind. Rivadavia (1 Season),Ind. Rivadavia (1 Season),Ind. Rivadavia (1 Season),,1 League,,9,9,765,8.5,0,0,0,0,0,0,5,0,0.2,0.2,0.0,0.2,8,17,3,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,
Tomás Palacios,Inter,Monza (1 Season),Monza (1 Season),Monza (1 Season),,1 League,,8,5,446,5.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,3,21,2,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,
Tomás Palacios,Inter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomás Palacios,Inter,Liga Argentina (3 Seasons),Liga Argentina (3 Seasons),Liga Argentina (3 Seasons),,,,13,11,939,10.4,0,0,0,0,0,0,6,0,0.3,0.3,0.0,0.3,9,19,5,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,
Tomás Palacios,Inter,Serie A (2 Seasons),Serie A (2 Seasons),Serie A (2 Seasons),,,,10,5,457,5.1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,3,24,2,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,
