Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Yann Aurel Bisseck,Inter,2016-2017,15,Köln,de GER,Jr. U17 Bundesliga,9th,25,25,2250,25.0,3,,,3,0,0,5,0,,,,,,,,0.12,,,0.12,,,,,,,Matches
Yann Aurel Bisseck,Inter,2017-2018,16,Köln,de GER,Jr. U19 Bundesliga,10th,19,19,1680,18.7,2,,,2,0,0,1,0,,,,,,,,0.11,,,0.11,,,,,,,Matches
Yann Aurel Bisseck,Inter,2017-2018,16,Köln,de GER,1. Bundesliga,18th,3,1,156,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,9,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Yann Aurel Bisseck,Inter,2018-2019,17,Holstein Kiel,de GER,2. 2. Bundesliga,6th,3,0,18,0.2,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Yann Aurel Bisseck,Inter,2019-2020,18,Roda JC,nl NED,2. Eerste Divisie,16th,10,4,486,5.4,1,0,1,1,0,0,1,0,,,,,,,,0.19,0.00,0.19,0.19,0.19,,,,,,Matches
Yann Aurel Bisseck,Inter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yann Aurel Bisseck,Inter,2021-2022,20,AGF,dk DEN,1. Danish Superliga,10th,30,23,2117,23.5,1,0,1,1,0,0,4,0,,,,,,,,0.04,0.00,0.04,0.04,0.04,,,,,,Matches
Yann Aurel Bisseck,Inter,2022-2023,21,AGF,dk DEN,1. Danish Superliga,3rd,32,32,2880,32.0,4,1,5,4,0,0,3,0,,,,,,,,0.12,0.03,0.16,0.12,0.16,,,,,,Matches
Yann Aurel Bisseck,Inter,2023-2024,22,Inter,it ITA,1. Serie A,1st,16,9,904,10.0,2,0,2,2,0,0,0,0,0.9,0.9,0.5,1.4,24,30,20,0.20,0.00,0.20,0.20,0.20,0.09,0.05,0.14,0.09,0.14,Matches
Yann Aurel Bisseck,Inter,2024-2025,23,Inter,it ITA,1. Serie A,2nd,27,17,1643,18.3,3,2,5,3,0,0,4,0,2.6,2.6,0.9,3.4,32,93,44,0.16,0.11,0.27,0.16,0.27,0.14,0.05,0.19,0.14,0.19,Matches
Yann Aurel Bisseck,Inter,2025-2026,24,Inter,it ITA,1. Serie A,1st,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Yann Aurel Bisseck,Inter,8 Seasons,8 Seasons,5 Clubs,,5 Leagues,,121,86,8204,91.2,11,3,14,11,0,0,12,0,3.5,3.5,1.4,4.8,59,132,65,0.12,0.03,0.15,0.12,0.15,0.12,0.05,0.16,0.12,0.16,
Yann Aurel Bisseck,Inter,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Yann Aurel Bisseck,Inter,Inter (3 Seasons),Inter (3 Seasons),Inter (3 Seasons),,1 League,,43,26,2547,28.3,5,2,7,5,0,0,4,0,3.5,3.5,1.4,4.8,56,123,64,0.18,0.07,0.25,0.18,0.25,0.12,0.05,0.17,0.12,0.17,
Yann Aurel Bisseck,Inter,AGF (2 Seasons),AGF (2 Seasons),AGF (2 Seasons),,1 League,,62,55,4997,55.5,5,1,6,5,0,0,7,0,,,,,,,,0.09,0.02,0.11,0.09,0.11,,,,,,
Yann Aurel Bisseck,Inter,Köln (1 Season),Köln (1 Season),Köln (1 Season),,1 League,,25,25,2250,25.0,3,,,3,0,0,5,0,,,,,,,,0.12,,,0.12,,,,,,,
Yann Aurel Bisseck,Inter,Köln (1 Season),Köln (1 Season),Köln (1 Season),,1 League,,19,19,1680,18.7,2,,,2,0,0,1,0,,,,,,,,0.11,,,0.11,,,,,,,
Yann Aurel Bisseck,Inter,Roda JC (1 Season),Roda JC (1 Season),Roda JC (1 Season),,1 League,,10,4,486,5.4,1,0,1,1,0,0,1,0,,,,,,,,0.19,0.00,0.19,0.19,0.19,,,,,,
Yann Aurel Bisseck,Inter,Holstein Kiel (1 Season),Holstein Kiel (1 Season),Holstein Kiel (1 Season),,1 League,,3,0,18,0.2,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Yann Aurel Bisseck,Inter,Köln (1 Season),Köln (1 Season),Köln (1 Season),,1 League,,3,1,156,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,9,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Yann Aurel Bisseck,Inter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yann Aurel Bisseck,Inter,Serie A (3 Seasons),Serie A (3 Seasons),Serie A (3 Seasons),,,,43,26,2547,28.3,5,2,7,5,0,0,4,0,3.5,3.5,1.4,4.8,56,123,64,0.18,0.07,0.25,0.18,0.25,0.12,0.05,0.17,0.12,0.17,
Yann Aurel Bisseck,Inter,Danish Superliga (2 Seasons),Danish Superliga (2 Seasons),Danish Superliga (2 Seasons),,,,62,55,4997,55.5,5,1,6,5,0,0,7,0,,,,,,,,0.09,0.02,0.11,0.09,0.11,,,,,,
Yann Aurel Bisseck,Inter,U17 Bundesliga (1 Season),U17 Bundesliga (1 Season),U17 Bundesliga (1 Season),,,,25,25,2250,25.0,3,,,3,0,0,5,0,,,,,,,,0.12,,,0.12,,,,,,,
Yann Aurel Bisseck,Inter,U19 Bundesliga (1 Season),U19 Bundesliga (1 Season),U19 Bundesliga (1 Season),,,,19,19,1680,18.7,2,,,2,0,0,1,0,,,,,,,,0.11,,,0.11,,,,,,,
Yann Aurel Bisseck,Inter,Eerste Divisie (1 Season),Eerste Divisie (1 Season),Eerste Divisie (1 Season),,,,10,4,486,5.4,1,0,1,1,0,0,1,0,,,,,,,,0.19,0.00,0.19,0.19,0.19,,,,,,
Yann Aurel Bisseck,Inter,Bundesliga (1 Season),Bundesliga (1 Season),Bundesliga (1 Season),,,,3,1,156,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,9,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Yann Aurel Bisseck,Inter,2. Bundesliga (1 Season),2. Bundesliga (1 Season),2. Bundesliga (1 Season),,,,3,0,18,0.2,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
