Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Yann Sommer,Inter,2008-2009,19,Basel,ch SUI,1. Super Lg,3rd,6,6,540,6.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Yann Sommer,Inter,2008-2009,19,Vaduz,ch SUI,1. Super Lg,10th,17,17,1530,17.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Yann Sommer,Inter,2009-2010,20,Grasshopper,ch SUI,1. Super Lg,3rd,33,33,2923,32.5,0,0,0,0,0,0,2,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Yann Sommer,Inter,2010-2011,21,Basel,ch SUI,1. Super Lg,1st,5,4,363,4.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Yann Sommer,Inter,2011-2012,22,Basel,ch SUI,1. Super Lg,1st,31,31,2790,31.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Yann Sommer,Inter,2012-2013,23,Basel,ch SUI,1. Super Lg,1st,36,36,3240,36.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Yann Sommer,Inter,2013-2014,24,Basel,ch SUI,1. Super Lg,1st,35,35,3122,34.7,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Yann Sommer,Inter,2014-2015,25,Gladbach,de GER,1. Bundesliga,3rd,34,34,3060,34.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Yann Sommer,Inter,2015-2016,26,Gladbach,de GER,1. Bundesliga,4th,32,32,2880,32.0,0,0,0,0,0,0,2,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Yann Sommer,Inter,2016-2017,27,Gladbach,de GER,1. Bundesliga,9th,34,34,3060,34.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Yann Sommer,Inter,2017-2018,28,Gladbach,de GER,1. Bundesliga,9th,30,30,2625,29.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
