Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Daniele Rugani,Juventus,2013-2014,19,Empoli,it ITA,2. Serie B,2nd,40,40,3577,39.7,2,0,2,2,0,0,3,0,,,,,,,,0.05,0.00,0.05,0.05,0.05,,,,,,
Daniele Rugani,Juventus,2014-2015,20,Empoli,it ITA,1. Serie A,15th,38,38,3420,38.0,3,0,3,3,0,0,0,0,,,,,,,,0.08,0.00,0.08,0.08,0.08,,,,,,Matches
Daniele Rugani,Juventus,2015-2016,21,Juventus,it ITA,1. Serie A,1st,17,11,1167,13.0,0,0,0,0,0,0,2,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Daniele Rugani,Juventus,2016-2017,22,Juventus,it ITA,1. Serie A,1st,15,11,1081,12.0,2,0,2,2,0,0,4,0,,,,,,,,0.17,0.00,0.17,0.17,0.17,,,,,,Matches
Daniele Rugani,Juventus,2017-2018,23,Juventus,it ITA,1. Serie A,1st,22,22,1935,21.5,2,1,3,2,0,0,3,0,1.0,1.0,0.6,1.7,8,39,2,0.09,0.05,0.14,0.09,0.14,0.05,0.03,0.08,0.05,0.08,Matches
Daniele Rugani,Juventus,2018-2019,24,Juventus,it ITA,1. Serie A,1st,15,15,1350,15.0,2,0,2,2,0,0,3,0,1.6,1.6,0.0,1.6,6,39,1,0.13,0.00,0.13,0.13,0.13,0.11,0.00,0.11,0.11,0.11,Matches
Daniele Rugani,Juventus,2019-2020,25,Juventus,it ITA,1. Serie A,1st,10,7,690,7.7,0,0,0,0,0,0,2,0,0.3,0.3,0.0,0.3,2,17,0,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
Daniele Rugani,Juventus,2020-2021,26,Rennes,fr FRA,1. Ligue 1,6th,1,1,90,1.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.13,0.13,0.13,Matches
Daniele Rugani,Juventus,2020-2021,26,Cagliari,it ITA,1. Serie A,16th,16,12,1001,11.1,1,1,2,1,0,0,2,0,0.4,0.4,0.5,1.0,4,36,5,0.09,0.09,0.18,0.09,0.18,0.04,0.05,0.09,0.04,0.09,Matches
Daniele Rugani,Juventus,2020-2021,26,Juventus,it ITA,1. Serie A,4th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
