Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Filip Kostić,Juventus,2011-2012,18,Radnički Krag,rs SRB,1. SuperLiga,6th,27,26,2115,23.5,3,9,12,3,0,0,4,1,,,,,,,,0.13,0.38,0.51,0.13,0.51,,,,,,
Filip Kostić,Juventus,2012-2013,19,Javor Ivanjica,rs SRB,1. SuperLiga,10th,9,1,126,1.4,0,1,1,0,0,0,1,0,,,,,,,,0.00,0.71,0.71,0.00,0.71,,,,,,Matches
Filip Kostić,Juventus,2012-2013,19,Groningen,nl NED,1. Eredivisie,7th,5,0,51,0.6,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Filip Kostić,Juventus,2013-2014,20,Groningen,nl NED,1. Eredivisie,7th,34,33,2931,32.6,9,7,16,9,0,0,2,0,,,,,,,,0.28,0.21,0.49,0.28,0.49,,,,,,Matches
Filip Kostić,Juventus,2014-2015,21,Stuttgart,de GER,1. Bundesliga,14th,29,15,1537,17.1,3,5,8,3,0,0,5,0,,,,,,,,0.18,0.29,0.47,0.18,0.47,,,,,,Matches
Filip Kostić,Juventus,2015-2016,22,Stuttgart,de GER,1. Bundesliga,17th,30,30,2592,28.8,5,5,10,4,1,1,5,0,,,,,,,,0.17,0.17,0.35,0.14,0.31,,,,,,Matches
Filip Kostić,Juventus,2016-2017,23,Hamburger SV,de GER,1. Bundesliga,14th,31,29,2518,28.0,4,3,7,4,0,0,6,0,,,,,,,,0.14,0.11,0.25,0.14,0.25,,,,,,Matches
Filip Kostić,Juventus,2017-2018,24,Hamburger SV,de GER,1. Bundesliga,17th,30,27,2438,27.1,5,1,6,5,0,2,2,0,8.2,6.7,3.2,9.8,90,59,196,0.18,0.04,0.22,0.18,0.22,0.31,0.12,0.43,0.25,0.37,Matches
Filip Kostić,Juventus,2018-2019,25,Eint Frankfurt,de GER,1. Bundesliga,7th,34,33,2956,32.8,6,10,16,6,0,0,4,0,4.5,4.5,9.8,14.2,156,140,225,0.18,0.30,0.49,0.18,0.49,0.14,0.30,0.43,0.14,0.43,Matches
