Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Gleison Bremer,Juventus,2017,19,Atlético Mineiro,br BRA,1. Série A,9th,12,10,1012,11.2,0,0,0,0,0,0,4,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Gleison Bremer,Juventus,2018,20,Atlético Mineiro,br BRA,1. Série A,6th,11,9,855,9.5,1,0,1,1,0,0,2,0,,,,,,,,0.11,0.00,0.11,0.11,0.11,,,,,,Matches
Gleison Bremer,Juventus,2018-2019,21,Torino,it ITA,1. Serie A,7th,5,2,183,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,1,9,0,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches
Gleison Bremer,Juventus,2019-2020,22,Torino,it ITA,1. Serie A,16th,27,27,2270,25.2,3,1,4,3,0,0,6,2,1.7,1.7,0.4,2.0,16,57,3,0.12,0.04,0.16,0.12,0.16,0.07,0.01,0.08,0.07,0.08,Matches
Gleison Bremer,Juventus,2020-2021,23,Torino,it ITA,1. Serie A,17th,33,33,2935,32.6,5,0,5,5,0,0,2,0,3.2,3.2,0.4,3.6,28,81,9,0.15,0.00,0.15,0.15,0.15,0.10,0.01,0.11,0.10,0.11,Matches
Gleison Bremer,Juventus,2021-2022,24,Torino,it ITA,1. Serie A,10th,33,33,2890,32.1,3,1,4,3,0,0,7,0,4.4,4.4,0.4,4.8,18,64,6,0.09,0.03,0.12,0.09,0.12,0.14,0.01,0.15,0.14,0.15,Matches
Gleison Bremer,Juventus,2022-2023,25,Juventus,it ITA,1. Serie A,7th,30,30,2634,29.3,4,1,5,4,0,0,6,0,4.9,4.9,1.7,6.6,8,54,4,0.14,0.03,0.17,0.14,0.17,0.17,0.06,0.23,0.17,0.23,Matches
Gleison Bremer,Juventus,2023-2024,26,Juventus,it ITA,1. Serie A,3rd,36,36,3233,35.9,3,0,3,3,0,0,9,0,1.4,1.4,0.4,1.9,7,120,4,0.08,0.00,0.08,0.08,0.08,0.04,0.01,0.05,0.04,0.05,Matches
Gleison Bremer,Juventus,2024-2025,27,Juventus,it ITA,1. Serie A,4th,6,6,540,6.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,2,21,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
Gleison Bremer,Juventus,2025-2026,28,Juventus,it ITA,1. Serie A,2nd,1,1,90,1.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,2,0,0.00,0.00,0.00,0.00,0.00,0.19,0.02,0.21,0.19,0.21,Matches
Gleison Bremer,Juventus,9 Seasons,9 Seasons,3 Clubs,,2 Leagues,,194,187,16642,184.9,19,3,22,19,0,0,39,2,15.9,15.9,3.3,19.2,80,408,26,0.10,0.02,0.12,0.10,0.12,0.10,0.02,0.12,0.10,0.12,
Gleison Bremer,Juventus,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Gleison Bremer,Juventus,Torino (4 Seasons),Torino (4 Seasons),Torino (4 Seasons),,1 League,,98,95,8278,92.0,11,2,13,11,0,0,16,2,9.3,9.3,1.1,10.5,63,211,18,0.12,0.02,0.14,0.12,0.14,0.10,0.01,0.11,0.10,0.11,
Gleison Bremer,Juventus,Juventus (4 Seasons),Juventus (4 Seasons),Juventus (4 Seasons),,1 League,,73,73,6497,72.2,7,1,8,7,0,0,17,0,6.6,6.6,2.2,8.8,17,197,8,0.10,0.01,0.11,0.10,0.11,0.09,0.03,0.12,0.09,0.12,
Gleison Bremer,Juventus,Atlético Mineiro (2 Seasons),Atlético Mineiro (2 Seasons),Atlético Mineiro (2 Seasons),,1 League,,23,19,1867,20.7,1,0,1,1,0,0,6,0,,,,,,,,0.05,0.00,0.05,0.05,0.05,,,,,,
Gleison Bremer,Juventus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gleison Bremer,Juventus,Serie A (8 Seasons),Serie A (8 Seasons),Serie A (8 Seasons),,,,171,168,14775,164.2,18,3,21,18,0,0,33,2,15.9,15.9,3.3,19.2,80,408,26,0.11,0.02,0.13,0.11,0.13,0.10,0.02,0.12,0.10,0.12,
Gleison Bremer,Juventus,Série A (2 Seasons),Série A (2 Seasons),Série A (2 Seasons),,,,23,19,1867,20.7,1,0,1,1,0,0,6,0,,,,,,,,0.05,0.00,0.05,0.05,0.05,,,,,,
