Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Jonathan David,Juventus,2017-2018,17,Gent,be BEL,1. First Division A,4th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jonathan David,Juventus,2018-2019,18,Gent,be BEL,1. First Division A,5th,33,21,1983,22.0,12,6,18,12,0,0,1,0,7.1,7.1,2.5,9.6,54,84,131,0.54,0.27,0.82,0.54,0.82,0.32,0.12,0.44,0.32,0.44,Matches
Jonathan David,Juventus,2019-2020,19,Gent,be BEL,1. First Division A,2nd,27,24,2095,23.3,18,7,25,15,3,3,4,0,11.6,9.2,4.0,13.3,70,82,238,0.77,0.30,1.07,0.64,0.95,0.50,0.17,0.67,0.40,0.57,Matches
Jonathan David,Juventus,2020-2021,20,Lille,fr FRA,1. Ligue 1,1st,37,29,2354,26.2,13,2,15,13,0,0,0,0,9.1,9.1,2.6,11.7,46,47,173,0.50,0.08,0.57,0.50,0.57,0.35,0.10,0.45,0.35,0.45,Matches
Jonathan David,Juventus,2021-2022,21,Lille,fr FRA,1. Ligue 1,10th,38,32,2804,31.2,15,0,15,13,2,3,3,0,14.6,12.3,3.5,15.8,43,67,182,0.48,0.00,0.48,0.42,0.42,0.47,0.11,0.58,0.39,0.51,Matches
Jonathan David,Juventus,2022-2023,22,Lille,fr FRA,1. Ligue 1,5th,37,36,3166,35.2,24,4,28,14,10,11,6,0,23.6,15.1,6.1,21.2,67,95,297,0.68,0.11,0.80,0.40,0.51,0.67,0.17,0.84,0.43,0.60,Matches
Jonathan David,Juventus,2023-2024,23,Lille,fr FRA,1. Ligue 1,4th,34,30,2629,29.2,19,4,23,17,2,3,4,0,17.5,15.0,3.3,18.3,47,79,198,0.65,0.14,0.79,0.58,0.72,0.60,0.11,0.71,0.51,0.63,Matches
Jonathan David,Juventus,2024-2025,24,Lille,fr FRA,1. Ligue 1,5th,32,28,2554,28.4,16,5,21,10,6,7,4,0,16.2,10.7,4.4,15.1,40,65,184,0.56,0.18,0.74,0.35,0.53,0.57,0.16,0.73,0.38,0.53,Matches
Jonathan David,Juventus,2025-2026,25,Juventus,it ITA,1. Serie A,2nd,1,1,79,0.9,1,0,1,1,0,0,0,0,0.6,0.6,0.5,1.1,0,0,5,1.14,0.00,1.14,1.14,1.14,0.65,0.59,1.24,0.65,1.24,Matches
Jonathan David,Juventus,9 Seasons,9 Seasons,3 Clubs,,3 Leagues,,239,201,17664,196.3,118,28,146,95,23,27,22,0,100.2,79.1,26.9,106.0,367,519,1408,0.60,0.14,0.74,0.48,0.63,0.51,0.14,0.65,0.40,0.54,
Jonathan David,Juventus,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Jonathan David,Juventus,Lille (5 Seasons),Lille (5 Seasons),Lille (5 Seasons),,1 League,,178,155,13507,150.1,87,15,102,67,20,24,17,0,81.0,62.2,19.8,82.0,243,353,1034,0.58,0.10,0.68,0.45,0.55,0.54,0.13,0.67,0.41,0.55,
Jonathan David,Juventus,Gent (3 Seasons),Gent (3 Seasons),Gent (3 Seasons),,1 League,,60,45,4078,45.3,30,13,43,27,3,3,5,0,18.7,16.3,6.6,22.9,124,166,369,0.66,0.29,0.95,0.60,0.88,0.41,0.14,0.56,0.36,0.50,
Jonathan David,Juventus,Juventus (1 Season),Juventus (1 Season),Juventus (1 Season),,1 League,,1,1,79,0.9,1,0,1,1,0,0,0,0,0.6,0.6,0.5,1.1,0,0,5,1.14,0.00,1.14,1.14,1.14,0.65,0.59,1.24,0.65,1.24,
Jonathan David,Juventus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan David,Juventus,Ligue 1 (5 Seasons),Ligue 1 (5 Seasons),Ligue 1 (5 Seasons),,,,178,155,13507,150.1,87,15,102,67,20,24,17,0,81.0,62.2,19.8,82.0,243,353,1034,0.58,0.10,0.68,0.45,0.55,0.54,0.13,0.67,0.41,0.55,
Jonathan David,Juventus,First Division A (3 Seasons),First Division A (3 Seasons),First Division A (3 Seasons),,,,60,45,4078,45.3,30,13,43,27,3,3,5,0,18.7,16.3,6.6,22.9,124,166,369,0.66,0.29,0.95,0.60,0.88,0.41,0.14,0.56,0.36,0.50,
Jonathan David,Juventus,Serie A (1 Season),Serie A (1 Season),Serie A (1 Season),,,,1,1,79,0.9,1,0,1,1,0,0,0,0,0.6,0.6,0.5,1.1,0,0,5,1.14,0.00,1.14,1.14,1.14,0.65,0.59,1.24,0.65,1.24,
