Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
João Mário Lopes,Juventus,2019-2020,19,Porto,pt POR,1. Primeira Liga,1st,2,0,12,0.1,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,1,0,0.00,0.00,0.00,0.00,0.00,0.67,0.00,0.67,0.67,0.67,Matches
João Mário Lopes,Juventus,2020-2021,20,Porto,pt POR,1. Primeira Liga,2nd,14,4,379,4.2,2,3,5,2,0,0,2,0,0.5,0.5,0.8,1.3,20,15,41,0.47,0.71,1.19,0.47,1.19,0.11,0.20,0.31,0.11,0.31,Matches
João Mário Lopes,Juventus,2021-2022,21,Porto,pt POR,1. Primeira Liga,1st,28,24,2065,22.9,0,2,2,0,0,0,4,0,0.2,0.2,3.8,4.0,83,78,130,0.00,0.09,0.09,0.00,0.09,0.01,0.17,0.18,0.01,0.18,Matches
João Mário Lopes,Juventus,2022-2023,22,Porto,pt POR,1. Primeira Liga,2nd,18,15,1190,13.2,1,4,5,1,0,0,3,1,0.7,0.7,3.1,3.9,47,49,108,0.08,0.30,0.38,0.08,0.38,0.06,0.24,0.29,0.06,0.29,Matches
João Mário Lopes,Juventus,2023-2024,23,Porto,pt POR,1. Primeira Liga,3rd,27,25,2063,22.9,2,1,3,2,0,0,5,0,1.2,1.2,2.6,3.8,99,129,190,0.09,0.04,0.13,0.09,0.13,0.05,0.11,0.17,0.05,0.17,Matches
João Mário Lopes,Juventus,2024-2025,24,Porto,pt POR,1. Primeira Liga,3rd,27,19,1767,19.6,0,3,3,0,0,0,5,0,0.8,0.8,4.4,5.2,78,119,182,0.00,0.15,0.15,0.00,0.15,0.04,0.23,0.27,0.04,0.27,Matches
João Mário Lopes,Juventus,2025-2026,25,Juventus,it ITA,1. Serie A,2nd,1,0,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
João Mário Lopes,Juventus,7 Seasons,7 Seasons,2 Clubs,,2 Leagues,,117,87,7510,83.4,5,13,18,5,0,0,20,1,3.5,3.5,14.8,18.3,328,391,652,0.06,0.16,0.22,0.06,0.22,0.04,0.18,0.22,0.04,0.22,
João Mário Lopes,Juventus,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
João Mário Lopes,Juventus,Porto (6 Seasons),Porto (6 Seasons),Porto (6 Seasons),,1 League,,116,87,7476,83.1,5,13,18,5,0,0,20,1,3.5,3.5,14.8,18.3,328,391,651,0.06,0.16,0.22,0.06,0.22,0.04,0.18,0.22,0.04,0.22,
João Mário Lopes,Juventus,Juventus (1 Season),Juventus (1 Season),Juventus (1 Season),,1 League,,1,0,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
João Mário Lopes,Juventus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
João Mário Lopes,Juventus,Primeira Liga (6 Seasons),Primeira Liga (6 Seasons),Primeira Liga (6 Seasons),,,,116,87,7476,83.1,5,13,18,5,0,0,20,1,3.5,3.5,14.8,18.3,328,391,651,0.06,0.16,0.22,0.06,0.22,0.04,0.18,0.22,0.04,0.22,
João Mário Lopes,Juventus,Serie A (1 Season),Serie A (1 Season),Serie A (1 Season),,,,1,0,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
